"commit id","commit date","commit message"
"d607da06d6ad06e1afbca43756a0e51d155607d6","2015-02-08 16:34:11+00:00","website: update for bugfux release
"
"36ca48a63eb7696bc1b5ecfa68471408b7320059","2015-02-08 16:35:12+00:00","bump version after release
"
"b4724f76dc2638b28292f2a873d4bb330dcca550","2015-02-08 00:00:43+01:00","Revert 'Use unminified source for chain.js'

This reverts commit 507ec8c8eeef5d42b3ac21eb9c27277b7ae3713e. (Bug was found and fixed)
"
"75219f1f2ea7c2f9cb8936ac78e6bebcdb7d14a9","2015-02-08 17:50:42+01:00","[link-show-direction] new style: static highlighting near origin
"
"1af60cf25e1a565edf6016cea73a9a3baa7f6d99","2015-02-09 13:34:02+00:00","Merge branch 'master' of https://github.com/jonatkins/ingress-intel-total-conversion
"
"0bb8dc5ddb9160c006b0a26bfeb11909617a0225","2015-02-09 13:54:18+00:00","needs-recharge highlighter: tweaks to the colours/opacity used - makes it easier to see things.
"
"6fc7bbe4df4509c0e68a4d423cd518a446f96732","2015-02-09 18:42:59+00:00","typo - fix #944
"
"02199d2f1b8486c34c32515b3922b815db20f11e","2015-02-09 18:44:42+00:00","plugin guess-player-levels: take account of reso max deploy range when guessing level from attack notifications - which also means this is now an accurate guess
"
"82a30aa71cf051ea9fccb030c200635c9b925a99","2015-02-10 12:34:25-07:00","Player Level typo
"
"0b9b7c6a250385e93cf087ced2593ef057da99ce","2015-02-10 20:02:00+00:00","Merge pull request #946 from Galfinite/master

Player Level typo
"
"1cc39a099cd8adc9e29c065e5b9a29fa6f597641","2015-02-11 17:18:57+00:00","Merge pull request #922 from Fragger/latlng-geosearch

Don't do ajax lookup when search is lat/lng cords
"
"39e4608c4e1ce8f221af2c70da3d6396cc370262","2015-02-11 23:04:08+00:00","search: draw a marker highlighting search results (rectangle for region, 10px circle for point)
"
"1ac5158dcfca16b31f8d9e63c91fe7ce73bcfdd1","2015-02-11 23:05:08+00:00","remove raw from portal details - not something best to encourage access to
comments concerning new data[10] index in map data
"
"7fd88dd1e3968e03d91e23ecdef5688c81259d30","2015-02-12 16:06:20+01:00","Revert 'search: draw a marker highlighting search results (rectangle for region, 10px circle for point)'

This reverts commit 39e4608c4e1ce8f221af2c70da3d6396cc370262.
"
"4c7b8e0e70d84f1b3ebbacf37c2c4caafc7d7a7d","2015-02-12 14:37:49+01:00","new search
"
"d98737b3bad46fc18e15de68dc07ab17a0d32e15","2015-02-12 15:33:17+01:00","add icon to search results
"
"5e22ea5b72adfee91992034dc6e25944b1a03005","2015-02-12 15:33:52+01:00","fix speech-search
"
"6ae79ca50b7fb2ec6fe473d75c54b38bea85ec46","2015-02-12 15:50:53+01:00","set max-height for search results
"
"6b027d15fe01de3cdf08771ea54e9af9bbd789aa","2015-02-12 15:51:23+01:00","Small fix in search logic
"
"46a1684549424f267406d974e90d24ee51066871","2015-02-12 15:51:42+01:00","Search for portals: select portal on click
"
"5c35cda7b44d6ee06bbfd6a0186964695e629af6","2015-02-12 15:53:39+01:00","uniform strings
"
"4dd877fdb84934824701108d81e84f4685bf29d2","2015-02-12 16:30:57+01:00","[player-tracker] Use new search
"
"754dfc61927f1815ef3da1e87c2de62c66d6b91b","2015-02-12 16:38:10+01:00","[player-tracker] open popup when clicking on a player
"
"587242ff5e244918a8d20e20ee00b8a17610101d","2015-02-12 16:47:18+01:00","[iitcm] use new search
"
"a70bcc1df16d96a742677edddf77dbb21fd457ec","2015-02-12 17:11:51+01:00","search: add details for portals
"
"39253102600a5f4fae807340cbfff67ea0d7992f","2015-02-12 17:54:45+01:00","Highlight focused/hovered search result
"
"b15f521bd04a2d9fd92e52f689861e9e4686512b","2015-02-12 17:55:29+01:00","[bookmarks-by-zaso] make bookmarks searchable
"
"50ba416c281acb6637b33848dad5a86161fd14cd","2015-02-12 19:21:28+00:00","remove calc style - doesn't work in some browsers, and no real benefit
(might explain occasional glitches in this area in chrome too)
alternative to #936
"
"455e2c0535ca80b9fe881de69465a72c74057d82","2015-02-12 19:22:56+00:00","Merge branch 'master' of https://github.com/jonatkins/ingress-intel-total-conversion
"
"6533dd5d0d332d5d7970a8186b108c4aadb5e2a8","2015-02-12 19:29:19+01:00","[search] show outline and icon from nominatim
"
"c450aa63f847c2f6b9212cf8eb54f124d8a9d657","2015-02-14 14:44:26+01:00","[chat] stop further event processing once the event has been handled
"
"f9db2c3861eb3f45e70bcdd8e7d3628624995be1","2015-02-14 14:48:14+01:00","[search] allow title and description to be HTML, DOM elements or jQuery objects
"
"9e72abb7cb6d58daddd64294822f8aaf0d176316","2015-02-14 14:49:03+01:00","[bookmarks-by-zaso] escape HTML in search results
"
"22b58b790d006b0e989a77738e2d4271b2947c27","2015-02-14 14:49:52+01:00","[player-tracker] use markup for seach results and prevent chat from handling events
"
"bcc3b52e5c13a0465f302231a6ebca68c3750a20","2015-02-15 12:17:45+01:00","[show-linked-portals] cleanup

(formatting, remove useless function, remove handler replacement that doesn't exist any more)
"
"c58438e4c4ef90d451abe9bbdcac0614ef7f7236","2015-02-15 19:09:34+01:00","[show-linked-portals] mostly rewritten
"
"2e1a5fd1ae4314a0ccf5272e2c211eef32ef55f6","2015-02-15 19:43:18+01:00","[show-linked-portals] show preview on hover
"
"4d6a7df596ea3e3a87e63f8f6adb5648b6f823cc","2015-02-16 01:10:24+01:00","[iitcm] improved search
"
"4808f4469c0f018c513e44ab9f726bb240caed30","2015-02-16 01:28:55+01:00","[search] Better feedback when nothing can be found
"
"3aed769081eecb2e0363b7d4066c83e4afb835cf","2015-02-16 19:30:00+00:00","debug plugin: add totle to clarify which data is map data, and which is portal detail data
"
"b22842a902bf2f56d98ff3220a1be93fb1e0192c","2015-02-16 19:30:58+00:00","include the index 10 portal data value as unknown_10 until we know what it's used for
"
"9efc2fb508f1b6bf3e61f58a3bed32a15170fd95","2015-02-16 19:32:02+00:00","Merge branch 'master' of https://github.com/jonatkins/ingress-intel-total-conversion
"
"9397171030c5b66828769cd978d0f1dbf20e6bed","2015-02-21 05:21:59+00:00","plugin: distance-to-portal
new plugin: manually set your location, then the distance to the selected portal is shown
intended to aid key management when at home (select a portal, find key in inventory by distance rather than name)
"
"227d1b18ac3bbe282744b875e09be56a3b6a8b27","2015-02-21 14:01:09+01:00","[draw-tools] don't open dialog more than once
"
"9c534c889832c2c206c6f3fd7e257a908ba0454f","2015-02-21 14:02:01+01:00","[distance-to-portal] also show bearing
"
"d55d363112ee96941a1bb253c2e896400ffc422b","2015-02-21 14:19:33+01:00","[distance-to-portal] add vendor-prefixes to transformations and implement updating the distance without re-rendering all portal details

Firefox supports 'transform' without prefix, but Android still requires '-webkit-'. To be sure, include properties with '-moz-', '-webkit-' and without prefix.
"
"e03bbf50f1af6b0049f06618c3e83997df5229b3","2015-02-21 14:22:29+01:00","[user-location] update portal distance when GPS fix is available
"
"badcdbdb18600226e60a3dc1a15897423409d56e","2015-02-21 17:08:04+00:00","add core functions to create a generic marker icon, of a specified colour.

use it for the new portal distance current location marker, and search result marker
"
"f6273d5644142afeb6f33a2361cc0a8aca38cc70","2015-02-21 22:12:17+01:00","[show-linked-portals] highlight portal and link
"
"d53c31c2dd178088f55cab85bb969a17d3214ac5","2015-02-21 22:37:07+01:00","[show-linked-portals] different border styles for incoming and outgoign links
"
"597d19acfce6597be0877e662f3abf99750ea78f","2015-02-21 22:37:50+01:00","search: pan to portal if position is off screen
"
"f5b565b284d69614cd225f1c8580aeeaba10138a","2015-02-21 23:32:00+00:00","fix exception in bad http request on portal details
"
"600fe1f91c48302a376a99e4eb57baf22687c386","2015-02-21 23:32:57+00:00","experimental: JSON encode the data stored in the cache

in theory, keeping the javascript objects directly in the cache is a good thing. any instances of, for example, portals on the map, will share the data objects with those in the cache, limiting the overheads for cached items in use
however, in practice
- relatively large and complex data structures for cached data. and as some items expired from the cache may have data in live portals, etc, complex for garbage collection to clean up. strings, on the other hand - one single object to clean, zero references from anything else
- the cache is used as an alternative to network requests. therefore the extra time to encode/parse the strings is no real issue
- lower memory overheads? it's liekly a single string is more efficient on RAM use, even taking into account that some objects will be both encoded in the string, and duplicated in live entities on the map

time will tell if this is better or worse than direct object storage...
"
"81e7251af987bc92d328429601fc8fe5ab501b03","2015-02-22 00:32:26+00:00","regions plugin: support the new search api, for easy cell searching
"
