"commit id","commit date","commit message"
"b7d7f87351d1357bb36c2319ff4d1ce88ad67bae","2011-06-15 21:20:09-04:00","user interface tweaks, new icons
"
"446c93617d3d24f608960ff9331703fb22799119","2011-06-16 13:06:51-04:00","BlackBerry deliverables from the latest J2ME source.
"
"dbb699e61a694a66cc3470b1cd670f20d6c08edf","2011-06-16 16:01:31-04:00","updated PhoneInfo methods for BB support.  Updated icons in the App Descriptor.  Deleted the 'mypackage' class-- we don't need it.
"
"188c7f6f315c881dc468c4285c9a27c7be64a73b","2011-06-16 16:02:37-04:00","adding support for user to select SD card folders to wipe individually.
"
"b6f7bf741613bf2bea9d2865091a2f9d4ae85bbb","2011-06-17 13:08:12-04:00","Wipe class now finished off, moving on to PIMWiper
"
"5ad142cc2d555c08af0766c999d0e31a712231b8","2011-06-17 15:33:22-04:00","padding out the SMS and Call Log wiping methods (do not execute yet, only confirm that they 'see' data in the content store)
"
"354795c5d6fe13285c30baddfeb9312f9fce2a4a","2011-06-17 15:44:33-04:00","most recent deliverables for ITC BB
"
"8292488de3969bd34db6d8fe2cc36d3d5f6fc5dc","2011-06-20 15:03:55-04:00","updates to PIMWiper class.
"
"380ea7e3e1dbd57765ce8559af62d8bb5b6ae8b8","2011-06-21 17:20:35-04:00","GUI stuff: added wizard, updated themes to match the BB/J2ME release.  Wipe class' layout is somewhat unruly-- I will change this class entirely next time to include a better UI for selecting individual folders.
Added driver for MovementTracker class
Extracted static constants into their own class
"
"1a2b22c5ba431c0b420ffb25de58c8e101ea4909","2011-06-22 16:22:56-04:00","Tightening up the wizard
"
"73e5ee7ba4a7324c916d73d1a002cdc0a1ed8050","2011-06-23 13:43:50-04:00","Cleaned up packages.
Updated Wizard
Reorganized wipe to select individual files.
Added .project and .classpath
"
"54837db7b7dbe42fad9724f313972b4aa9eb997c","2011-06-23 13:50:59-04:00","slight update to wizard.  working hard to fix silly UI bug that doesn't allow the list view to scroll.  Other than that, Wizard UI is finished.
"
"5b77f63418ee21b47d0d4bd6732ff89a520b1e87","2011-06-23 14:39:11-04:00","small changes to layout, icons and text
"
"94964dca066d17ef61d89be68d3ad26e7bf23483","2011-06-23 14:39:41-04:00","new files that we need to have
"
"576840dbe88fb17b4de09d16cef41b7b5621bb49","2011-06-23 14:39:50-04:00","Merge branch 'master' of github.com:SaferMobile/InTheClear
"
"63275cfa2071fa74cbccc8985adeb455f1003d45","2011-06-23 14:45:26-04:00","more wizard updates...
"
"036e83a503c5af32b1106db5225bcd356b715c84","2011-06-23 18:05:28-04:00","Finished preferences off: they now persist across the entire app-- even the selected folders.  Built Panic up to its drivers.
"
"b0bd3ea255ecb1d5091a86f1b1495ade3461812a","2011-06-23 22:03:03-04:00","added BB API placeholder fake classes, reorged screens to views package
"
"320598753d9d93db6a0736a08685b54ead1ba38c","2011-06-23 22:04:07-04:00","Merge branch 'master' of github.com:SaferMobile/InTheClear
"
"d28793fda357b42e52145ca2ce41cf67ee41942d","2011-06-23 22:09:06-04:00","fixed title sizing for small screens
"
"70856bcffe2bc744524688a263c32968378bc610","2011-06-23 22:18:58-04:00","removed test class for now
"
"2d254f9156c273f7e0d8af36224bf1f7cc10daf2","2011-06-24 13:12:28-04:00","adding in ShellUtils
"
"bbdd6f77193c09702ec3b14a4e786e64bb9b31ca","2011-06-24 13:25:07-04:00","fixed a bug in my Wipe class.
"
"394b5887f2060229fc2352656f6379355c875cc6","2011-06-24 15:02:46-04:00","modified buttons to be big with an icon!
"
"5da357d6708faadacd450bd01829d65ea21d2956","2011-06-24 17:20:56-04:00","uploading with some screen captures
"
"1167d56f527eb121f4e29c7edecd554febe5c7d8","2011-06-24 18:10:38-04:00","More work on the wipe class.  I commented out the actual methods that *do anything because I am still testing.
"
"92373ac76cc0cc35a8a0810a2b5d538244d5de97","2011-06-27 16:21:12-04:00","updated PIMWiper class so that it will actually erase contacts.  Must reorganize other wiper methods so they work as well.
"
"4baa8f1b2d406f4c40cc56dd1c4d0b5805c61125","2011-06-28 10:46:41-04:00","Finished off wipers, but I want to perform more tests on another setup before I can confirm that the content provider wiping works 100%
"
"a0b26c7f67b05e261882fb8ea47c7b4b8e8440ed","2011-06-28 11:37:31-04:00","minor clean-up of folder selector class
"
"aae8ee1da1e1c19ad63bab4582a7226e4d458b55","2011-06-28 12:17:47-04:00","now with recursive wipe (not using shell yet-- I will implement that when I cycle back to this class)
"
"9f2f6c4250facf2cd60ce94dca3e4e8a4b7b0995","2011-06-28 14:15:20-04:00","cleanup and bux-fixes.
"
"429a6f6729a58806a89d6da871657e6a88a1519f","2011-06-28 14:30:50-04:00","cancel panic now functional
"
"d24d5778912c3db64115a9d5c60ee09bbf52cf3f","2011-06-28 15:24:49-04:00","Preferences now persist in wizard
"
"312041db85ad5e155cdb69bc0b30adee6e523e9e","2011-06-28 15:53:53-04:00","wizard class fixes.
"
"69be1c35a11a135ef1ada9a2bdea300c55cd4e15","2011-06-28 17:00:49-04:00","Panic updates.
"
