"commit id","commit date","commit message"
"6efeebfad75fc4f4d09d4899547564d33f708d9a","2011-08-29 13:16:34+02:00","Translation updates and additions.

- Updated Finnish and French translations
- Added new Turkish translation
"
"63dceec70d59132b6311289c62edd0acb795ab27","2011-09-07 11:39:16+02:00","Translation updates.
"
"847ba33ae3d3f75d89750e775458b9a3d4e1a3b8","2011-09-07 12:04:51+02:00","Merge branch 'maint10'
"
"83dea1573f21f8b38142b1f0f0f6a6b045a27e24","2012-04-01 23:23:27-03:00","Translate into portuguese Brazil
"
"6759cab02782025a9413bcb2bdb2a7ffef6d3d72","2012-04-01 23:34:57-03:00","Removing .swp files
"
"2ec2f336dd3cb1568a46d2de4bd3adfc974bc804","2012-04-07 02:58:42-07:00","Merge pull request #13 from jessicabarbalho/master

Translation to Portuguese
"
"223139108cf9553ae2508154b64d8897a582b450","2012-06-19 00:39:31-03:00","Add names on about' screen
"
"60962493cff2eab6052183d5c03d094b75ec1c9b","2012-06-20 15:40:13-03:00","Atualizando versão do Android Jamendo para 2.3.3, adicionando botão do Equalizador
"
"3ea474d6a0b8689afda8d06ae97304fed5534945","2012-06-20 17:39:27-03:00","Equalizer Activity
"
"bc7e55d7402b52297496f882f3658711239362e2","2012-06-20 18:20:33-03:00","Tela teste para equalizador
"
"ec658d58c20f2757ce37495ae27c40809f1260e2","2012-06-20 20:56:11-03:00","Previous list function implemented
"
"f6c365594525a7c5251a3207243600a0f264605f","2012-06-20 22:42:00-03:00","Equalizer in the current media only
"
"8bf8fbcea8a98a38bfd7835b424050a435152059","2012-06-21 00:56:50-03:00","Equalization continue when skip musics
"
"842fb1c3fee11684528aef090a8aa845e98cbeee","2012-06-21 02:28:53-03:00","Equalizer with presets in a list
"
"60e0ac2eca6c7f91f53569b123207ccd98a211a0","2012-06-21 11:44:39-03:00","Fixing numberFormatException in MostListened
"
"00a759a16011c2dc81dc679b0697e68dd52f5c22","2012-07-03 23:17:09-03:00","Removing commented code
"
"9b26c6bc1b408fd48eb27d4ee52420dafd18b134","2012-07-03 22:50:26-07:00","Merge pull request #19 from jessicabarbalho/bug-number-format

Fixing numberFormatException in MostListened
"
"6df49ba02711a3c4855a5069973d0a824b4e6655","2012-07-04 00:15:59-07:00","Merge pull request #16 from jessicabarbalho/master

Back to previous list
"
"4ee1f872cd0518a04a0d8b758ce036d97533a76b","2012-07-04 16:59:12-03:00","Fixing radiobuttons on the preset list
"
"d479a2d0682ede44c60076c4ba8c04d66af8b4de","2012-07-04 22:25:39-03:00","Adjusting ldpi & land-ldpi layout
"
"e0214565a90635541ef4d85ebd848cd4fb270f9b","2012-07-04 23:33:20-03:00","User can customizer equalization
"
"c703a8882701814320d42c34ea377d433a12c736","2012-07-04 23:39:44-03:00","Translating changes to portuguese
"
"21c9b348d97df36ec6775640f2f58af354dabbfb","2012-07-05 15:26:09-03:00","Deleting unnecessary xml and including comments
"
"f2f1a6208e77a13c29f9c5212ad7fa028caf506c","2012-07-19 03:22:28-07:00","Merge pull request #20 from jessicabarbalho/layout-for-ldpi

Adjusting ldpi & land-ldpi layout
"
"8657ec9b3d6739c04aa2eede705e8f54c82b6f15","2012-07-19 03:47:37-07:00","Merge pull request #17 from jessicabarbalho/equalizer

Equalizer
"
"180bddaa47d4df7b70ccfe74f1ab80d50f8d97ee","2012-09-08 14:13:26+02:00","Fixes potential ANR when starting a radio.
"
"b58d3159b58de8c4f41855374ae9b81c08a3082f","2012-09-08 08:12:17-07:00","Merge pull request #23 from isdes/radio-anr

Fixes potential ANR when starting a radio.
"
"08ab83562273946cba6a8160f1401706ab6ef44a","2012-09-08 18:38:26+02:00","Prepare new 1.0.5 release

Removed obsolete 'unchecked' annotations
Some missing translations
"
