"commit id","commit date","commit message"
"361a75004e5e6a00f045e11fb5942ab6657ab7ae","2015-08-24 09:56:18+02:00","Minor variable renaming and cleanup
"
"bc279a4ab250d69dcde7d036e5a5940479bfe340","2015-08-24 10:00:31+02:00","Added CHANGELOG.md
"
"b5cfa69e2c9b308ffae3029bef1ab25ce8fbe0ec","2015-08-24 10:10:45+02:00","Added new screenshots
"
"c6c4b9e9acb5f5f6dcfc3822a5f2f103a036a02d","2015-08-24 19:48:26+02:00","Added capability badges and restored non-dynamic donut circle color.
"
"5f0b9d7c57398f388bbb342d08e476d24766992c","2015-08-24 20:17:10+02:00","Removed dynamic color generation and added carefully chosen pastel colors instead
"
"fcbb810fde81dbe60287738af1b7b42307d47091","2015-08-24 20:26:40+02:00","Improved and cleaned signal color code
"
"9e761bdc19fd0cfc3895c1bb23b026c8d7e395aa","2015-08-24 20:49:38+02:00","Include GIMP templates for graphics and badges in the source code, so everyone can use and improve it.
"
"77e08c9ea88aa0388557da506bba9667e3e9d7b4","2015-08-24 20:52:57+02:00","Updated screenshots to newest version
"
"abde4101d354b8419e74a2a880cd3dd5374ee791","2015-08-24 20:56:58+02:00","Added fake networks for screenshots
"
"c26f77a3c6ed6b9e41e69d50d1972e2c8cd0f6ba","2015-08-24 20:58:16+02:00","Version bump to version 0.2 :)
"
"1ead278b27059ba6af547e761d0121359c36e945","2015-08-24 21:01:34+02:00","optimized screenshots for README.md
"
"3ee76f07acf3fe238a9031d78b41ceeefd0efde6","2015-08-24 21:04:07+02:00","scaled screenshot once more for README.md
"
"d6f47331eb86fd731be671c3e6e55354f1953ba8","2015-08-24 21:08:45+02:00","Changed screenshot to fit both, the phone and the tablet
"
