"commit id","commit date","commit message"
"6ceb25fd1dd55f6421bc7c7ad6b5d8dca5f702f7","2009-11-26 21:42:08-06:00","Clean up app lock handling.
"
"a037dec2a2f4e1bc8d972dd91295a9d4151ce51b","2009-11-26 22:40:32-06:00","Fix close conditions.
"
"fd7c2808207492b2333d569e738de570699ac278","2009-11-26 22:51:34-06:00","Remove unneeded/unused file.
"
"bb04a3de284a5f9b0e8b3382ab0204b26bc1ff97","2009-11-26 22:51:48-06:00","Handle removing recently used files.
"
"ab6bc031019d0a0d48a3b7ea1bb1fa973d1fa0cf","2009-11-27 17:01:37-06:00","Cleanup.
"
"54f30e9972ae283a4d0964290c71c9bd69c47eee","2009-11-27 18:07:25-06:00","Implement clipboard timeout setting.
"
"5a57207c627c26e44e30c44edc58c087bee29084","2009-11-28 20:31:35-06:00","Import libgpg-error-1.7
"
"8922d4b90db171f9470ebce2762f8078c63d5589","2009-11-28 20:37:22-06:00","Import libgcrypt
"
"b3a4a67f568e675c2b221eb45e0bb1fea283fa4c","2009-11-30 23:50:17-06:00","Never quit got this working.  Thought I'd save before moving on.
"
"88362d14c0a9a1008f6f20687951b8e0cfd2daa3","2009-11-30 23:54:33-06:00","give up on libgcrypt
"
"d893a82970e6010f10079f2d81192960b637ce76","2009-12-02 12:46:28-06:00","Import openssl
"
"ee6f20717891cfd99308f161e2edca6a73fef200","2009-12-02 12:57:42-06:00","Expand symlinks.
"
"a85773c9cfc0f23ced5b0069304c799573e8cc46","2009-12-02 19:49:41-06:00","End experiment with including openssl in my source tree.  I'll use a script to download and include my files.
"
"aae92abb0e51299c77610b1187103117d4a6142e","2009-12-02 19:50:06-06:00","Give up on including these files in my source tree.
"
"6ebf8a8435b197b8c027c646c26d7b5203f6a3ac","2009-12-02 19:52:41-06:00","Remove symlink create with script
"
"2baca9b32aa7d2e14e096b2967322934d35dee4e","2009-12-02 19:54:18-06:00","Add build tools for native libraries.
"
"2ccb67851d151a59b5f579168cd41f98386839d1","2009-12-02 19:55:15-06:00","Update library versions.
"
"0779a48416b8cd561d38cf303d2d883f74c32a79","2009-12-02 19:56:14-06:00","Add code for native calculation of final key.
"
"1aca99988d83c0a88b5429bdfa060df0752b960c","2009-12-02 19:56:25-06:00","Update french translations.
"
"6e9f6ed8348f7bfd581a5466b7de5aba9e108ac4","2009-12-02 20:11:27-06:00","I didn't mean to commit the tracing code.
"
"32743da30a48ddf3578b4ea93101b17b368a27c6","2009-12-02 20:15:05-06:00","Add copyright statement.
"
"e168eefcc8d394e1a8f740bac3ccdfb439587bd1","2009-12-02 20:26:20-06:00","Fix locking for preference activity.
"
"30cd3403c58c79d2a1b869d9330016bdce9989d4","2009-12-02 22:14:25-06:00","Move SHA256 calculation into the native code.
"
"f0e6d6c2999ec59c19776e740cd67cd19a4b24db","2009-12-02 22:48:53-06:00","Reuse Calendar objects, so there is one throughout the app.
"
"64e9545981dd6bc8ac37f3c1f4cf6f596a970b3e","2009-12-02 22:56:16-06:00","Remove native override.  Didn't mean to commit it.
"
"f65740f67ce15bec0af84d01e7427bf2acbe714e","2009-12-02 23:56:19-06:00","Version bump.
"
