"commit id","commit date","commit message"
"482761a19ee349e57fe097737b9b3414d65a845a","2010-04-20 21:38:27-05:00","Create classes to represent Group layouts.
"
"caea325050053dcc4a7526e08fe4888e57e4a8d8","2010-04-20 22:00:51-05:00","Refactor out the group header portion of the view.
"
"9e03c52803714b206fc1dd505b35af2b08234fbf","2010-04-20 22:18:48-05:00","Use new view.
"
"66bb24d96f71e30f60149b18c1aff461338a95a1","2010-04-22 21:48:07-05:00","Start separating abstracting out datbase model for kdbx support.

Detect difference between the kdb and kdbx.
"
"b815a4de074f6f5639cf0469b070d22015030290","2010-04-24 17:42:34-05:00","Reorg, renaming.
"
"d26008f50de9ce9e17da7793aedc8fcced9ca7a1","2010-04-25 14:43:46-05:00","Parse more of the kdb4 header.
"
"87c498fa415d1e68fd27c8bcf86e694094c609ae","2010-04-25 14:50:51-05:00","Add warning if number of key encryption round is more than I currently handle.
"
"c16b3bbe55903f608a9947e25a3b20b039f78651","2010-04-25 15:24:48-05:00","Read data rounds from the header.  Fix some of my types tests that were missing asserts.
"
"b4818ec18a1b936a6f06024ccb015d0c82d9b06d","2010-04-25 20:45:19-05:00","Add missing database file.
"
"ebe8424d11b91fc517e12f7963967b9563b7cdae","2010-04-29 13:45:44-05:00","Kdb4 header parsing.
"
"2e4d009e402e32170bbd836275a9e6013f99c37d","2010-04-29 15:03:51-05:00","Style changes.
"
"f62b25154f7ad7fc47f4600c8378e0f32b0cdf23","2010-04-29 15:56:08-05:00","Abstract away native vs. android AES cipher implementation.
"
"df30f09c2d02d2c0a3d580810dffe11b88c46e32","2010-04-29 16:56:38-05:00","Recoginze kdb4 cipher uuid's.
"
"2ebeacdf356de120f4910dc097c700a4b2135a21","2010-05-06 00:09:41-05:00","Working HashedBlock implementation.
"
"a76b4e19760398ca33bf2e8f558ade60be528e74","2010-05-06 21:13:55-05:00","Add extra hashed block test.
"
"1bfc2bd29af759343e4098fd39e369ac7fc516b6","2010-05-09 21:36:25-05:00","Get to the point where I can decode the database down to plaintext XML.
"
"c01cf77d676f177da8ca357eadb35cf37f1325b9","2010-05-10 00:05:56-05:00","Didn't mean to disable native aes by default.
"
"a363dd677b32d6cb0f0f08c28e84ade6e61470c2","2010-05-10 00:08:47-05:00","Fix output xml file output error.
"
"d78f900fcdc5e78a306e7b5bfb5a7c473a7f4506","2010-05-20 23:19:48-05:00","UI and backend refactoring to support both database versions.
"
"bd7f48e0e7774edf9528c679e9d7cd42efe48ed5","2010-05-24 00:02:14-05:00","Pick the right root node to parse.
"
"23805796540add62f8df73e52e5eb995d94a15bf","2010-06-02 20:33:07-05:00","Get enough in to fully parse a .kdbx database and load it into java objects.
"
"a300edbce00acfdf4e4953344322b1bc474dd3ad","2010-06-02 22:22:48-05:00","Fill out more functionality.
"
"f7066bdd94287ca7f6e31f401364dd45ec4baec7","2010-06-02 22:49:54-05:00","Add proper support for .kdbx in the group/entry list.
"
"82c2c473be46ab7023092cd5009d632ff77591fd","2010-06-03 00:39:53-05:00","Support for viewing groups in the group list.
"
"8b739af8b74d5ddf3f73af7c0dfbf361984ef85d","2010-06-03 00:52:13-05:00","Fix entry title display.
"
"d9c772ae648469d7799e018aed6423578b6ed8b2","2010-06-05 17:10:41-05:00","Fix up other entry fields.
"
"fcc089fdd29a68b263d232ca79279f0bbf39e4bb","2010-06-05 17:19:48-05:00","Move groups.
"
"674a2a1da63db1757011ab5b28ba2b7432c53157","2010-06-05 18:26:52-05:00","Handle entries in the root group properly for kdbv4.
"
"d19dedb9c87e83629fb77a0a89325c52eb124287","2010-06-05 18:27:11-05:00","Hide menu options that don't work yet.
"
"82773e9b3a9f1a828bb2f0073daee9a38ff5cd42","2010-06-05 23:42:42-05:00","Update launcher icon.
"
"f810e56b06c91c7817163a93dc49be274ff65309","2010-06-05 23:47:59-05:00","beta version bump.
"
