"commit id","commit date","commit message"
"ccc28aed6df60f6b5b566aadd95cdbfa204eb1cb","2016-04-14 23:38:09+03:00","commit before 1.98 merge
"
"156e9d9d3f71b66f24ce39c928c85184dd38524e","2016-04-14 23:38:20+03:00","Merge remote-tracking branch 'remotes/upstream/master'
"
"447143dfb0e20c4d2fe07a233326bed257cf3fe1","2016-04-15 02:06:07+03:00","#24: Added 'Clear History' - cleans recent searches
"
"be7926891821d9abadfd045697fc3b396074131f","2016-04-15 03:16:52+03:00","FIxed a little bug that i found with tab delete.
"
"2bc1fb63b29b91995eb13cd292703077ed7a9abd","2016-04-15 03:18:11+03:00","FIxed a little bug that i found with tab delete.
"
"aab16653bb2c7f7bc385a5589b2345a9257dc00e","2016-04-15 15:48:23+03:00","Changed in setting prefernce category to History and changed preferce to specific clear recent searches.
"
"a429dc4cbdd2c533beebe2f2e5934b3ed6b6b30f","2016-04-17 16:28:29+02:00","Upgrade UI translation files
"
"52e818411aeb9635d39e1e701dad02e9dfa925f0","2016-04-17 20:27:39+03:00","Resolve merge conflict
"
"db4692555cf6f436055b46213ddc2cc95fe5ada0","2016-04-17 23:17:03+03:00","Added: Long click on recent search to delete.
Fixed: Now no duplicates on recent searches.
"
"3f2e5edbb10c6fbccf40c1ceacb99a03790648ad","2016-04-18 00:35:52+03:00","Added: Long click on recent search to delete.
Fixed: Now no duplicates on recent searches.
"
"c52b64ce3d07a5ae4824a3448c56344bd2b36046","2016-04-19 01:13:31+03:00","Added: Settings-> Clear all history : clears all tabs and recent search history
"
"fd1ff2f6083d1e8af4969f3a413bd2544f3f4388","2016-04-19 01:14:02+03:00","Added: Settings-> Clear all history : clears all tabs and recent search history
"
"fe67e1a393240f748c9c9ef68d5091da5c5478fa","2016-04-19 09:18:04+03:00","Fixed: longItemClick on autocomplete adapter now not activated.
"
"984a3eb6b87e28fa57745f88999d05efba91fc0b","2016-04-19 16:07:08+03:00","Update KiwixSettingsActivity.java
"
"03bfaca141ce0f6d3c63ed763721c0280317e6d0","2016-04-19 20:55:31+03:00","Localized strings
"
"ada44f0fd221ada7e3b29dc150fcdabbca30d1a1","2016-04-19 20:56:48+03:00","Merge remote-tracking branch 'origin/master'

# Conflicts:
#	android/src/org/kiwix/kiwixmobile/settings/KiwixSettingsActivity.java
"
"64421df1e3151cc9f8a647ba556aaa4b4902fa1c","2016-04-19 19:02:45+01:00","Merge pull request #25 from EladKeyshawn/master

Added 'Clear History' in settings - clears history
"
"458e95e134710d506da7f6bc70ca00d3559eaee6","2016-04-19 19:07:20+01:00","Fixed formatting and changed a string #24
"
"85c6a5553c959f39495cd999d046ab99ab460ad5","2016-04-30 22:13:29+03:00","#24  - Now only one Clear History button in prefs
"
"093f7b96a7282c4bfd13ff6cf0f5f744699a77ad","2016-04-30 22:26:47+03:00","Merge remote-tracking branch 'remotes/upstream/master'

# Conflicts:
#	android/res/values/strings.xml
"
"4a6f5411da917d10619290aa764ff031ee2c6159","2016-04-30 22:28:56+03:00","Merge remote-tracking branch 'remotes/upstream/master'

# Conflicts:
#	android/res/values/strings.xml
"
"6f3e42c767cfe3977d9574c5888ffedc8f0a3f05","2016-04-30 22:41:09+03:00","Merge pull request #28 from EladKeyshawn/master

Now only one  - Clear History option which clears recent searches and all open tabs. ;)
"
"6457e8ba2172a81c5bd7755a6fc626d5e1d8de98","2016-05-01 16:04:13+02:00","update
"
"26e4001478c2eb51f55dc1494c765200964251d7","2016-05-01 16:04:53+02:00","Bump up android version
"
"667a5b5e6138a60751811cda42ac5e3f8340ec10","2016-05-02 16:57:03+03:00","Added: New hint dialog of right contents drawer - on first launch
"
"efb8aa2980c8efd1b4d2245bd75e1040ad647d5c","2016-05-02 17:08:07+03:00","Added: New hint dialog of right contents drawer - on first launch
"
"e3c05288242245c40f30c9d2ff4c5973936e8d88","2016-05-02 17:47:16+03:00","#Localizations
"
"29095801a417e6ee71faf206e59de0bd769da313","2016-05-02 17:47:36+03:00","Merge pull request #30 from EladKeyshawn/master

New hint dialog of right contents drawer - on first launch
"
"ca474b39e8ef55efc0e2039215bbb5cc73410ad3","2016-05-02 21:36:54+02:00","Update strings.xml
"
"69bafc392b74fe9133e4562cd884bce0b203ee2a","2016-05-05 16:47:03+03:00","- No 'Selected' string on choosing multiple items (Google guideline)
- Bookmarks Star not visible on Help screen
- Localizations
"
"61ac5101586401c4ffa4a07ff70ef5e540cac5c4","2016-05-05 16:52:39+03:00","Merge-Conflict resolved
"
"9232d26df0acda96eb85baff9a3ee25e41a2563e","2016-05-05 22:14:13+03:00","Added Kiwix icon to rate dialog
"
"5eee90d42e916ed7e82bf16eb3f393eca54a4848","2016-05-07 16:12:56+03:00","Changed 'Trash icon' to new MDesign
"
"eafef11db8958172af554864c8d3ce5e0223fce0","2016-05-09 11:37:32+03:00","Bookmarks Activity -
Multiple Selection (counting down to Zero)  bug -fixed
"
"486a57914b946ae135f5dd93603e9f9f5f0f3305","2016-05-12 01:56:14+03:00","Attempt on Rate-Dialog dynamic icon
"
"bd30268991f4017a27fc2a6ee254a4ba2a27168f","2016-05-12 03:41:32+03:00","#35: Add 'While opening a new tab switch to it' option to Kiwix for Android.
"
"5c1b82da8ff47997bae7af934f29d23ed02f03c2","2016-05-12 17:16:50+03:00","#35: Add 'While opening a new tab switch to it' option to Kiwix for Android.
- Fixed
"
"5f77da0d812ae76c0040c2f6d2d522fae5cedb71","2016-05-13 18:36:51+03:00","Update CHANGELOG
"
"2e94f108ad6da4f883d07089c46f925972564ab8","2016-05-14 15:35:07+03:00","Lawn maintenance: removed unused imports, reformatted lines, closed unclosed reading objects (cursor) etc
"
"d7df2710f348253721a81314c3916b40824069e2","2016-05-14 16:06:02+03:00","Possible fix for crashing on recent searches - #37

Update CHANGELOG
"
"099acad550a4c9873ea04cb7e645dd2826bdd209","2016-05-14 16:31:50+03:00","Possible fix for crashing on recent searches - #37
"
"4790a05b40a1acec208c91ba41a8b3018518f813","2016-05-21 19:08:44+02:00","correction of double inclusion
"
"a47ca0ac24f15ab1c529e570c5407ca2fe597bd6","2016-05-21 19:26:14+02:00","Merge pull request #41 from dattaz/correction_double_include

correction of double inclusion
"
"fa5c1d94713af363e7439289d562d9f656283982","2016-05-22 02:02:33+03:00","Rate Dialog: Changed from 'Remind me later' to 'Later'.
"
"ffde650246773c8593936f5ef059095874f0f9d3","2016-05-22 02:05:01+03:00","Merge remote-tracking branch 'remotes/upstream/master'
"
"3bc96213e804eec1efb5f45464f43faa4c3444a4","2016-05-23 20:12:45+02:00","Remove contact email address in the help becaue of 'spam'
"
"422e4fdc90e8225638c40d1a1574ae70bc161ed8","2016-05-23 22:33:43+03:00","Minor strings enhancements
"
"9b699dba337ddd51cba8e1d4c728bd029649a29b","2016-05-24 11:50:15+03:00","* Sqlite db - bug fixed
* Creating ShortcutsHelper class for useful functions
"
"0620360c9e3cb8e3335d93f8801d606d4cb0a3ee","2016-05-30 00:18:45+03:00","Initial search widget
TODO: different actions on widget
"
"66fb722ef09c93f1d9213714a4b455dd2f5d0fe3","2016-05-30 01:59:21+03:00","Search Widget - implemented:
- Kiwix icon for opening main app
- Star icon for opening bookmarks
- Mic icon for voice search (Still not functional)
"
"1a63b0f239782a45b1daac8b38230dfddaab4abf","2016-05-30 12:22:41+03:00","Search Widget -
- Added widget preview
- rounded corner
"
"041e683280d7572e309c266b30bde6d88e292c3c","2016-05-30 13:05:36+03:00","Search Widget - added drawables
"
"766a207f7ea950671a31b93786770f9713f9abfe","2016-05-30 13:20:11+03:00","Added my licence credentials
"
"6d47e73bed3cea483f00b281281432eb8e9d8f44","2016-05-30 13:26:00+03:00","Organizing - moved RateAppCounter to utils
"
"6cb268c782e67d69612ae697bdc45ed168a2563f","2016-05-30 13:33:19+03:00","Organizing - moved all utilClasses/HelperClasses into HelperClasses package
"
"cf3ff344e357a07f06abe1527ef4386c538e3038","2016-05-31 20:11:11+02:00","Change file permissions
"
"0fe9f16e3917060361545089f0207d4ffb14abdf","2016-05-31 20:37:10+02:00","Update UI translations
"
"1970cfe09a2e48de02c71ea4f17a045af23da65c","2016-05-31 21:11:15+02:00","Update Changelog
"
"81597a6562e11f29d24838af34174208fd8e1345","2016-06-01 11:12:15+03:00","Kiwix search widget complete
- fixed onResume of widget buttons
- Edited some strings
"
"6753c3121cbcb64f2cbeab98b3c187edd056c68a","2016-06-01 11:25:59+03:00","Update CHANGELOG
"
"f31298a9f90913230c4a604d803c9f316b300c39","2016-06-01 11:26:20+03:00","Merge pull request #43 from kiwix/searchWidget

Kiwix - Search widget added
"
"9fce34b0bb19d8255251e4e97ecf7f278617341a","2016-06-01 11:56:41+03:00","Fixed: No duplicated and last clicked search is on top. #40
"
"9220d59ce9f6635c0658fa0022d8c7ad24f88134","2016-06-01 12:00:03+03:00","Merge remote-tracking branch 'remotes/upstream/master'
"
"81c4cef1068ea5c442d677e0bd35db646837cefb","2016-06-01 14:02:28+03:00","Fixed: Crash on zimFIle containing '' .  '#37
"
"1d23b5a0df8559661baa6c6963470db9ddca98a4","2016-06-07 00:44:47+03:00","#44 Resized search widget logo to 32dp
"
"879145c25e4d86df70dc6ec97a2e6ed34550cfd8","2016-06-07 01:11:22+03:00","Search text on widget displays custom app name
"
"88d17c0bb2b801eaa9b25d3501d01b3fd7d8321d","2016-06-07 01:28:57+03:00","Speech to text dialog displays custom app name
"
