"commit id","commit date","commit message"
"fad11e96ea7246bce6771bff4dc5e04d8d5aa88e","2015-09-29 13:07:00+02:00","Bump up Android version
"
"86d26bc9b62d4259ddb0ff421803f5da457a66da","2015-10-09 19:57:58+01:00","Revised the instructions for OS X
"
"6423e60fc06347d9be3cf2eeecdfbe3a33e50abe","2015-10-09 19:58:52+01:00","Merge branch 'master' of ssh://git.code.sf.net/p/kiwix/kiwix
"
"14643baeef68bffb7d264d27e4017c2695fd2170","2015-10-11 13:47:18+02:00","Fix selection color problem with library buttons
"
"e026bd2ed8ffa80319123d0192949f4dea540691","2015-10-11 13:47:39+02:00","Merge branch 'master' of ssh://git.code.sf.net/p/kiwix/kiwix
"
"15a7dd4aece3240c4b78585e94c29655b84c1aa0","2015-10-12 21:25:19+02:00","Beautify bookmark XML file
"
"2d6e1aeb937eeb812984356eaf6703af5fd10c51","2015-11-07 18:55:14+01:00","Windows FSJ-Lite ZIM file splitter is not available anymore, replace it in the help with 'JS-SplitD'
"
"3339bdac1224d4d339aeae2453f7cdfee1c06a32","2015-11-07 18:57:22+01:00","Update UI translations
"
"a509cd6a977bcb1d078f024ff813dde342f083c1","2015-11-09 00:25:16+01:00","Make the app movable to the sd card
"
"c2275cb3110b5b2c623d1ebafc1e1e16ae8cbfdf","2015-11-09 00:27:25+01:00","Make the app movable to the sd card
"
"16e1267cbeeebb3cab731fc082537e0aed19b05d","2015-11-10 22:24:56+01:00","Add VAR HTTP-HEADER if necessary
"
"e2a916ca7ee190108a96f029c0d0d154c8b66673","2015-12-07 19:12:13+01:00","Fix typo in HTTP 404 error message
"
"17fc80735987417f1ea74a73f0fa47e023ef23cc","2015-12-08 10:05:40+01:00","Update meta data of custom Android apps
"
"57384629e178bd8084d46e9db807c44ac3157b6a","2015-12-12 00:23:10+01:00","Linux implementation to select interface to bind to
"
"5328d49ce87532f9a2ce3e373d262a2b5a34f1cb","2016-01-01 23:09:23+01:00","Update of the UI translations
"
"3be7860af0c129f75de4f1e2da88bd8071f2a229","2016-01-01 23:58:18+01:00","Add 'sc' and 'lki' UI languages
"
"92b292ba2a4502c8e73f413e11cb2f98c51fe7cd","2016-01-03 14:00:53+01:00","Add a few comments
"
"bea93a3277cf840a4ddc234334e09d30dfb6b9b2","2016-01-04 02:54:46+01:00","Added persistent fullscreen

The app will reopen in fullscreen if it is stopped while in this
mode.
"
"12774ea89c3e1d6b899b762170f76c2f983533d1","2016-01-04 02:54:46+01:00","Added persistent fullscreen

The app will reopen in fullscreen if it is stopped while in this
mode.
"
"a603c2de0157ebed7401d2d222495f661da2c588","2016-01-05 19:58:18+01:00","The actionbar title is now clickable

Users can click the actionbar title to initiate a search as if
they had clicked the search button.
"
"7fd25843f63c66220cc5f9074c1f59bf9fd2d6b9","2016-01-05 20:10:41+01:00","Merge commit 'a603c2de0157ebed7401d2d222495f661da2c588'
"
"0d06610e51ab48409ef4b9595c159a9b560908e1","2016-01-05 21:36:15+00:00","Merge /u/mhutti1/kiwix/ branch master into master

http://sourceforge.net/p/kiwix/kiwix/merge-requests/19/
"
"184c460679d854359faef0d9217fc3b3b5d932e1","2016-01-06 12:34:11+01:00","Merge branch 'master' of ssh://git.code.sf.net/p/kiwix/kiwix
"
"7d8198ce543fd0e649cf5d76c1c94095f052eb28","2016-01-06 13:33:11+01:00","Organize files in packages

This is just a first step towards _the-big-refactoring_™
"
"23a8580b57a3e769d58becd146bc531803288a49","2016-01-06 14:18:20+01:00","Remove html-inverting js

It's redundant now.
"
"c7d63ed5c8b3e27ce58111035c95e16fc56010b3","2016-01-06 14:19:21+01:00","Reformat project
"
"59ddba8336794b4871aeb86c7863fcca22fa5bf1","2016-01-06 15:42:42+01:00","Merge remote-tracking branch 'origin/master'

* origin/master:
Reformat project
Remove html-inverting js
Organize files in packages
The actionbar title is now clickable
Added persistent fullscreen
Added persistent fullscreen
Add 'sc' and 'lki' UI languages
Update of the UI translations
Update meta data of custom Android apps
Add VAR HTTP-HEADER if necessary
Make the app movable to the sd card
Update UI translations
Windows FSJ-Lite ZIM file splitter is not available anymore, replace it in the help with 'JS-SplitD'
Beautify bookmark XML file
Fix selection color problem with library buttons
Revised the instructions for OS X
Bump up Android version
"
"8138be420caa7681b865be10f76e0fc0c216a660","2016-01-06 15:43:58+01:00","Reformat
"
"67c4ccfc415ecb01b8007da2f6fb7e0b5ce816d1","2016-01-06 15:46:15+01:00","Fix Manifest
"
"30ae4d26fe45974d64c66b3dd4daaf7d99382551","2016-01-06 15:54:08+01:00","Add SquiDB for the database
"
"055c421ffb4944b2941e8da530d224de9fdc2e88","2016-01-06 16:04:17+01:00","Add 2 space indentation

The best kind of indentation.
"
"97b532586e0d488b3e143abde986599babd34961","2016-01-07 00:22:54+01:00","Add file and network utility classes
"
"8be5d3badf99d4707afbddddf58a87eb54aa68c1","2016-01-06 23:49:02+00:00","Stops actionbar from reloading after canceling a search
"
"28f83084a97f1c922e94583318ee9f821ef2c310","2016-01-07 10:42:36+01:00","Merge branch 'master' of ssh://git.code.sf.net/p/kiwix/kiwix
"
"2c8280c568b104266f47b13d6da4a3f838e9d34a","2016-01-07 10:56:26+01:00","Merge commit '8be5d3badf99d4707afbddddf58a87eb54aa68c1'

Conflicts:
android/src/org/kiwix/kiwixmobile/SearchActivity.java
"
"6e58ab4ffc29ac9d2aa4805b46796692caddfea1","2016-01-09 19:33:54+00:00","Kiwix now opens to the last position in the last open article

Added code to save the current position and article onPause() and
onSaveInstanceState(), code to reopen at the correct position and some
code to prevent a divide by zero error.
"
"7a101728eaca2f8668e9d2d5d04b7785151df1c0","2016-01-11 21:15:51+01:00","Merge branch 'master' of git://git.code.sf.net/p/kiwix/kiwix
"
"ea3ab06c8ecb0c3b2309b05c3684fa2fbe4d2a9c","2016-01-11 21:36:31+01:00","Merge commit '6e58ab4ffc29ac9d2aa4805b46796692caddfea1'
"
"f795d2f1dd5a1694f1764c479b02d10fc28c1f0e","2016-01-11 23:41:23+00:00","Add arm64 support
"
"cd4eaf32d93b4d60d7ca9fd7492278ca3563ab5d","2016-01-12 00:34:57+00:00","Fixed arm64 compilation and started on adding xapian compile
"
"dec10c6bc1c9a0a327b2fc35ebd14ebb9f3a2725","2016-01-12 08:55:07+00:00","Done some work on adding in xapian compilation (still some bugs)
"
"cfb81f9d8b0186c06483c46fff688a461771bea1","2016-01-12 10:41:16+00:00","Fix bugs with xapian compilation
"
"65b1acc7807609a09d4ab2846ae7bd9d861567ca","2016-01-12 21:03:57+00:00","Got xapian compile script to work at last! Slowly working on glassdb support.
"
"d15d05d386ebff533017a83241971d352797a00e","2016-01-12 23:12:01+02:00","Automatically open keyboard when using find in page on Android

Fixes #888.
Task done as part of GCI2015.
"
"b28260487fbdb0a047a84774e557064816d8afdf","2016-01-12 21:18:05+00:00","Glassify stuff
"
"19828863f38b9e3e2ed853c912dc127e90bedab0","2016-01-12 21:51:38+00:00","Fulltext searching java-side
"
"dedd737baa6932b8213756e67b359d12b6b8bce9","2016-01-13 00:17:10+00:00","Finished glassify (and compiled for x86_64)
"
"3bee25f7a9ddbe9ae843ab27c20cb05e574b1943","2016-01-13 00:34:54+00:00","Compiled libkiwix with fulltext search for other archs
"
"f596570027141d30117c086d3833d426fb4d2b25","2016-01-13 00:54:37+00:00","Small tweak to use android-21 for arm64 builds
"
"15f3370d24951a48d7ac2bab8d8ccd748ed7b7fd","2016-01-13 10:43:51+01:00","Merge branch 'master' of ssh://git.code.sf.net/p/kiwix/kiwix
"
"bea80adf3802b4947723b9926ee7c6759e0fb807","2016-01-13 10:44:09+01:00","Merge commit 'd15d05d386ebff533017a83241971d352797a00e'
"
"d4a87de068f3c6ec171a4de2e50cf7c034023d9f","2016-01-13 11:47:25+01:00","Merge commit 'f596570027141d30117c086d3833d426fb4d2b25'
"
"4369aa6b4a2dc568185d1991d6114fec6cb99047","2016-01-17 17:18:11+01:00","Merge commit 'f596570027141d30117c086d3833d426fb4d2b25'
"
"3ab7810a3fedc21d72ba627ceab656167eff81e2","2016-01-18 17:42:20+00:00","App can now be moved to SD card
"
"785a7f156f4bf46b447f3a2ae8ba749fc3a5008a","2016-01-18 23:02:23+00:00","Back to Top button now fades out after 1.5 seconds
"
"3f55f781564e7683bc44d8f808c9e92d82f560d6","2016-01-28 08:26:09+01:00","Merge branch 'master' of ssh://git.code.sf.net/p/kiwix/kiwix
"
"c324c00b274699680a5545e682d8694f77667b6b","2016-02-08 18:21:57+00:00","Softkeyboard now opens on find in page click
"
