"commit id","commit date","commit message"
"d51126e3f55fe7a38dd9543e220dadd79d290e12","2015-05-24 18:45:04+02:00","continued working on list widget
"
"c93ea2cc8ffb4d7bd7dde337cdc8ef1e52fc2c58","2015-05-24 20:25:11+02:00","continued working on list widget
"
"bce38c6b9a85829a6b7a59107fea03a4725b26a2","2015-05-24 20:59:34+02:00","continued working on list widget
"
"f94cb5447742a1fde35dde7e9c298497ad6db801","2015-05-25 18:46:39+02:00","continued working on list widget
"
"f8bcefe58546e22b52e6958971e4626b4fe42268","2015-05-30 23:41:57+02:00","started sticky widget
"
"73e8c633dbfff6779949490fe883f59e32b084ae","2015-05-30 23:59:43+02:00","continued sticky widget
"
"3ff03d2c32ba0f60918c21a800631b84ad05d95d","2015-05-31 00:05:30+02:00","continued sticky widget
"
"2e6b5773ffe491babaf556b56b680d23e0aad798","2015-06-01 22:58:48+02:00","NoteListAdapter
"
"486632e96a90c0b65031f42816fefc36235847db","2015-06-01 23:49:33+02:00","continued working on sticky note widget
"
"1b03fe1a8ec7ca27231fff30399797c0cb58ff9a","2015-06-02 00:03:05+02:00","continued working on sticky note widget
"
"8b035c7cb900e843514d3a0fd939951f3f8dbc57","2015-06-02 00:17:55+02:00","continued working on sticky note widget
"
"0c5314019c1fffda7ff18bcdc2623352e0539b26","2015-06-08 21:56:59+02:00","updated kolabnotes-java version
"
"cc38295909416eed89ca9b489771d3314889d03d","2015-06-11 17:03:12+02:00","bugfixing
"
"a650846deb56c256e783f9276f4a29d863b69812","2015-06-11 17:11:44+02:00","bugfixing
"
"7289c0fadd2042b2e17ff45e352919cc15a1b687","2015-06-11 23:28:43+02:00","bugfixing
"
"9155db482886a98db7d68f63a5f5765e846235f1","2015-06-15 16:42:54+02:00","sticky note widget has now same background, as color defined for a note
"
"719f0b60320da7bf6f39869ab5e9ec1cfb25382b","2015-06-15 17:48:50+02:00","ui tweaks
"
"b9688c472478ae44e78316b84ee888550e22aab5","2015-06-15 20:23:10+02:00","sticky note widget now working as expected. except of scrolling the note text
"
"3e685a9991602d8fd26516444deaa6935ec25644","2015-06-15 20:27:35+02:00","fixed switching accounts and changing toolbar title
"
"d108c64f53debabd4d5ec6b9a4671c2429e893f2","2015-06-15 21:22:17+02:00","working on list widget
"
"67ccfba3cb2ed11a47ca45c497a2e00650fccafa","2015-06-16 15:05:42+02:00","working on list widget
"
"c63777d6af78788f7af65ec1f8d47083a6361603","2015-06-16 17:54:31+02:00","working on list widget, german translation
"
"93bb8a8712afcf6e1e26d8d2a4b4d882de90b1a2","2015-06-16 18:14:12+02:00","debugging
"
"e208cd137ef349063a3fa3ccc0d12fee155d2f63","2015-06-16 18:59:40+02:00","debugging
"
"59d459ee36c1fb290fb5d1e7593026580929e57e","2015-06-16 20:10:07+02:00","debugging
"
"24f0838eb16cfd2a459da119a35f1d71c579a7fc","2015-06-16 20:16:31+02:00","debugging
"
"517883ff90cfa53a0d30f171e660ad58702b8e0d","2015-06-16 20:16:44+02:00","debugging
"
