"commit id","commit date","commit message"
"ed2a58df21c7f481ec3cc426d0a0053bf77869fe","2015-12-04 18:46:51+01:00","just use a divider

add a divider to articles ui to separate the title/subtitle from the
rest of the article (image and content)

remove the method
if(fFeed.getItem(fPos).getImage().isEmpty()){ ...

to avoid exceptions
"
"31a0b5a104c6032d298d963ea10b30418496ffce","2015-12-04 19:00:57+01:00","fix 'add feed' dialog
"
"6c93a7678d5b6e284fe558ff4c644c852fb7c230","2015-12-04 19:16:32+01:00","style 'add feed' dialog
"
"8fb3326a4ef0c1f7bc9c23f3a3f9cc2b168a6f56","2015-12-04 21:21:56+01:00","bump version to 6.5.1

fixes
"
"8af00f77848758e163299d877d5be05eb9beab48","2015-12-05 11:49:09+01:00","update material dialogs
"
"6bdc0cd7465a8a7cd424ad70e0585b027079ddc6","2015-12-09 18:58:02+01:00","bring back fab and finally delete selected feeds on long press :)

finally
i've found a way to delete custom feeds from db/listview at selected
position on long press:)
"
"79b07532285a3ff1871f64feed60e333f34adb11","2015-12-09 19:11:40+01:00","remove useless code
"
"714d2b2015ea3788f9beb2efba6b011ed16856e6","2015-12-09 20:17:16+01:00","add missing desc
"
"f546996385298f03858e07c59f0e5936e6284dbb","2015-12-09 21:08:44+01:00","simplify drawer header

- tweak the bg a little
- add a rss icon
- change normal and pressed colors of items of nav view
"
"8847ae8e02f8ebb97b31d3dae7b424bcb41db570","2015-12-09 21:10:46+01:00","fix as warnings
"
"4c80b0f04a59e4b7d7bd96a476abc1d36383ef75","2015-12-09 21:20:12+01:00","update credits/readme
"
"103d1deb7c94d918e5791eef219a5c7296150b82","2015-12-09 21:58:08+01:00","bump version to 6.6
"
"2067ca4adf2c4ae9f87c90b08dd1678c52200029","2015-12-09 22:21:15+01:00","remove useless resources and update apk
"
