"commit id","commit date","commit message"
"8c9bccb2531a5855bbb93d8fda3dc1c00ce89acf","2011-04-01 15:03:05-04:00","started repo
"
"51c1649198d3e7b3b722df50bf38f86048882319","2011-04-01 15:03:26-04:00","first stab at script to create dir layout
"
"dc0a8862a3600a77c95c1816b7f88aecca6bfd23","2011-04-01 15:04:49-04:00","added busybox binary from http://benno.id.au/android/busybox
"
"e018d8774fb815eb93a55e50087dff95f3c868d5","2011-04-01 16:03:42-04:00","tar'ed /usr/share/debootstrap from Debian/squeeze version 1.0.26+squeeze1
"
"655ead0956f93f3c2c71c930fd0cece9beba82f6","2011-04-01 16:11:06-04:00","added resolv.conf with known public nameservers
"
"cc98b7b3d71fc301951817f1c2321ecbcc1bf64a","2011-04-01 17:17:29-04:00","added debootstrap and pkgdetails from svn://svn.openwrt.org/openwrt/packages/admin/debootstrap
"
"0d1b10ff43c3150bad9fabaa365050f6aa0c214e","2011-04-01 17:27:27-04:00","made NDK build system for debootstrap/files/pkgconfig
"
"5b330040534ee90ab64e5502e7c650e8a65e17a8","2011-04-01 17:28:36-04:00","quick hack rebase
"
"8009972564aa3396d4a704793ddbc46558344253","2011-04-05 16:28:29-04:00","script to automatically set up the Debian image, mount, and run debootstrap for CM
"
"8127a6857f7c8caa7ddf979d21783f1f26bc3896","2011-04-05 16:28:54-04:00","download and extract debootstrap from squeeze
"
"5b80153f50ca77e4083a95bd7d0dbbc3cdec7801","2011-04-05 17:37:07-04:00","this script and patches got everything to the point of a running debootstrap first stage
"
"d545db7776d8b8c31904f194c41bc0b93c5338ab","2011-04-05 23:35:46-04:00","first working install of Debian!
"
"6b00d249ee6c0b73cde6dfed4ecca41d3a0de505","2011-04-05 23:42:59-04:00","run 'apt-get autoclean' after install to delete package cache
"
"709b0bc4e8b540653bc91771f0efab2a7d23483b","2011-04-05 23:56:35-04:00","make sure /data/busybox exists before installing there
"
"4fc34b35524f4141f4761d7300a19b68790ec73b","2011-04-06 00:13:38-04:00","we need a minimum image size of about 200megs
"
"6429c98c284ee9be65d3388f85f5f7d2a44d77a3","2011-04-06 00:14:11-04:00","first stab at a script to start the Debian environment
"
"d64cf004044f1ee483dc8fc69fd6a25c6f852c27","2011-04-06 00:42:38-04:00","download and build a custom busybox, preliminary attempt
"
"f50042b8386705b7e38fa2bef622c6cb871c904d","2011-04-06 00:45:11-04:00","a collection of binary kernel modules that might prove useful
"
"8bff42aa82c36690bba1b85e261919c63104fdfc","2011-04-06 09:14:14-04:00","created script to remove everything creating by this on the phone
"
"aa0edd6e9ee5293e85e0c290f7d1ad7ecb12560b","2011-04-06 09:14:34-04:00","make git ignore downloads and build products
"
"9214c6f4239b3e21e3cde4572d0082fb7ce9549a","2011-04-06 10:31:17-04:00","bug fixes to the auto-creation script, it completes on its own now
"
"15ff53a26982e4c12c13ec2e3840e76968782fb8","2011-04-06 10:42:33-04:00","added security updates to apt-get's /etc/apt/sources.list
"
"50136ebec1db3ce1f943144f7aea93f26de6ecee","2011-05-12 15:22:57-04:00","filed from Kevin Galligan and his LittleDebby.apk
"
"794758b81e126142990a8a26d6eae68739dd5dcb","2011-05-12 15:24:33-04:00","first stab at an Eclipse project
"
"5937b0ac82eb7dfbbbf14113aa634fc1f11877c1","2011-05-12 15:28:08-04:00","added .gitignore to bin/ and gen/ to try to ease building for newbies
"
"75714772e918e0dbc97d72a5acb9f96e860010ca","2011-05-12 15:37:12-04:00","ignored busybox stuff and local.properties
"
"df102bfd8e5a1d18a34e9ef3351df608ad6bbb17","2011-05-12 15:40:46-04:00","made naming consistent, using LilDebi throughout
"
"0c9ff9e179e091ab563917241218a2e5e18e964d","2011-05-12 15:48:04-04:00","check if mBoundService is null before using it
"
"8d1a77e78b82abcb0c671aeb7dcad4fbe4921b68","2011-05-12 15:49:51-04:00","ran Eclipe Ctrl-I auto-indenting on Java source
"
"089a7c134ab0dc4e0a2f3d4e23cf90a5f6ffaaf4","2011-05-12 15:51:28-04:00","cleaned up simple warnings
"
"18f114eed83c50055761a1c711c21d1a2d62c5d3","2011-05-12 18:23:57-04:00","added check for ext2 in /proc/filesystems and an Uninstall activity if ext2 not found
"
"b78420ba3c908a8af4f4787c80be058bae1c253b","2011-05-12 18:33:50-04:00","added list of official country-based Debian mirrors
"
"d999c7a7909b01e0bb529621366b5aff0eb52fb5","2011-06-08 16:49:34-04:00","ignore bin/ and gen/
"
"9e5d767800c7ded87f85ac0836be42679ea7482a","2011-06-08 16:51:43-04:00","set up for automated ant builds
"
"069d3c006b9421c139b2b01d41626aa40b61d42c","2011-06-09 12:23:30-04:00","moved binaries and scripts to assets/ so they get included in the app
"
"7f05d782774ee97a40911632f5219e0e8e6fa3b6","2011-06-09 12:24:23-04:00","moved kernal module binaries to external/
"
"f19e5beb097b5f8d9ead7c3d22a5e2d6812ca497","2011-06-09 12:26:24-04:00","added GPLv3 as license
"
"e95a936acbe0189c10cd54899f7283ff6fdd6628","2011-06-14 14:04:40-04:00","rename 'repo' to 'mirror' in create-debian-setup.sh for clarity
"
"fa5688fbade04b23f38ae9c885b05c594ef25fd1","2011-06-14 14:09:35-04:00","set the distro, mirror, and imagesize from cmd line args
"
"fc20de3adaa0524690548b0ed9c3be9919ad6d1d","2011-06-14 14:42:23-04:00","cleaned up mirror selection
"
"4e22c3af6457e086544fd71539de3961221040b6","2011-06-14 14:43:49-04:00","rename SelectInstallMirror to SelectMirror
"
"1d89288aacc51b0c07dd194785a5f91165018104","2011-06-14 14:44:07-04:00","first stab at a stop script
"
"3fc568d7e1c6b22ce89712e15a14efe7ba8fa350","2011-06-14 15:13:04-04:00","added SelectDistro activity to choose which distro to install
"
"1886256e8f8552739cf400f86d548a80e884e92a","2011-06-14 16:16:15-04:00","tightened up install screen layout and added Image Size EditText
"
"65843aeabd5083b24bc8a9611f6822cea9116b5b","2011-06-14 16:32:18-04:00","pass distro, mirror, and imagesize to InstallService via Intent extras
"
"5372f9e3a2c2fcdaa54d64a5ebfa3259db19e94c","2011-06-14 17:36:53-04:00","used TorServiceUtils.checkRootAccess() to check we have working root access
"
"21467e213c1db4d420bc24c427df844b610f1557","2011-06-14 18:38:22-04:00","update remove script to leave /data/busybox and delete /bin link
"
