"commit id","commit date","commit message"
"d6f410b4519ab175b3bc2dab05da38c391f0ff94","2015-01-19 07:50:41+01:00","initial version
"
"88c0cfde3d043307d3f2e98e46b123f53fb32077","2015-01-19 08:16:05+01:00","Initial commit
"
"d9491372f8782caa45597a4dbdc0164dc92395e9","2015-01-19 08:21:01+01:00","fixed compile error
"
"72f4d1b363f80605f239e2aa316dd3ea34d9b680","2015-01-19 08:23:43+01:00","Merge https://github.com/k3b/LocationMapViewer

Conflicts:
README.md
"
"c99ab10bd0b0ba846bfbd69554cb7bdbad96b71e","2015-01-19 08:32:03+01:00","Added gpl
"
"51ac25cbd9557c4fe75f3f2057ed8ad402ba9a4f","2015-01-19 20:35:37+01:00","Implemented setCenterZoom from geo-Uri
"
"a43eb0618ef4c65860a34a61e6f73764954039c3","2015-01-20 06:36:31+01:00","refactored: removed Osm specific GeoPointDto
"
"4fd80503e6002942bf766d6590b17bb96d0d3e27","2015-01-20 07:23:47+01:00","Refactored GpxReader into an event based GpxReaderBase and a collecting part GpxReader
"
"e8f769972d1ad20e373328eb5edbb3aa38ada308","2015-01-20 07:58:26+01:00","Updated README.md
"
"1039169cea0b70f586db0d6036442db26f8cbd66","2015-01-20 07:58:26+01:00","Updated README.md
"
"8660417d8ac0d027fb8bbbd679123d1454aa0886","2015-01-20 08:04:08+01:00","Merge https://github.com/k3b/LocationMapViewer

Conflicts:
README.md
"
"4571847ad652ad13fa539b8d2015ad7c1c4ed55c","2015-01-20 21:38:02+01:00","Included gpx-file parser
"
"cc2193b6f1a4ba2154053db7db8e61ecdd68b2a5","2015-01-21 22:59:10+01:00","gpx-file autoZoomTo to show all point in gpx file
"
"db88bad610e1e80ecd957b2727c43cb237e45ac9","2015-01-22 17:30:27+01:00","added support for formats gpx-v1.0 and kml-v2.2
"
"1079226b2d3ea020261132dfbbca0469be555dc8","2015-01-22 18:12:06+01:00","xml parser Implemented support xml-namespaces so it can even pick gpx/kml that is embedded in other xml-formats
"
"7c18ec9113e3339ab63e242862cbefb6863dfdcf","2015-01-26 07:39:40+01:00","added from http://osmbonuspack.googlecode.com/svn/trunk/ changeset 612 20150124: OSMBonusPack with gradle-dependencies instead of local lib
"
"6c729bf97a0788f6b5f3f2bd05191a3860a365fe","2015-01-26 07:50:59+01:00","OSMBonusPack fixed build errors
"
"b699d41fcff9eb113128b07f9796b6eac5add29f","2015-01-28 21:13:15+01:00","added BonusTutorialActivity to find out why LocationMapViewer.java crashes
"
"333b459821af7b506fa87721fadc73c74544bfa8","2015-01-28 21:34:42+01:00","removed uninteresting code
"
"5f9b10d541b514417cab6d7b5f4e4706ddbe8e57","2015-01-29 15:14:47+01:00","fixed sample so it does not crash in android 2.1 any more
"
"b488a3dab8884e5592e46ad298f9d28d2da2bc72","2015-01-29 17:06:50+01:00","Reverted chages in bonuspack and BonusTutorialActivity. Replaced RadiusMarkerClusterer with RadiusMarkerClustererWithInfo to avoid crash in android2.1
"
"6af16747be82ace809e68ad18cc4c5fbf5e214cf","2015-01-29 17:16:42+01:00","Merge branch 'test' without test code: Fixed Exception in Android2.1 RadiusMarkerClusterer
"
"fb87f6708e52e854c7da6ff4dde2e5a8feb84102","2015-02-02 12:05:37+01:00","Added PREFS_USE_DATA_CONNECTION and PREFS_CLUSTER_POINTS
"
"c905a8378da9f6d3c289a6cba44d2cea14ab56ac","2015-02-02 12:06:49+01:00","Tried to add workaround for useDataConnection does not prevent tile-download in emulator.
"
"4aa8d17a21f1f9dbfd0ed1933af6fae7ab4eacdf","2015-02-05 17:18:38+01:00","Removed locationMapViewer preferences offline because it is not completed/working osmDroid
"
"00b2f870d9b7ef34236b454236bab556b2f5e167","2015-02-05 18:53:01+01:00","GeoIntentDemoActivity Fixed initial geo uri; LocationMapViewer: removed polygon demo code
"
"0447071786aba9fdbf931904d5710eb5a37028a4","2015-02-09 11:18:17+01:00","Started customizing LocationMapViewer as picker
"
"f6205bbd881049932fd16ff6135213dbd1a0b3b9","2015-02-09 12:15:00+01:00","Started with geo picker
"
"9fcfc39703b7066355080a6511670c434104211e","2015-02-09 22:44:33+01:00","added more bubble-Data
"
"e69c7478b09240fd06d7d1d39ca497e01da19121","2015-03-09 19:57:04+01:00","fixed parsing dates in GpxFormatter-parser
"
"5bdf291855a68a33d65082283c5bc9ec7e558238","2015-03-09 22:56:58+01:00","not working yet: GuestureOverlay
"
"aa52ecaf791a0387f00ecb81475dce912592ea2e","2015-03-10 23:09:54+01:00","GuestureOverlay DoubleDrag show selection as square
"
"c5201cf6a5c1ea4392039ecd2b8d3fb188ab7bee","2015-03-12 18:29:33+01:00","Added aboutbox, debug-settings, Icon
"
"f4eb107939111b8a332327db8c3eaf64c4a5c8fc","2015-03-13 15:26:23+01:00","curent lat/lon/zoom can be modified/viewed in the SettingsActivity.java
"
"1ef63795c2d67d3952afdfdbf5ace945c0068f4e","2015-03-13 15:51:32+01:00","updated current status
"
"470861b3a9fd42d69e53d95e671eb5e79ab4333b","2015-03-13 16:35:54+01:00","Merge branch 'test'

Resolved Conflicts:
LocationMapViewer/src/main/AndroidManifest.xml
"
"5a04ea855c1054914f0e54181821cc699a685b3a","2015-03-16 10:14:54+01:00","Finiszhed implementing GuestureOverlay: DTouch: ZoomInWithNewCenter; DDrag: ZoomToFitRectangle
"
"b1faf8626d81c121048e1f0e9f251880df88a7a4","2015-03-16 12:26:42+01:00","Added ZoomBar (zoom level slider)
"
"7d8c7ba63f0144e253fc3e5085028ebfb7f6e5e2","2015-03-16 13:33:32+01:00","updated dokumentation. Version 0.2.1.150115
"
"4b050cb5952dff55b6fdc4e3cf59a78615db3147","2015-03-16 21:53:54+01:00","fixed intent-filter. about box with <a href='geo:...'... links demonstrating html-api
"
"1e30ab6feea85781f5df5bb6e924b0a35d688dfb","2015-03-16 22:07:01+01:00","Merge branch 'develop'

Conflict solved:
LocationMapViewer/src/main/AndroidManifest.xml
"
"abd8ddb65b90668179611a29359ed2a01092c144","2015-03-16 23:08:58+01:00","polished app documentation
"
