"commit id","commit date","commit message"
"1151f57013101278762e0dcdca6cfa3c318b9d46","2014-05-07 22:39:08+05:30","Initial Commit

* Database
* Basic layout
"
"71ab8ba96f5b67a838fab0508e25922d65ff0ba4","2014-05-20 18:37:50+05:30","Implementer login and logout functions
"
"51b716cebea38d3df1349983945c7336cb37acb8","2014-05-20 21:22:23+05:30","Get Internet permissions
"
"c85e28e96b4d9c70edc33bc638c5e5fa3290ee41","2014-05-20 21:22:53+05:30","Added Logout button and debugTextView
"
"1673bbf0cb70247ec5405dae9afb0c36e53ab0fc","2014-05-20 21:23:28+05:30","Network on seperate thread, onClick events listeners

* Run all network operations on a sepearate thread
* onClick events listeners created
"
"f0be887a45a7835d541efb0f931b54d22b192946","2014-05-20 22:38:12+05:30","Renamed full package
"
"7e0f4dd3f32a2d6d222e5aed094d731cb4c02186","2014-05-28 00:01:09+05:30","Slightly fixed my fuck up
"
"ec6f64e80e72c7f22e1c7bc9a7411d2502ab2c11","2014-05-28 00:26:33+05:30","saveToDatabase, getUsername, getPassword functions created
"
"90d80639cfd768f0b8489bc4371d257402ca69dd","2014-05-28 00:58:39+05:30","Change height of Logout button
"
"b5a8feb1db14e421d2826af86d9c0a72a055822c","2014-05-28 00:59:14+05:30","Fixed database read error to access last entered password
"
