"commit id","commit date","commit message"
"3ea5ed4ffe600fa11a3deb3de58d5bd5bbb65ee1","2014-12-26 11:02:26-05:00","Uncomment version patch field
"
"b67f37f27ea7d89b2098fa9fcc2533fa1091e695","2014-12-17 03:20:17-05:00","Redefine NodeResolver interface and replace with callback mechanism
"
"08d259cf41db805ada7c39a39ffe9dcec4f0c230","2014-12-27 22:20:04-05:00","Set fallback content if resolving content vector requires everything
"
"ae2721f2c84183cea4e447009a59ce606601702e","2014-12-27 22:35:05-05:00","VoxelManipulator: Remove unnecessary deallocation steps
"
"8334100fe1b1bb40bfebff9ec9780c18fe3fd0c7","2014-12-27 23:09:36-05:00","LuaVoxelManip: Add option to allocate blank data
"
"8c98f497d957835803dd43a98a23a5d0eb98124c","2014-12-28 03:09:24-05:00","PseudoRandom: Expose constant PSEUDORANDOM_MAX
"
"900fa26965a2fbdf2b9de74e2d680c083de91482","2014-12-28 03:11:00-05:00","Ore: Add Blob ore type
"
"61dfa912f5f37f435e41b3c7d8cdb6244562e597","2014-12-28 21:17:12-05:00","Ore: Add Vein ore type
"
"570c2042b1b11fc1581dceb22c74cf47bb217134","2014-12-28 05:20:42+00:00","Biome API: Add shore top and shore filler nodes, underwater node, water top node. Add water top depth and shore height parameters. Remove water dust node
"
"c5faa644056c892ccf5e41cfde87a5b107149951","2014-12-28 22:35:14-05:00","Cavegen: Fix copy & paste error (solves #2020)
"
"863379a4c68b9862ea6913c1b1e475d022aba100","2014-12-28 22:37:27-05:00","Decoration: Add height_min and height_max parameters

Also set default height_min/height_max to -31000 and 31000,
respectively, for ore and biomes
"
"91c00d29a53a944d910d2adb40c25188a37749ed","2014-12-28 16:52:51+01:00","Skip further loading of client if there was an exit signal
"
"86cfbc21da10e9984a1b9f8f2f5bf259fba5efb9","2014-12-27 16:13:07+01:00","MainMenu: Save 'hide gamemods' and 'hide modpack contents' checkbox state (fixes #1960)
"
"ab55da589c27e65e54956b32a1550e21169447ae","2014-12-18 23:50:31-03:00","Faster string.split implementation.
"
"acb351950287339b3dcd44e462999e3317047401","2014-08-22 19:25:21+02:00","Fix MSVC compiler warning about passing this pointer in initializer list
"
"3c637b4bafcef7b90c98a8d656d300ccd8d37eac","2014-12-28 23:58:06-05:00","LuaItemStack: Fix and document behavior of set_name, set_count, set_wear, set_metadata
"
"cc3ab5efa527884e40cfc8e44692ed892d3480b3","2014-12-29 01:31:37-05:00","LuaVoxelManip: Remove blank allocator
"
"9eb492229b47aa10388555056e7f4effee841371","2014-12-29 01:46:13-05:00","FontEngine: Don't use file extension to check font file compatibility
"
"5038b9aaeced00396e37f4d6665f8afe21169a8a","2014-12-29 02:30:03-05:00","Print unit test failures to dstream
"
"3993102e880f2a31b6fef9484b8527a58e850744","2014-12-29 23:53:08+10:00","Fix -Wtype-limits warnings and remove disabling of -Wtype-limits
"
"101baf620c8443a6d2c8972fc6b379641028c5fb","2014-12-25 06:11:53+01:00","Add util/bump_version.sh
"
"4150e533b307fc2e00a298615a5bb0b4dfe3434b","2014-12-28 15:51:45+09:00","Update Japanese Translation
"
"62feade05da387cd6b230e7a0edf558c6fd7c099","2014-12-09 23:27:25-04:30","Add extra buttons to Android GUI. All icons are licensed by freepik.com under CC BY 3.0
"
"a79a116ac8ca0ebdf79bdbbc9e67643334fc6ae6","2014-12-11 23:53:19-04:30","Center status text for better visibility.
"
"ff3cfb746e203ed02160de09b1912b543c5a25f0","2014-12-11 06:52:20+01:00","Ignore downloaded public serverlist if public_serverlist is false

Fixes #1807: When the server list finishes downloading, the local server
list resets in certain conditions
"
"5e2753c712e8f65fa50f4889fc1422393ba21413","2014-12-29 12:58:55-05:00","Expose mapgen parameters on scripting init

Add minetest.get_mapgen_params()
Deprecate minetest.register_on_mapgen_init()
"
"ca89e63b27a2548a7615fcf4943c22f88818f6eb","2014-12-29 21:23:51-05:00","Add core.get_mapgen_names() to Main Menu API (and use it)

Also rewrite mapgen registration for static initialization
"
"0974337804bde705544b9d237df57f92d5ea5253","2014-12-29 21:44:52-05:00","Mapgen: Use getBlockSeed2() for blockseeds (much better uniformity)
"
