"0.2.20110731_3","2011/07/31"
"0.2.20110922","2011/09/22"
"0.2.20110922_1","2011/09/22"
"0.2.20110922_2","2011/09/27"
"0.2.20110922_3","2011/10/16"
"0.3.dev-20111021","2011/10/21"
"0.3.0","2011/11/01"
"0.3.1","2011/11/09"
"0.4.dev-20111201-0","2011/12/01"
"0.4.dev-20111202-1","2011/12/02"
"0.4.dev-20111203-1","2011/12/03"
"0.4.dev-20111203-2","2011/12/03"
"0.4.dev-20111203-3","2011/12/03"
"0.4.dev-20111204-1","2011/12/04"
"0.4.dev-20111209-1","2011/12/09"
"0.4.dev-20120106-1","2012/01/06"
"sapier-20120115","2012/01/15"
"0.4.dev-20120122-1","2012/01/22"
"20120204_luaentity_allfaces","2012/02/04"
"sapier-20120207","2012/02/07"
"0.4.dev-20120318","2012/03/18"
"0.4.dev-20120320","2012/03/20"
"0.4.dev-20120326","2012/03/27"
"0.4.dev-20120408","2012/04/08"
"0.3.2","2012/05/12"
"0.4.dev-20120603","2012/06/04"
"0.4.dev-20120606","2012/06/07"
"0.4.0","2012/07/21"
"0.4.1","2012/07/21"
"0.4.2-rc1","2012/07/28"
"0.4.3","2012/09/05"
"0.4.4","2012/12/06"
"0.4.5","2013/03/04"
"0.4.6","2013/04/03"
"0.4.7","2013/06/06"
"0.4.7-MSVC","2013/06/06"
"0.4.8","2013/11/24"
"0.4.9","2014/01/01"
"0.4.10","2014/07/07"
"0.4.11","2014/12/24"
"0.4.12","2015/02/18"
"0.5.0-dev","2015/02/25"
"0.4.13","2015/08/20"
"0.4.14","2016/05/15"
"Latest","2016/07/12"
