"commit id","commit date","commit message"
"e89810a3d808706df91b7618f6e1a3e5e39c1ba2","2013-10-17 01:04:47+02:00","Begin to fix recurring Reminders
"
"0066fa7b985dd76046f0aa2ae4b169ccc29702f2","2013-10-18 00:56:39+02:00","Try to fix Recurring Reminder
"
"5b970137e5432ed4e69d9203e418fcdd880423ee","2013-10-19 00:00:46+02:00","Reorder menu-actions
"
"2d41615cd348d072289457d286e6554538a28c65","2013-10-19 00:01:22+02:00","Rework Taskfragmentdesign #67
see https://plus.google.com/photos/113340669361037442174/albums/5935406504281045425/5935406504551301074?sqi=110640831388790835840&sqsi=66f379f2-bf36-4fcf-8d30-1f9923101dd5
"
"85fd4805dcdf17aa943a6c8afe6e2d30477a5841","2013-10-19 14:25:56+02:00","V++
"
"ee08504fb43a2d6a322590233c10e72493f3d68a","2013-10-19 14:36:38+02:00","Fixed Nullpointer

6adc8820783dab0285500cdc413fc6d5
"
"3280340492728d56aa6bf5723513bece82e08297","2013-10-19 15:02:19+02:00","Fix delete List
"
"692c758e31daabf82d5e21bebd1dd9a24514d83e","2013-10-19 15:03:57+02:00","Improve TaskfragmentLayout
"
"e84c577312e3c3c7dafd5187e6ea6988e60643f3","2013-10-19 15:05:29+02:00","Merge branch 'v1.2' of github.com:azapps/mirakel-android into v1.2
"
"f6aa76d34a33cde8a15d6a7b9554c8b3c731b28e","2013-10-19 15:12:22+02:00","Fixed Nullpointer

7031f0485a53bd5ac934a4781b2923d5
"
"30e726289ef7411162d5b4a8e69c3d84044c2412","2013-10-19 15:28:56+02:00","Bugfixing + cleanup
"
"488aaac6edbafb0e8f71f9d82fb71167431513f0","2013-10-19 15:31:41+02:00","Bugfix (the text should be black in the light theme) + cleanup
"
"ca9df38f6eefde9b5516c07a02011ac4f5e1f50d","2013-10-20 17:20:16+02:00","Improve TaskfragmentLayout(Move Buttons to the right side again)
"
"30e037a213df80b63c9931b7851af2449ad0fcbf","2013-10-20 17:07:50+01:00","Corrected grammar for strings.xml
"
"9841102d00c9b7c52f890cc04e48f297b7b908b6","2013-10-20 17:08:24+01:00","Corrected grammar for English for string_settings.xml
"
"98bc083aa0d6a52fb5605815fcf74ce47bb2d514","2013-10-20 17:09:01+01:00","Corrected grammar for English in strings_special_list.xml
"
"3defc45a79013a105350c9a30f502baaa8db0caf","2013-10-20 18:29:38+02:00","Add possibility to change language
"
"a1fe12672b8c6dc985d9c01b02907c35bfac3317","2013-10-20 20:59:48+02:00","Fix #75
"
"7f7688fd5e32e112ee73a6135c33502069eda71f","2013-10-20 12:11:59-07:00","Merge pull request #76 from faemir/fix_english

Fix english
"
"358b8c28a4fe95ea73f97570624bf2157e30ba34","2013-10-20 17:09:01+01:00","Corrected grammar for English in strings_special_list.xml
"
"e99263b1d915dd14e4b5af4dcff115c9b2cf27e4","2013-10-20 17:08:24+01:00","Merge
"
"1df15a645f6733626301aa93f2d5bb237f413707","2013-10-20 17:07:50+01:00","Corrected grammar for strings.xml
"
"b7e003b15a6c47936887dd6d09003edf3f7f46b1","2013-10-20 23:03:05+02:00","First simple Any.Do import(see #71)
"
"8d75a924bf7f16eb1d5bfcf8b275c6274847ea42","2013-10-21 20:51:54+02:00","Improve Any.Do import
"
"2e9eac2cca6d7ceab98661e308fbcbd477f64a8f","2013-10-22 22:06:14+02:00","Fixed the most annoying Bug in Mirakel ever
"
"eae737d35e728a0086b365b00cb89047876635f3","2013-10-22 22:11:58+02:00","Merge branch 'nextTry' into v1.2

Conflicts:
res/values/strings_settings.xml
"
"c6bc85b135a980f914cbc0a179208fe9072b415a","2013-10-22 23:05:07+02:00","Improved TaskFragment
"
"9370703009e7216a0a6201b55e7aeeb79cf81111","2013-10-23 01:14:23+02:00","Add new Minimal Widget
"
"7eb6661f866c937fae8134c4b6ef67210d392961","2013-10-23 01:16:45+02:00","fix #77
"
"16642ee9f30de8491cb66091efbcd36a6feb683f","2013-10-23 01:17:23+02:00","Fix #78
"
"ec1db33c36d7deec3d47f63c58ecc309e345e308","2013-10-23 01:18:28+02:00","Fix possible nullpointer
"
"31ed728c6e40bc2cb042e28f318b315331240c36","2013-10-23 01:18:39+02:00","Merge branch 'v1.2' of github.com:azapps/mirakel-android into v1.2
"
"13ae8d84e626d8b0cb0c06b96eaa4dd59861c81b","2013-10-23 14:45:44+02:00","Fix possible nullpointer
"
"afa9e8be97f0cb23c1a6a498d4512ecd42f3bafc","2013-10-23 14:46:45+02:00","Revert 'Fix #78'

This reverts commit 16642ee9f30de8491cb66091efbcd36a6feb683f.
"
"0b4967ef55e921ff825f760e124df53245d12010","2013-10-23 15:00:04+02:00","Better fix for #78
"
"9e41dc1f9e176a7015ceab954296fc74dd6b066d","2013-10-23 15:03:15+02:00","Cleanup menuentries
"
"a64567ceb0dd940bdb2dccda2a7f20936d8c35ed","2013-10-23 15:09:02+02:00","Hide deletbutton in special lists(fix #80)
"
"4440f6eccd95d39ef20a7ddbe2d45e7ef25666f7","2013-10-23 15:13:33+02:00","Fix #79
"
"ece61e4e7edfb8611b7d9eb94320cd36f31dadf9","2013-10-23 17:29:07+02:00","Improved Minimalistic Widget
"
"a525a8a6ea9ba9a3a2dc381fc9bb93d0fd885d6c","2013-10-23 19:14:46+02:00","Fix #83
"
"0ff1cd6a473c5ce83f45aebff12681b7bb0a441e","2013-10-23 19:24:22+02:00","First step of reimplementing the widgets
"
"2015fe041f02fba2a1a5b8e421435997bdf142d2","2013-10-23 19:24:30+02:00","Merge branch 'v1.2' of github.com:azapps/mirakel-android into v1.2
"
"9a8ab7a6f5ff5c546467b4c021aec870de77b887","2013-10-23 21:22:49+02:00","Widget is nearly working
"
"eb03aa068abe9994270c87d8a9a65d23298d50cf","2013-10-23 22:36:24+02:00","Improved Minimalistic Widget
"
"a843b0dd30c0b71ee5c6722dfb8a50737a88a621","2013-10-23 22:59:28+02:00","Fix onclick WidgetTask
"
"8530815c5ff995cd0a0a5f91d906da7aef807dca","2013-10-23 23:00:17+02:00","Merge branch 'v1.2' of github.com:azapps/mirakel-android into v1.2
"
"cf6bc1ca18d77148a906f4a2b9c03d52865d411f","2013-10-24 01:24:54+02:00","Make fontcolor in minimalwidget configurable
"
"b63e49770497c79ec96816526a433991929e8af5","2013-10-25 00:30:42+02:00","Improve Widgets(Fix #74)
"
"3b8c3e061c55c928b930b5b964e5edc01487dc21","2013-10-25 23:55:44+02:00","Fix onListClick issues
"
"9a4a6c960fb57f661ba44b1091a15e28d4ed95bc","2013-10-26 18:56:16+02:00","Fix show keyboard issue
"
"6a1833d892b6ae12a78bf22fb7bb34028bd9276c","2013-10-26 23:30:25+02:00","Try to fix keyboardissues, nearly working only sometimes the keyboard is missing
"
"52b6e6e0531e6f118511e9f9d26b923f12b2c7f2","2013-10-27 15:42:51+01:00","Improved Widgets
"
"51dbaf15448de24894d137790e2abba7c1fa1afc","2013-10-27 16:40:09+01:00","Improved GUI
"
"2bf370bb910321f2309f71b478e086dc399c8ee6","2013-10-27 16:52:04+01:00","Fixed #84: Recurring tasks don't clear notification
"
"4a2b740865d238c7d6fa95367fcf613dccc4036d","2013-10-27 17:09:55+01:00","Fixed #68: Disable opening the List-drawer from the TaskFragment
"
"a368463874efd524032d29c78e657f1f19901155","2013-10-27 22:41:26+01:00","Fix keyboardbug
"
"234c93c4fafd27abe3ecae623682a56397c82cb6","2013-10-27 22:58:49+01:00","Fix close on open from widget
"
"0bfef2e66c714c6331ca5dc33e6c9959afe6d6b4","2013-10-28 18:18:04+01:00","Cleanup and replaced fromShared with closeOnBack
"
"f79c4307e0e4993c5f048e2409a20bef24e35db2","2013-10-28 18:18:54+01:00","Fix #86 and make special-list deleteable from tasksfragment
"
"fd9ec755886069c3f0981e2974c04a633af3e68d","2013-10-28 21:29:50+01:00","Fix #73: Improve recurring tasks
"
"944b8148706fbca71dd87d2adc99c922153a55ec","2013-10-28 21:30:01+01:00","Merge branch 'v1.2' of github.com:azapps/mirakel-android into v1.2
"
"6f8f5acecf17554c9f5cd91d405e486020aa8d01","2013-10-29 16:19:13+01:00","Better icons for reminder
"
"ef0b39da1975f67e75ce83b653661fbcf48422e1","2013-10-29 16:27:39+01:00","Improved DateTimePicker
"
"4324bfc3b4743474ee715b609abaf359fa8106b8","2013-10-29 16:41:12+01:00","Improved handling after moved task
"
"b8cb43ad960a631b212fcb9f90dd037a465751c5","2013-10-29 23:52:22+01:00","Fix on subtask click if swipe is enabled
"
"84afc85d96ffc0732bad2021084f39705353311a","2013-10-29 23:53:04+01:00","Fix #69
"
"2e26a69559b6753527c3e1e719ddc6c59ed5794e","2013-10-29 23:54:04+01:00","Merge
"
"b7d81cd599007f5c742028c1365684edd2ccbf3c","2013-10-30 00:18:14+01:00","More fixes for widget
"
"3d0d2a016f3fc757e138cf12b205c0a8df0c11b4","2013-10-30 10:47:27+01:00","Some keyboardfixes
"
"766bf6089690ddf0c3422bd07f85046ab9f0f9ce","2013-10-31 21:42:28+01:00","Close cursor
"
"45db002ddf3df774dd2e608aff9056070bf15313","2013-10-31 21:43:32+01:00","Fix TW-sync(close #91)
"
"bb93e8a233686699d43ab7bdfc6f23189d2eda33","2013-10-31 23:02:01+01:00","Fix some descriptions
"
"904bb5236042e17547d49babec8788f988fef87d","2013-11-01 16:01:22+01:00","Improve widgetupdate behavior for #81
"
"e3d9b5cbbcdd5d5bf3efa28b8ddc7273227dff42","2013-11-01 16:22:10+01:00","Try to fix settingscorruption
"
"1527e0d74f2a8553605e357d59f1893202ce3d4b","2013-11-01 20:18:10+01:00","Changed version and updated changelog
"
"a70423da5e0c097c250662ca8124f3c0f3fbd505","2013-11-01 21:26:29+01:00","Help us!
"
"aba461ddd8d33225050345927e9fc5edb5723137","2013-11-01 22:11:05+01:00","Fixed Lint errors
"
"99dc4d5f76d80d9e60f7499c5f5ab6f2a1b15ae4","2013-11-01 22:36:40+01:00","Fixed translations
"
"5a4b32822a11ec84e7cc69d37ebc7f1557fcbe2b","2013-11-01 22:49:27+01:00","Improved Layout
"
"cb48336c7144498607d41ae583ca653796bbc608","2013-11-01 23:09:42+01:00","Fixed #82: Subtaskdialog is not resized on option show
"
"fa53cb94ad51abead48bfccbd89f9de09dae0199","2013-11-02 00:18:17+01:00","Fix Widget on 2.x, should fix #81
"
"61f3d0ace9e72eb3305f5eef10154573cc18ced9","2013-11-02 00:20:18+01:00","Merge
"
"3eb752836faa54ecf2e6d53be96ff8b5962bc8a6","2013-11-02 00:20:55+01:00","Merge branch 'v1.2' of github.com:azapps/mirakel-android into v1.2
"
"389511909bae5607f050de31af48e7f066b24274","2013-11-02 00:30:46+01:00","Strings improvements
"
