"commit id","commit date","commit message"
"ac21586a40da6d7c643e1b12023b59aa05d13c14","2012-01-08 22:30:41-05:00","Bump version number again to exclude the ssh/scp sync option until we can fully vet it
"
"cd6272943ff1a621e4d0d721bd8f42a558f4a58c","2012-01-08 22:55:48-05:00","Update the README to exclude paypal donations
"
"6452162e473c1f46ed1ddbac1fcf0a3c11d12a3e","2012-01-15 13:34:19+01:00","Fixed encoding problem in NodeViewActivity
"
"5e181408f2abd4a11f64635669d1e68e4edf1d30","2012-01-16 19:13:39+01:00","Added optional timestamps to capturing.
"
"08b86d07f2fa2ef737ee6783d2f9f66e68bb1d61","2012-01-16 22:12:01-05:00","Merge remote-tracking branch 'origin/timestamp'

* origin/timestamp:
Added optional timestamps to capturing.
Fixed encoding problem in NodeViewActivity
"
"0ce0383dd16089d54f9d108d29ae96d1a67e3988","2012-01-16 22:25:40-05:00","Bump version for release
"
"c1ffbdc9fc1d643e1183cbbe6428e719816733a4","2012-01-16 22:27:17-05:00","Clear development dropbox keys
"
"409d9f3e95616ba479b14db5fcc2e6e9d0a37ec5","2012-01-19 20:24:38+01:00","Fixed crash when parsing #+ columns.
"
"f6078fa5351617b2df95a36e52afa2a244e913e3","2012-01-21 00:11:51-05:00","Merge remote-tracking branch 'refs/remotes/origin/database'

* refs/remotes/origin/database:
Enabled recursive viewing of nodes.
Refactored sql stuff into OrgDatabase.
Fixed payload parsing.
Speed up database inserts.
Added payloads into database. Improved outline and viewnode.
Created onString method for files.
Fixed outline.
Stripped out Node
Improvements to synchronizer.
Adapted EditNodeActivity to new database model.
Synching into database and navigation through outline now works.
Further improvements to database functions. Deleted NodeWriter.
Adapted gui partially to use cursors and further work and db stuff.
Created functions to save edits into database.
Added tables for changes and nodedata. Cleanups.
Cleaned up database functions.
Cleanups.

Conflicts:
src/com/matburt/mobileorg/Parsing/NodeWriter.java
src/com/matburt/mobileorg/Synchronizers/WebDAVSynchronizer.java
"
"a8f561d92f7993cd3e1a552c453d40e378286feb","2012-01-21 00:13:24-05:00","Merge remote-tracking branch 'refs/remotes/origin/crash_on_hash'

* refs/remotes/origin/crash_on_hash:
Fixed crash when parsing #+ columns.
"
"6f4563bd6e6ae6fc4a6bd0d5e7299fc872685414","2012-01-21 00:51:10-05:00","Fix Webdav wizard which could fail with a null exception
remove unused nodewriter
"
"e791cf84a73e63f955a2ddb9e48ab9c4536017b6","2012-01-21 01:04:45-05:00","Fix bug #142, ignore files listed in the index.org file but that don't exist
"
"a6ab1a3b364da505f6841cb992c9ab3edd8038df","2012-01-21 01:11:09-05:00","Allow application to run on 1.5+ again
"
"6ea4fe401bdd9a2aa19c8d184484d50c351b3dfc","2012-01-10 17:49:50+01:00","Started on implementing search dialog.
"
"07ba6fc65a343a5f5811d1b218ba2f7328491e0b","2012-01-22 15:21:14+01:00","Fixed some warnings, did some merging.
"
"ec3d1ca878649dbf77d30f796ce75dccfd1f3b38","2012-01-24 14:16:54+01:00","Created function that deletes a files' content from database.
"
"bd515f5dd87b774303546f27d186d16b0fb9e112","2012-01-24 15:19:50+01:00","Improved outline view.
"
"53b3c89b4098c7ffc8769edad8d26715654ba4c0","2012-01-24 15:38:34+01:00","Added clear database preference button and improved handling of
unconfigured sync.
"
"a40e2d318473bd05f9b6f194de0998f9bae1e7e6","2012-01-24 15:48:56+01:00","Fixed crash when viewing nodes recursively.
"
"43863320a18df74b087cdf1a89fcc974f3054412","2012-01-24 16:06:25+01:00","Fixed menu in ViewNode.
"
"0bb669c77d8a36d8395cceeab1c318c44f4e0921","2012-01-24 17:04:27+01:00","Reenabled displaying of tags.
"
"b8e8f663e226a99087b6e63128231afb985e6831","2012-01-24 17:52:09+01:00","Implemented primitive search.
"
"3834aa0cf78048beca259f61f048ded06a35b18e","2012-01-24 19:29:30+01:00","Adapted actionbar to new codebase.
"
"1a9aaccf0870ef929b1ab919411307b5b096cda1","2012-01-25 12:18:28+01:00","Fixed capturing of nodes.
"
"0798a355e12ad5b3ead9b7bccae594a33d63d593","2012-01-25 12:47:54+01:00","Added preference for selecting default todo on capture.
"
"c46e868d97547de9c1db98e194c06b546d345afd","2012-01-25 13:03:18+01:00","Cleaned up db migration.
"
"4eb6c0d17ef9f33b25bf96336edc8b2438e30a8b","2012-01-25 13:07:29+01:00","Fixed small typo.
"
"cde984679d1956afd5d724fda422a11a425b3cfa","2012-01-25 18:01:25+01:00","Fixed parsing of habits.
"
"c0924d8c5121e770af174f703f268de830fb317e","2012-01-25 19:54:14+01:00","Fixed editing of nodes. Now olp path will be set correctly.
"
"a66c95b7cfb585456371b9273481a200d934d704","2012-01-25 20:13:56+01:00","Editing nodes now causes update of entry in database.
"
"d0859c4a5129603c03e6889f46aa8062192b3393","2012-01-25 21:28:21+01:00","Added parsing of titles from agenda file.
"
"1276a06738590d1891f0732021a54ff9b724a65e","2012-01-25 22:55:41-05:00","Merge remote-tracking branch 'origin/database'

* origin/database:
Implemented primitive search.
Reenabled displaying of tags.
Fixed menu in ViewNode.
Fixed crash when viewing nodes recursively.
Added clear database preference button and improved handling of unconfigured sync.
Improved outline view.
Created function that deletes a files' content from database.
Fixed some warnings, did some merging.
Started on implementing search dialog.
"
