"commit id","commit date","commit message"
"a897e8ce6cfa2ea823d4a27aadcedee67a5b81c6","2012-06-10 15:58:42+08:00","Fix github
"
"d92e2bcc547fb04048bd72aeab82cc2ad1b45404","2012-06-10 16:25:30+08:00","Fixed package name
"
"f911bf86b8d6b992ca274e69240ceacc771309fe","2012-06-11 23:43:03+08:00","Added user-based command auto suggestion or completion
"
"626f9fc2c3c2d35fcf29a6306dea895a4fef0f16","2012-06-14 21:41:29+08:00","Updated README
"
"5a5e3d735b9d94d4d3ad385a37f95bee30625797","2015-09-10 17:58:37+02:00","Update README.md
"
"525f942f61ae3b26dd753e9be10c3de32b05f34d","2015-09-10 17:59:35+02:00","Rename ssh_qwerty.xml to ssh_neo.xml
"
"459721aeabcf41e23d9b677c7dbac01103ac2b71","2015-09-10 18:01:39+02:00","Update keyboards.xml
"
"9d63ff6ebb328b737efaede55ac815079dc8e1b1","2015-09-10 19:21:51+02:00","Update ssh_neo.xml
"
"03363fe2d86b29cfe93565085a1463c09c905230","2015-09-10 19:59:14+02:00","Update ssh_neo.xml
"
"e4e7b81cb9eae1dcb2fb554f51ddc3e8c43255dc","2015-09-10 20:01:49+02:00","Update KeyboardBroadcastReceiver.java
"
"5385c4e9472eb3cebb3142bc1d7091fbe1a41af9","2015-09-10 20:23:13+02:00","zum Commit vorgemerkte Änderungen:
neue Datei:     src/com/anysoftkeyboard/languagepack/neo/KeyboardBroadcastReceiver.java
Änderungen, die nicht zum Commit vorgemerkt sind:
gelöscht:       src/com/anysoftkeyboard/languagepack/SSH/KeyboardBroadcastReceiver.java
"
"399e3df381a352f849808a0f248f155ade14ac0b","2015-09-10 20:32:44+02:00","Delete KeyboardBroadcastReceiver.java
"
"88e4c0fb405977c005ddd9cfa88347895f21d947","2015-09-11 00:29:29+02:00","Update AndroidManifest.xml
"
"ef06517001bd3cf24e090f387c6a81eecb28cf9f","2015-09-11 00:30:00+02:00","Update .project
"
"a9b3731ab1115a653ae308ebfbbd53dacd88cac8","2015-09-11 00:31:21+02:00","Update ssh_neo.xml
"
"6e8be79ed226ff9575ee240ca032a6f9c360127c","2015-09-11 00:32:36+02:00","Update strings.xml
"
"b6e3e272847fe817cc9347d16b27313374a0a577","2015-09-11 00:36:37+02:00","Update ssh_neo.xml
"
"3671e97a792ca486a8a8470bbfe5f689cf7ac9b7","2015-09-11 09:44:00+02:00","Update .project
"
"209bcb29a20815592c2c9b18ac25bcc8865249da","2015-09-11 10:04:18+02:00","Update ssh_neo.xml
"
"b8fa24ba71638f8c08ffb28efd1d660d3164d08f","2015-09-11 10:29:33+02:00","Update ssh_neo.xml
"
"34a61b2d80d4320eff068fb0838279bfb1e52464","2015-09-11 10:40:48+02:00","zum Commit vorgemerkte Änderungen:
neue Datei:     res/drawable/neo.png
gelöscht:       res/drawable/ssh.png
geändert:       res/drawable/app_icon.png
"
"46e9bab993b4304aa0d80b6deda9fa838a8a56bd","2015-09-11 10:50:06+02:00","geändert:       res/drawable/app_icon.png
"
"dc33eca03b7d98ffef150208bea1407ad651cea1","2015-09-11 10:55:22+02:00","Update strings.xml
"
"747e97bd100f49cd69e0d8eff4a126e7079d6c35","2015-09-11 10:56:43+02:00","Update keyboards.xml
"
"d5661c5f67f14c96216014f9bb3c75df91005416","2015-09-11 11:10:24+02:00","Update ssh_neo.xml
"
"3593a2d8e10bdfd687407a4a0c88d62ccfd5cffb","2015-09-11 11:43:31+02:00","geändert:       res/xml/ssh_neo.xml
"
"9c46c7f440cf8617bfd62482984fb4c54238b7fb","2015-09-11 12:30:03+02:00","Update keyboards.xml
"
"5748257cfbfbd2ec41ced10cfeed71a9025d5780","2015-09-11 12:50:57+02:00","Update ssh_neo.xml
"
"a6441084064139a7de8e4305cceeeadfc65a88c8","2015-09-11 14:51:04+02:00","Update ssh_neo.xml
"
"d3d2cfa6e458e36161d8978d0db8b3d6d8ee00da","2015-09-11 15:04:49+02:00","Update ssh_neo.xml
"
"c4025faeaec6130f541583872d6c1460e8c07c07","2015-09-11 16:12:13+02:00","Update README.md
"
"16e3371e1cf7e6da8a951271d255c1228b99fb18","2015-09-11 16:13:26+02:00","Update README.md
"
"23cfb9992b83713405c28355554e815725bd6938","2015-09-11 16:13:58+02:00","Update README.md
"
"5c9dbbdbf011faa5a7a467084de8b0c121322753","2015-09-11 16:17:57+02:00","geändert:       res/xml/ssh_neo.xml
"
"0f6f81213f9bff87a6b8480787682a3c15d31bbb","2015-09-11 16:19:55+02:00","Merge branch 'master' of https://github.com/kertase/neo_anysoftkeyboard
"
"0efa3c8e4af2b87fa9bb3a463f3207b1fc3bfc89","2015-09-11 16:30:42+02:00","Update AndroidManifest.xml
"
"ab02f608edf3e666d6a7fc7c733d83418dd96418","2015-09-11 16:31:36+02:00","Update strings.xml
"
"3dccc8a96a86b4947bb8ab701b073528d160f955","2015-09-11 16:34:19+02:00","Rename ssh_neo.xml to neo.xml
"
"6ce32bb9e95afcfe4a0385a9766d4ac3b252e34d","2015-09-11 16:34:59+02:00","Update keyboards.xml
"
"cd2143549aee904c951d146361c9afc411b4c19f","2015-09-11 16:35:16+02:00","Delete dictionaries.xml
"
"83644ab152560aca049f5e3b401dcbcc54abf145","2015-09-11 16:35:25+02:00","Delete ssh_dict.xml
"
"323e6e4c1026c9613fae0c545725a6b51b488f87","2015-09-11 16:37:25+02:00","gelöscht:       assets/ssh_dict.mp3
"
"591eaaf22a812489bf10efe5482061f0a1663533","2015-09-11 16:54:11+02:00","Update README.md
"
"1bc9df32a5a0f7d34a6b8c55da75fd5532f69eeb","2015-09-11 17:25:07+02:00","Update keyboards.xml
"
"68c7ca09618e65a878e23acf89b621b2835a26a2","2015-09-11 19:13:22+02:00","Update neo.xml
"
"83fefd0f662322efe450ca3037ad18852fe24f5f","2015-09-11 19:20:19+02:00","geändert:       res/xml/neo.xml
"
"57ec897fe2100dc532e17ef1335ed42b804e09c5","2015-09-14 09:56:59+02:00","gelöscht:       res/drawable/arrow_down.png
gelöscht:       res/drawable/arrow_up.png
gelöscht:       res/drawable/sym_keyboard_tab.png
gelöscht:       res/values-land/dimens.xml
geändert:       res/xml/neo.xml
"
"6510b446071d8a969bf887b4524f55afba0455a6","2015-09-14 11:37:58+02:00","geändert:       res/xml/neo.xml
"
"81b1f9f10102d243a6f5f810898691f5d4ef720a","2015-09-14 17:15:54+02:00","Update neo.xml
"
"7eb10f28ad0748123973c3b47fdfd4c9da18e608","2015-09-14 17:35:42+02:00","geändert:       res/xml/keyboards.xml
geändert:       res/xml/neo.xml
neue Datei:     res/xml/ssh_neo.xml
"
"ae83ffb610a8a94db3354297309aa5a3105c531c","2015-09-14 17:37:44+02:00","Merge branch 'master' of https://github.com/kertase/neo_anysoftkeyboard
"
"74ba7fe459c350603b576d7a33e203dc42e3a172","2015-09-14 18:05:18+02:00","geändert:       res/values/strings.xml
geändert:       res/xml/keyboards.xml
"
"42d69c7038bb0a8f628e7863c96a7519b0f1969c","2016-01-30 19:59:01+01:00","new file:   res/xml/neo_phy.xml
modified:   AndroidManifest.xml
modified:   res/xml/keyboards.xml
Added basic physical keyboard only modification present are the letters the rest is still standard keyboard is planed to be
corrected in the future.
Updated Version to 1.1
"
"3c63c3bea7daf85da07b8e8054d6f6768f92d50f","2016-01-30 20:33:19+01:00","modified:   .gitignore
modified:   AndroidManifest.xml
modified:   README.md
modified:   res/xml/keyboards.xml
modified:   res/xml/neo_phy.xml
Readmed updated and fix bad commit
"
"337f3a6bb7170e81b70d12f5eba356788ea26cc9","2016-01-30 21:23:23+01:00","modified:   README.md
modified:   res/xml/keyboards.xml
modified:   res/xml/neo.xml
modified:   res/xml/neo_phy.xml
Update license
"
