"commit id","commit date","commit message"
"9d8e6de2221d6fcb6bb30efff4015c11448807cc","2014-01-05 00:12:40+01:00","First draft of kml export
"
"ed2a71a74118715ce8ec60d680ba4a5c9a1c79f9","2014-01-05 00:40:48+01:00","Fix kml colors
"
"6bbe51914f1d8194166085be3eb793f0cceaa445","2014-01-05 00:47:40+01:00","Kml export: don't log empty data
"
"64088ed72828f6b41d977e2b5b945ada81c6c3f6","2014-01-05 01:24:26+01:00","Use kml style maps to avoid copying and pasting the color info for each data point.
"
"9c95150d271ce0664782343185a3cd6b237afb48","2014-01-05 01:38:22+01:00","Cleanup of KML export and adding javadoc
"
"9da303d64aa8586b0ef16f01f590261ed22f9403","2014-01-05 01:38:49+01:00","Change the order of the export choices. Add translation of 'KML' in fr and es
"
"b41074e727d25b2b8e2ef37dc5719f75ee4026c2","2014-01-05 10:53:18+01:00","Starting work to be able to export any column to kml
"
"aac8fc3dbc9e41565b06f6f466c89db542f4edf9","2014-01-05 11:15:40+01:00","Work in progress: add dialog to prompt user for which field to export to kml
"
"f8ad51b7c3ff98cee4bce6cf8bfc3d728d5530b2","2014-01-05 11:33:08+01:00","Some cleanup for exporting kml
"
"1bbe8740bf79d3c8931e95f3e577ba13295d9433","2014-01-05 14:09:09+01:00","Refactored kml export
"
"6b8f062c026f9eff1ef66164b5f20ac4f3933d1b","2014-01-05 14:18:22+01:00","Correction for timestamp in kml export
"
"2863cf08439c147aa4d4a32801e12bbe3b9b772e","2014-01-05 14:51:35+01:00","Sort placepark extended data in the same way as columns are sorted for other export formats
"
"8899c780390b79745727897d3db6468befdce22d","2014-01-05 15:31:45+01:00","Refactoring KMLStyles...
"
"2d9fb2e562270d01720bdfd2569f28de7e6eb392","2014-01-05 16:17:47+01:00","Set the title of the kml document
"
"b784adf0778c5ba23a6770eea934d2c9f454b16d","2014-01-05 16:20:22+01:00","New version 1.0.17
"
"c575e2c3bac0f9eb5ec2530b03f4850d8a81ac49","2014-01-05 16:25:57+01:00","Forgot to add KMLStyle.java in the kml branch...
"
"b5466fa5b958bedbf72914d90c78b43d6d750dc8","2014-01-05 16:27:31+01:00","Added mapping file for 1.0.17
"
"d97200334a676c7805f4a3813a90bf4e0c4b1a80","2014-01-05 19:28:56+01:00","KML exported file has column name in the filename
"
"8cdc4ab4282914d257b32c90607fb0e0bc45e6d4","2014-01-05 19:30:06+01:00","Add ok/cancel buttons to dialog for kml field to export
"
"c19ba38dac1f727bfd495e2a562f75ec91512649","2014-01-05 19:46:42+01:00","Correction for KML export to show a more user-friendly timestamp, if that is the field the user wants to export
"
"cca5e2e504b6151a3546d589a7e16193c23cdcc9","2014-01-05 19:47:17+01:00","New version 1.1.0
"
"3339211487f56b54b060db15f2a18582ca2a930c","2014-01-05 20:05:05+01:00","Correction for exporting to KML in french
"
"4ff856b52f6c90acf441274559ae6d1085409066","2014-01-05 20:21:53+01:00","Corrected bug in the summary export: results were not sorted correctly
"
