"commit id","commit date","commit message"
"0c58542a21f915201a5aec5b6ed65a14de8fd48e","2016-03-10 17:57:01+01:00","Update realm to 0.88.0
"
"2732fc863864ea3a2015ec6b6ea8e70ed26522ff","2016-03-10 18:01:38+01:00","Use non-static method the get feed and folders for Feed and Item classes
"
"63cf218e345634d0622eeb85ef60d04ccf07d6b0","2016-03-10 18:07:50+01:00","Use deleteAll instead of listing all classes to clear Realm
"
"0a466be4d7cec40047de39db168f163299c32c45","2016-03-10 18:13:07+01:00","Set allowBackup to false
"
"1b82dd88132a350944d26ceb06e99c10fce9227b","2016-03-10 18:20:40+01:00","Use new executeTransactionAsync method
"
"23d4fcb070d8243f3bb563d0be06bcf5a8e5437a","2016-03-10 18:21:30+01:00","Remove unused imports
"
"975b34a993c87de1c0fa5fa16e15de775e07c6d5","2016-03-12 08:31:25+01:00","Update support libs and materialdrawer
"
"b85f31d011310d4fdb1398184047ac3687954ac1","2016-03-12 08:38:42+01:00","Directly change feed unread and starred counts in setUnread/setStarred
"
"5682c505a846aab6fd42b3e59fa38a23453e6f20","2016-03-12 09:32:12+01:00","Get rid of ChangedItems, add unreadChanged and starredChanged to Item
"
"14c35d07b67aabdf93670fdf14a2e393c9e27d73","2016-03-12 09:59:04+01:00","Add realm migration for removed ChangedItems and new changed fields

Bump realm schema version to 2
"
"8f16b7b944faf0132973d9640445185e0091b924","2016-03-12 10:06:27+01:00","Define schema version in a static field
"
"8ed356e8a181384fa9bf89d75ce8169d9d65c198","2016-03-12 13:46:26+01:00","Inline and rename some methods
"
"b4ee6703bf66c6aa915fc2eabb655be9fbfbbb91","2016-03-13 09:28:52+01:00","Update grade plugin to 2.1.0-alpha1
"
"ad1ddfccf992113b3495cb39c8a7144b3939e118","2016-03-13 09:32:42+01:00","Migrate data from ChangedItems to new fields in Item
"
"ecbf5c793f62e4bd3abed5d565e88af01c452beb","2016-03-13 12:20:04+01:00","Fix more lint warnings
"
"7551e08750b81f2519e1988716b9963f6c3ac9b9","2016-03-15 05:55:12+01:00","Update realm to 0.88.1
"
"7b6eb0123d574c4a6585ccf219e3ec6e1d5cc45a","2016-03-15 05:56:29+01:00","Update retrofit to 2.0.0
"
"04771e90a1eba9c38ec6b275f13c3240abfbd7ab","2016-03-15 07:25:12+01:00","Move badge check to TreeItemDrawerItem
"
"d1b3c86b756475c38cddade21ec38a3f851c813a","2016-03-15 07:27:55+01:00","Check for TreeItem id instead of DrawerItem id
"
"7a6d5d01a385de1b8acf2d2f21b5b3a478252f55","2016-03-16 05:21:09+01:00","Update realm to 0.88.2
"
"d17fde349dd402c642f43b5f2e5d74bbe2125558","2016-03-16 05:25:14+01:00","Don't check the sync action inside the loop for every iteration
"
"40949a6539bdedb3ea85ef5f627ac3ff51ef4e1b","2016-03-17 06:17:44+01:00","Downgrade to gradle plugin 2.0.0-beta7
"
"6de136afaf3f2649fada7ee9692ba48ffc5f08ea","2016-03-17 06:17:54+01:00","Add test for item insertion
"
"a4fa10ca9fdda63c324d5acbbe3e6903eacb4206","2016-03-17 06:47:29+01:00","Completely reload drawer when only unread is checked
"
"7e44aafa4fb29fc9874d78116d9303374851337c","2016-03-17 06:36:51+01:00","Update CHANGELOG.md and versionCode for release 0.2
"
