"commit id","commit date","commit message"
"45c9704226668a3f8aa4129a2217f17176379acf","2013-12-30 21:59:32+01:00","fix custom actionbars for Android 4.4; use fixed gradle plugin version, there were some breakages and not working offline builds
"
"4a5cbc3a54a9d5683d7b04ab7da196cd78cf111a","2014-01-03 15:02:50+01:00","pull hungarian translation from transifex (thanks to Gábor)
"
"7d719e8eeb391afc346c179785fe8d5241aea1d0","2014-01-06 00:56:13+01:00","Add info about support repository in README
"
"2751b869facf0569edde229c5656276677ffb6fe","2014-09-12 10:22:39+02:00","Pull from transifex
"
"f2cf20df01f8aab7417381fdb08cbb60b3eaa998","2015-09-08 13:24:29+02:00","Update build environment, remove local dependency, use maven
"
"5dbccf7265cd99de888a4ce3c75a1d9eed6ca9a5","2015-09-08 13:30:18+02:00","Cleanup, and CalendarContractWrapper from ical import export
"
"2fbedf1d0eeee17072a4fdbf65089997cb552553","2015-09-08 13:31:58+02:00","Fix copyright
"
"209c15139bd25969755c90236c3e74351eb57821","2015-09-08 13:33:16+02:00","Fix website
"
"3d01feddf39c791776eb38b149f1bc6f43ef81e8","2015-09-08 14:22:11+02:00","Restructure, reformat, add fab
"
"f76a73e32556545fda4f20007caa6ebf41d938bb","2015-09-08 12:17:04+00:00","Update a couple of missed URLs
"
"e19d9df01b7d2cdf8eeed5923a1245560cee105f","2015-09-08 11:17:50+00:00","Avoid calling getThemedContext() to inflate our custom ActionBar view

Although the ActionBar is available from API level 11 onwards, the
getThemedContext() call is not available until API 14, causing the
crash reported in issue #30. This is a fatal build error with newer
SDKs (which now have the method marked as level 14 correctly).

Fortunately, the ActionBar can also inflate a view from a resource
id so we don't have to ask it for the inflator. We can get the inflated
view back to manipulate it, avoiding the use of getThemedContext()
entirely.

With a bit of refactoring, the code ends up simpler despite having to
do things this way.
"
"763c0418eeb9dcde9b44543c9972d0863e74a0e5","2015-09-08 11:39:06+00:00","Don't use Widget.Holo.Light.TextView for pre-API 11 devices
"
"e3e0c752b1b9cf56e375ea162b7f65f2697b153b","2015-09-08 12:19:39+00:00","Make missing translations warn instead of fatal build errors
"
"a63a56f9acd3e78c7d3d8222bc22eb931c7d1336","2015-09-08 15:09:13+02:00","Merge pull request #40 from jgriffiths/minor_fixes

Minor fixes
"
"b515b3251140be499c29e216308dd6c0fe596078","2015-09-08 15:38:32+02:00","Redesign main activity, use circle for colors, add code for event adding
"
"faa0da6edeeca28efd6fb08cf970e7b952d71c87","2015-09-08 15:38:37+02:00","Merge branch 'master' of github.com:dschuermann/offline-calendar
"
"de192965277ccd7ecfa834c32bb59b710b1daa6d","2015-09-08 15:43:33+02:00","evlevation for toolbar
"
"1c0177a14e9965594aed24bffd6caffa8e2b0592","2015-09-08 15:46:55+02:00","Update help
"
"536c3d47886666fe76fa0dac337ee402f85ab66d","2015-09-08 16:47:32+02:00","Material edit
"
"7c61a3d2f9d0f1a316b0bdc8edd5b73885bf11fa","2015-09-08 16:52:58+02:00","Update from transifex
"
"0c0562c9e99c18e93f6a2d41ad5a6ccc977ea98f","2015-09-08 16:53:21+02:00","Version 1.6
"
"e8526f1ce0844bfc934a1f1006967b39f7e2553d","2015-09-08 16:57:56+02:00","Fix API < 11
"
"27f16c542e88fe31496054d930485f4e25853cbe","2015-09-08 16:58:36+02:00","Add forgotten transifex files
"
