"commit id","commit date","commit message"
"fd3a73f6117e452319fda72445f08fb711359b36","2014-04-25 15:39:43+02:00","Use PE abstractions
"
"833dcb759938c1ddf0b22368f0066241cbf12319","2014-04-26 18:05:03+02:00","'Detail' → 'Details
"
"e3b8e7e8b938933883f46eab949b1ed1a904537d","2014-04-26 18:06:00+02:00","Fix NullPointerExceptions form my inbox
Library name in subject of library suggestions
"
"fe4558f69e65bc8d8fe5824c88b101933b5ab37f","2014-04-26 18:10:52+02:00","PICA: Handle login errors
"
"f86faf76f5cd5a254e7bc2934b369898c6f67182","2014-04-26 18:19:12+02:00","Add docs
"
"a385e4c7d392d8e4fc8433957e73831aa540ab85","2014-04-26 18:31:49+02:00","BiBer: Copy with single results in 1-line result views
"
"3d5052936f571eb773dba8a5207ca52a95fc2e6a","2014-04-26 18:35:40+02:00","Bring back library titles to navigation drawer
"
"c5be01506202fbed198284999d3f77c39ab46ce1","2014-04-26 18:38:28+02:00","Do not display 'Unnamed account' (useful for single-user devices)
"
"a257c92ae1f8bef10a0e22bfcd17b9406f237093","2014-04-26 18:40:17+02:00","More replacedby tags
"
"2693ef9016c66e09fd4308c5858edbecf582ce80","2014-04-26 18:51:48+02:00","aDIS: More reservation cases handled
"
"7ad3a1a6425fba048fd2529b734fec42d943bd07","2014-04-27 11:11:59+02:00","BiBer1992: Details fixed in Würzburg
"
"1a4339e429ff733a405d9d579a2058bb74b726ba","2014-04-27 11:40:38+02:00","Adis: Login Uni Tübingen
"
"5f5461133df2506f335614352f0878b2e4d9075a","2014-04-27 11:40:48+02:00","added: UB Marburg, Ladenburg
"
"45d4a83031134aa97a43063999f72d4da0ab875e","2014-04-27 11:55:28+02:00","This abstraction was useless
"
"0dc9a8eb93fd79881575e75086c35885626ff021","2014-04-27 12:50:47+02:00","BiBer: Login errors
"
"4ed99aee87340ba606b8d259ae592bd929e76a36","2014-04-27 12:50:55+02:00","Fix auto-selection of new accounts
"
"ee29025a1c0d391910d670290e60bed6347f3fd5","2014-04-29 09:21:20+02:00","SISIS: Fix prolonging
"
"172fb72884a2de9791a4791ad0a4cc9888f6fb8f","2014-04-29 09:28:25+02:00","added: Sindelfingen
"
"d3d7d380947fc55c9d6e003d08cb1fff00059606","2014-05-05 09:41:13+02:00","Adis: New assert
"
"6ba5e7b4823ee93d52434eeccda8d4de56f37b0f","2014-05-05 09:47:11+02:00","added: Ditzingen, UB Giessen
"
"1e03355caec06a7d5fadb9eec432395c2aebae8d","2014-05-05 09:59:46+02:00","BiBer: Login errors
"
"bf2f79c78403901ea1a674ddad77c5199ef4a6f4","2014-05-05 10:16:02+02:00","Prepare release
"
