"commit id","commit date","commit message"
"0963efc78b7d46b2c92a5e13e0fffb8f67255242","2014-04-28 20:13:46+02:00","Many API fixes for GET_KEY and GET_KEY_IDS
"
"1bd357cf55cf5a40134407495487de5e56487d12","2014-04-28 20:20:23+02:00","API: Fix GET_KEY, closes #599
"
"bb0fe2a23720a44651834db80f17d12e1dd96f39","2014-04-29 10:19:10+02:00","Clarify sqlite datatypes
"
"30d3c33be971aecaf590b762d2ed45b981fb9096","2014-04-29 14:02:22+02:00","Formatting KeychainDatabase
"
"6a1832ebaddc37326d35e9e4514510a3691841c7","2014-04-29 18:32:13+02:00","Move util.ProgressDialogUpdater to pgp.Progressable
"
"9e6bf2abbb1395798c7b6957b193d738940a2b57","2014-04-29 18:44:44+02:00","Rename ProgressDialogUpdater to Progressable

Also fix some inconsistent usages of 'progress', now using
'progressable' in all builders.
"
"324971e4484b2d227e261993977837ef63a87dc3","2014-04-29 18:57:43+02:00","Rename setter methods for PgpSignEncrypt.Builder
"
"1f7c61a33140ac2319766d5f193beddaa789b7d3","2014-04-29 19:01:11+02:00","Rename setter methods for PgpDecryptVerify.Builder
"
"5c145cf44decbdb686673a49e28310b6811931f2","2014-04-29 19:50:30+02:00","Merge pull request #600 from thi/rename-progressdialogupdater

Rename progressdialogupdater
"
"e0a0bf04ee6fa4794a82b44dae905bc814d85491","2014-04-29 19:51:21+02:00","Merge pull request #601 from thi/rename-builder-methods

Rename builder methods
"
"e663dadc32633dc12f846539196276265ccc3534","2014-04-18 12:44:42-07:00","can search openkeychain, retrieve & install & use keys from there
"
"ea1032dbfdbb42f39ef37af510e38b64f9854d5a","2014-04-28 10:47:39-07:00","Clean up debug crud
"
"b5fb311c6152af36254a803aabe726ed8b03a447","2014-04-29 15:03:37-07:00","keybase ID stuff
"
"4b9607eda04afaa22a3bd4577b149159ec21bf22","2014-04-30 19:16:21+02:00","add DESIGN document
"
"4c693b45097d08d0c4285dccd5d1679a2e4551d6","2014-04-30 13:46:35-07:00","Changes should now be in sync with dominik
"
"18ed8286080c70daabfedcd258bfa20c1099c268","2014-04-30 13:49:48-07:00","tidy up IntentService
"
"5b0f19fcebd586235be7c895769ccb111c97e78e","2014-04-30 13:56:56-07:00","stupid identation stuff
"
"8e645453b140d12981fbdcc34766315fe5f5e992","2014-05-02 17:42:40+02:00","Speed up build: Upgrade to Gradle Android Plugin 0.10.0, Disable Lint
"
"9726ac7a964dacc593cdb94a494182f61fd59c5b","2014-05-02 19:05:43+02:00","Avoid displaying double 0x before keyid in ViewCertActivity
"
"4053e1ebd795f5b5fba8ed61185e5a5fdf9b0820","2014-05-02 19:57:16+02:00","Update from transifex
"
"6055b0b0da6ca3f6fdae3b7b1602a38d3a05bb3b","2014-05-05 00:58:22+02:00","New key view design, using Android flat buttons and Android icons
"
"acfe01e0e2f7519eb659b011d6f8a6bf1b1888c2","2014-05-05 01:20:42+02:00","Update from transifex
"
"e48460bb7df8f2d40fe187f8c267fbba3fb43c75","2014-05-05 01:20:51+02:00","Update from transifex
"
"90b4db07925ec4741fedfa75eed4ed6acc533696","2014-05-04 17:16:58-07:00","Per pull-request comments.
"
"6d10ca678a541dddb26f43c9d415d14f6f5eceaf","2014-05-05 10:10:47+02:00","Merge pull request #603 from timbray/master

Adds first level of keybase support
"
"158c2466bfa5a7871807386dc96bc6ec3c0a8dfd","2014-05-05 10:13:44+02:00","Fix license header
"
"04f8b2716ae59bcd34d167259c25c1e4de825927","2014-05-05 11:15:16+02:00","Merge pull request #609 from Vadiml1024/master

Avoid displaying double 0x before keyid in ViewCertActivity
"
"0fe08233723e46ec966919cf358a30d6c289375e","2014-05-05 22:04:57+02:00","ui: remove primary subkey info
"
"162cb1cb7b6e3908716a6e874b6bcba4b3d825e3","2014-05-05 22:06:09+02:00","ui: subkey view redesign
"
"d31ae89824b9a86d0e70f384b5fd5ac212a3e6cd","2014-05-06 00:04:37+02:00","ui: show revocation and expiry status on info tab
"
"8564c4aca15f3dff339063054e137602dff42567","2014-05-06 00:39:09+02:00","ui: use primary icon color for certification status
"
"f91457e07fd3f38ba5cd4d07bb0b708a3a5beb17","2014-05-06 15:04:09+02:00","Touch view only once
"
"d52d4553177a2c82cefe68fa26fdf8b94628bc93","2014-05-06 19:18:31+02:00","ui: make primary star icon slightly larger
"
"0d05ff98cb7ef992a040e7040c4fc534307e51e8","2014-05-06 19:18:32+02:00","ui: use textviews instead of bootstrap buttons in SignEncrypt
"
"797aeaf6e8c7a8df39ee325c39924cf1f1a96778","2014-05-06 19:18:32+02:00","ui: apply purple theme (twi is best color)
"
"e0985878d732674626eee947a8d27c7a9193495c","2014-05-06 19:18:32+02:00","ui: use textview buttons in decrypt verify dialogue
"
"d6a9ec6ca89ea98e44acd8d9af76abfb07558cae","2014-05-06 22:04:47+02:00","Merge pull request #612 from Valodim/purple-theme

ui: apply purple theme
"
"92337c2b45db355fed4c33669efe77efddd25242","2014-05-06 22:09:55+02:00","Add color theme notice to README
"
"ad791fd8f8c19be95beaf5d1dcc1a38faaa1a08e","2014-05-06 22:29:57+02:00","Move logic classes for import into own sub-package
"
"274326f78065cf9f713504e6dbe213248b02ed5d","2014-05-06 22:48:47+02:00","Always use section style instead of custom class
"
"1c2919f07fb9739bbc57ce27bb5b4a6ca2d6be20","2014-05-06 22:52:50+02:00","edit button with image
"
"8eb74d171b31d8400ec826668cffccc0c073baaa","2014-05-06 23:11:10+02:00","Some small style fixes
"
"e97cdbd9ad06b66c67f7778eafce1970590aa654","2014-05-06 23:16:08+02:00","Clarify language
"
"6a9cb69a1f1cb4a6dad9bdeb5fa331d79c0e5930","2014-05-07 01:12:02+02:00","ui: purpelize fastscroll thumb
"
"96125b1976b1cddec946d1ef8e28c4868a63e354","2014-05-07 01:39:28+02:00","ui: purplize edge overscroll glow effect
"
