"commit id","commit date","commit message"
"80daf2b1718fe875aa09c582400acef48e1726ff","2014-05-16 09:37:00+02:00","validate time before changing it
"
"f7e5d0ad2b25e97336a6719a2df8348aa1a051d9","2014-05-16 09:37:35+02:00","Merge branch 'OSE' of ssh://git.dmfs.org:23023/android-tasks/tasks into OSE
"
"0d108e363caa99a9d905823f6f743392ffc04ae3","2014-05-16 10:44:27+02:00","fix large widget not updating
"
"c1edab3c80b63296174e7424b5ccc80f5a0757e9","2014-05-16 11:18:14+02:00","version 1.0.11
"
"b96c0dabf31d6bc57d9a88bb216ebe712cb22f5c","2014-05-16 20:28:28+02:00","Merge branch 'OSE' of ssh://gitosis@git.dmfs.org:23023/android-tasks/tasks.git into OSE
"
"dcd2ac2dba5a6367e8856d9b99fd50e9c940a1f5","2014-05-17 11:51:25+02:00","add contraint to update status & percent complete when a checklist is changed (works in edit mode too)
implements #66
At present this can not be disabled. We're waiting for user feedback in this matter.
"
"a3bf9186e75fc5381785142f3d6463b50f35e2e0","2014-05-17 14:12:03+02:00","fix checkbox style in details view - lesson: don't use application context when you don't have to ...
"
"2e0c864ae6306f81ff21b6af38b7aab9de6cc2e3","2014-05-17 14:43:59+02:00","don't set task to 'needs action' when the last checkbox is unticked in the checklist. Instead just keep the current state.
Just because no sub-tasks are done, it doesn't mean not work is in process.
"
"6df436dff2e951e06dbbc6a32b38ae6d6e6e6382","2014-05-17 18:58:03+02:00","set all-day date when all-day is selected
fixes #40
"
"f9d4904411838d36340a56156e8197f6dc119018","2014-05-17 19:00:48+02:00","Merge branch 'OSE' into checklist-improved
"
"f0efc9e25d81b42be065b8f88c40040f5b1e6f40","2014-05-18 00:42:15+04:00","Update strings.xml

Added missing strings for new functions
"
"43621f9623e04cfd34a992b55560febbd1e7104f","2014-05-18 08:31:41+02:00","Merge pull request #70 from nixprosoft/patch-4

Update Russian strings.xml
"
"88cb170d1f42e3d3c0f0bd23be5d8bc1f2aee341","2014-05-22 14:10:04-04:00","revise checklist mode and combine it with regular descriptions
"
"9b1511312f48519a2543d0c184ad39e5bb8c7dab","2014-05-22 15:06:35-04:00","Merge branch 'checklist-improved' into combined-checklist

Conflicts:
src/org/dmfs/tasks/widget/CheckListFieldEditor.java
"
"c0d18f4a87a28ef8c9bc8bcb5ca35327cb1dfbac","2014-05-22 15:08:03-04:00","revert removal of interface method
"
"b75a63cdb14f4da88f0e008165904adcf37fd11a","2014-05-22 15:09:05-04:00","remove fixed todos
"
"c3806f62df6dd3256017038a782245ba47dec7d4","2014-06-02 13:15:19+02:00","Merge branch 'master' of https://github.com/dmfs/tasks into OSE
"
"79286a32d4b6f1ba147793df8a42a046cca35845","2014-06-02 14:56:25+02:00","show checked checklist items in lighter gray
"
"f855078d53e87a0e098d66dd6ac975304fc666aa","2014-06-02 15:26:49+02:00","reduce widget item height
"
"a077e4fd3a3b9e6551c0d09ed114a2d9f307abf2","2014-06-02 16:35:42+02:00","release 1.0.12
"
