"commit id","commit date","commit message"
"34904ed9b6d75a85202e7fe7244aaf694c9b6048","2012-10-05 15:38:22+02:00","Added new feature: changing the displayed name of an exercise.

Not possible at the moment: saving this change.
"
"4ce7874716ae3d47d88a95a8c0a1c484e1bf522f","2012-10-05 15:58:34+02:00","Added saving of customName of FitnessExercises.

Could not test this feature(Tablet is empty :-( ).
"
"038b850195563671d429c21708b7b2490a095746","2012-10-05 16:01:58+02:00","Changed error message when there are no exercises in the database.
"
"bb0383d6468ec7a7f896883194a4cac147d8806f","2012-10-05 17:13:40+02:00","Added icon_edit.
"
"4445fdfa5cd07a9a1ef4d965edea8d53973b6fb6","2012-10-06 09:45:28+02:00","Added 'restet to default' button to the dialog for changing custom name.

Saving changes does not work.
"
"978c28696ef8b6ca3583665bd234ea906228a141","2012-10-06 09:51:17+02:00","Bugfix: saving the customName should work now.
"
"167711e67c0c53c9cacd81314c0b1aafebb016d3","2012-10-06 09:55:03+02:00","Removed 'success' message when loading plan was successful.

A message will only be shown, when any problem occurs.
"
"e19efdd6f081e1fb565b67f5c58670b9ed4289b0","2012-10-06 11:12:12+03:00","Update README.md

Added link to f-droid.org and QR codes.
"
"4b4cb8cf8e853914ca22f4911fd59e36affef975","2012-10-06 10:22:27+02:00","Replaced an AssertionError with Log.e()

So the app will not crash anymore when this error occurs.
"
"0aaabab983fc748b28d42c71e7fec2a0d71ae426","2012-10-06 10:22:46+02:00","Merge branch 'master' of github.com:chaosbastler/opentraining
"
"3a291b23406bd282aa1364ae187fe7f2a847e842","2012-10-06 12:36:30+02:00","Added support for exercise name I18N.

Besides the standard name you can now provide translations
Example: <Locale language='en' name='english name'/>
The standard name now should also contain information about the language.
Example: <ExerciseType language='de' name='Arnold Presse'>

If there is no language information for an exercise this will be logged.
Same if there is no translation to the language the user needs.
"
"0dd96d77924b20fc05430896f8ce612124fad64f","2012-10-06 13:22:21+02:00","Added Toast message 'default_language_not_german'
"
"bcf3653e1e1583122284234c356691b78ba1494a","2012-10-06 13:23:02+02:00","Logging improvements in class ExerciseTypeXMLParser.
"
"ea7d5f6555c74f5af236c8a6f564044640b6d5ff","2012-10-06 13:30:21+02:00","Formatted ExerciseType.java.
"
"eba800892475bfe1eff8d149b4afd6d3034f13de","2012-10-06 14:57:23+02:00","Added warning if an exercise does already exists and should be parsed.
"
"d6f8c973cb555951c205ee416d04333b0f7ed212","2012-10-06 15:20:30+02:00","Bugfix of compareTo() of ExerciseType:now localized names will be compared.

Also changed localization process: this will now only happen once.
If the user changes language while OpenTraining is running, changing languge might be ignored.
"
"a33a62979bbadd5cb8b055bef200ca93aea52be4","2012-10-06 15:22:30+02:00","Update of exercises: added translation to english.
"
"cee2b9b62695803883517455164b78bbb4fdc5da","2012-10-07 09:17:41+02:00","Added class for managing licenses.

Possible usage: link to license, author attribution, list of all authors ...
"
"a6d14a248b15a36314b7d27b1235643afbce2157","2012-10-07 14:00:00+02:00","Added comments to class ExerciseType.
"
"dcbdd7510f9ce92b1c9a27cff1da5e17fda3df2e","2012-10-07 14:11:34+02:00","Bugfix: a plan will now show the localized name or (if availabe) the custom name.

Before the unlocalized name was displayed.
"
"b92fef452f53ea922de2692fda57c40815dcbe26","2012-10-07 14:18:04+02:00","Preparing release v0.2.3.

All exercises were translated to english.
Users can also change the name of an exercise (e.g. if it is to long).
"
