"commit id","commit date","commit message"
"839f2e38f2508dbdb522e6dd00361d82c7171a40","2014-10-10 11:24:35+02:00","First publication: strings
"
"bec13f95f00fd0de073080c17d272bf47c9f0693","2014-10-10 11:29:12+02:00","Add README.md
"
"9c3cbaa7386f315497777277459d909cd0b02117","2014-10-10 11:32:12+02:00","Update README.md
"
"ec5bbe0296d45e790dab1ae805f76288129a9d45","2014-10-10 11:32:36+02:00","Update README.md
"
"916b5fd76e1d7866b54e1c5dfa26aea305e0a17a","2014-10-10 11:51:18+02:00","Update README.md
"
"f1158c782bd09abb4fa910d51414f1ac8bac8500","2014-10-10 11:51:47+02:00","Update README.md
"
"a2b9a788e3e13a12f71519fa3fa3aae0fbf11510","2014-10-10 11:59:09+02:00","Publish SmsSyncService as a BSD source
"
"070138749e13933d9d50f4da5eab899a799a5fda","2014-10-10 11:59:15+02:00","Merge branch 'master' of https://github.com/nerzhul/ownCloud-SMS-App
"
"4f42d0f18265310551cf6fa2fe3b2af705871602","2014-10-10 12:01:49+02:00","Merge
"
"6fbcbcb9328febcff0b83081fd4941be17d48b7f","2014-10-10 12:02:32+02:00","Proper merging
"
"95eb6c6f2b6804408e26327a2dc1e1f2960f9e32","2014-10-10 12:06:05+02:00","Publish some common definitions files under BSD licence
"
"93b6e6c511c86ae4aac10fede8fc8b9e2b09e8aa","2014-10-10 14:03:32+02:00","Added spanish translation (Thanks to @agdg).
"
"d8b645a13da6aef1602dcea3bb8c5401a74292fe","2014-10-10 14:06:26+02:00","Remove unneeded variables in spanish translation. Add EN translation (same as default)
"
"e714df4fab8391e187ae12daf72930d43aed01f9","2014-10-10 14:12:29+02:00","Added Google Play Store descriptions
"
"83fac3d5926abddea23062e0e3455ad9e3cfd793","2014-10-10 14:35:10+02:00","Fix string conflict
"
"768b46678c9881477125a5e1b4d8a1b45cd863a3","2014-10-10 14:56:21+02:00","Update README.md about contributions
"
"5e3b8af87c6ce22250a57b9f7cbddd030a1771cd","2014-10-10 15:09:22+02:00","Add another project file under BSD licence
"
"ce7cd02e5911d3ab7b1c0cf61ac637dbb571469f","2014-10-10 15:38:58+02:00","Add login layout as a BSD licenced layout
"
"f78c4f2fb2ce048352013ad5315d42bb51003695","2014-10-10 16:16:53+02:00","SmsDataProvider is under AGPLv3 instead of BSD. Import some code.
Import some SmsFetcher code into SmsDataProvider.
AGPLv3 is better for next published code. I think this will be the licence for many parts of R&D code, but BSD will remain on autogenerated code, layouts and strings
"
"1328ebf4f312852643325599dd45d2ac6c903ad5","2014-10-10 16:18:06+02:00","update licence on README.md
"
"74c62e7f52fd33babadbf809192f2c5d42f379fd","2014-10-14 20:30:03+02:00","Add exception class for errors. Set error strings as a Android resource (for localization)
"
"d1850e8715da2502b0ff336e97af967c80f26a64","2014-10-14 20:30:47+02:00","Add errors into values-en
"
"8159a85fd7dee2836b34bcc6ddb3c86fe5a33b47","2014-10-14 20:47:05+02:00","Add error types for better error handling
"
"a8db6e9b9e16032cd330d4f80d2f84d59de27263","2014-10-22 07:56:08+02:00","Added Notification handlers as AGPLv3
"
"ee8836e069c7823cb104dfec75e234f6c7c0d2c3","2014-10-27 21:07:17+01:00","Added some missing xmls
"
"8bfef87792dca181d060d9c28bf2495d07783344","2014-11-23 12:39:17+01:00","Czech translation created
"
"40dd4c72e2fe0eab492a75e8f20b82a07d8eb150","2014-11-24 10:29:54+01:00","Merge pull request #11 from svetlemodry/master

Czech translation created
"
"a554462ff8cd7e2d73715b0bb48b9fca0ad79f81","2014-11-30 18:50:07+01:00","Publish many sources as AGPLv3. Also set Android 5.0 compat
"
"9b5a1f5bf692a2c94f8e7baee7a56b50b104f61d","2014-11-30 19:59:05+01:00","Prepare a new sync adapter. This permit to create slow sync and fast sync queries. At this time it's same
* Also added missing XML files
"
"dfb92097e454a598531a4956fa9e172806f506e9","2014-11-30 20:11:35+01:00","Label fix. Also added test timer
"
"7ea252e0ab4cd23bf1e89dda7cb56d8d332893e8","2014-11-30 20:19:34+01:00","Prepare a call to APIv2 call
"
"deaf93ff8a7c667bc175405846ce3302f45472d2","2014-12-02 19:51:30+01:00","Massively improve secure sync speed (divide time spent by 10)
* Also cleanup some useless code but we need more cleanups
"
"9093f69a572d5067cbd52bb12e06f084048ad9f6","2014-12-02 20:27:54+01:00","Another massive sync performance improvement.
* Check mailbox validity before cursor iterations, 3 tests * msgNumber removed
* Build messageIDs string only for current checked mailbox
* Don't call push HTTP method if there is no messages to sync
"
"45c480106ba274802c1adb12572a3daf7e7a1485","2014-12-02 20:39:11+01:00","Label fix, 0.16 tagging for Play Store and slow sync mode commented.
"
"de011bde215be35636b7cb7d033e5d94ebb3065b","2014-12-03 12:03:20+01:00","Update README.md
"
"0fe12cf0989e451194699e058b8aa8709472381e","2014-12-03 12:06:57+01:00","Create strings.xml (de_DE) < ownCloud SMS App 0.16
"
"4520fce2a0b60171b521c8a1d3632830e076b06c","2014-12-03 12:11:00+01:00","Create google_playstore_strings.xml (de_DE) < ownCloud SMS App 0.16
"
"7a33fe593159319a9b5ace350336334754130573","2014-12-03 12:15:38+01:00","Merge pull request #14 from Liantefaron/patch-1

Create strings.xml (de_DE) < ownCloud SMS App 0.16
"
