"commit id","commit date","commit message"
"d3fb440ed05d81659bd476e4ca703c99ad47101f","2016-02-08 14:21:21+01:00","Update README.md

Adding release 0.4
"
"aa7f9e43a78473329338482ffc83c6dbe72e12e5","2016-02-08 14:21:50+01:00","Update README.md

typo
"
"b771a00a97bd3f74b779e010ab08bff3596e4e70","2016-02-09 11:05:09+01:00","Update README.md

adding playstore link and updating IDE configuration
"
"9e75061c636a96b61ca1fd975d5824851aeb1541","2016-02-10 08:06:47+01:00","Adding a checkbox
"
"673e5dc918ca444d3445b1dc3b9578b1ff76846e","2016-02-10 23:19:35+01:00","Replacing checkbox by textview
"
"1c0a068c5c935edd6ca46a3cbfd397aa6312cdf6","2016-02-10 23:23:05+01:00","Adding entries in changelogs
"
"43d0fd2e6a2cd13320cad7a90ef728e59fc530d2","2016-02-10 23:24:09+01:00","Merge branch 'feature/checkableItemList' into develop
"
"623fb9bfc998516c6b09be1a6b143c362432cf09","2016-02-11 23:47:48+01:00","updating version number
"
"4c44f504f2dbf3d652fbf212e00c0375e9b264bc","2016-02-12 10:45:38+01:00","Update README.md

clarification on objectives
"
"9da3d0346b1ac4d760ffe0baba732407913f7033","2016-02-12 22:54:00+01:00","updating gradle version
"
"9c34fbbfa8c97085513004bd0e4b2aa3e33cf5f9","2016-02-13 23:03:56+01:00","Disabling proguard in release build
(cherry picked from commit 488eaab)
"
"81d5feb5f56b86afbd5a1936a05421023a7ac770","2016-02-18 22:20:44+01:00","Improving tests
"
"41113d66038b316f397645caa55abe9492aed65d","2016-02-18 22:21:43+01:00","Fixing bug found by test in NewTripFragment
"
"eadf4fdc3d81631e16048cace53b66d7eca0d61e","2016-02-18 22:43:47+01:00","Initial commit for publishing process
"
"1d6b01897e4cd4f1b93aa000f20edf7a4821bb45","2016-02-18 22:44:28+01:00","Updating gradle plugin to beta 5
"
"aaf017b534b8285326fbc8649b2a4cce82e0b1b7","2016-02-18 22:44:39+01:00","Merge branch 'master' of https://github.com/nbossard/packlist
"
"9e539aee05190778cd64dacced8a7904d9415b43","2016-02-18 22:46:09+01:00","Merge branch 'develop'
"
"96540bbf36d6618e802f882221256e89f932f891","2016-02-18 23:26:37+01:00","Updating changelog
"
"58342322362417c0122f61d3a7f2c8c8e5f734d3","2016-02-18 23:42:12+01:00","various
"
"2e71cd711839aa997322a6a3bb23f415cadfdf39","2016-02-18 23:47:23+01:00","Preparing version 0.6
"
