"commit id","commit date","commit message"
"0ea7c782998cec9867841317714793be1c749c6a","2014-02-15 16:31:37-05:00","fix empty string checking
"
"75b91be173ab92b18cc912759dedc605a6f721c7","2014-02-15 22:36:00+01:00","Merge pull request #5467 from chinhodado/patch-1

fix empty string checking
"
"d1c9cdd8e48970fbe4f0a292a4979d0db1b407b3","2014-02-15 15:15:19-08:00","Don't disable error reporting while in menu.

Oops.
"
"592e8ca253e58900e6946626d5b3d54dfb1da298","2014-02-15 15:18:01-08:00","Update reporting as soon as the game boots.

This way if it starts with 'read framebuffers' but it's switched off, it
will notice properly.
"
"49d61743c031cf2faa271c3048bc26369e071acb","2014-02-15 15:19:59-08:00","Blacklist a few more settings in reporting.
"
"f5c7837e93b5afd40a38a3041182c51060198e32","2014-02-15 15:28:13-08:00","Disable reporting when using cheats as well.
"
"d22793e2571239a763e649f98f88d793e5de24af","2014-02-15 16:23:18-08:00","Avoid a dangerous cast in LoadSymbolMap().

Not sure if we can have any safety with an int cast like that...
"
"23cce7d25aa0a167c0a9ad30ac9fdd847ecf728d","2014-02-15 19:39:13-05:00","remove a redundant check
"
"37d198df1612b813b666a92e2e04ced7e38258e5","2014-02-16 02:34:35+01:00","Merge pull request #5472 from unknownbrackets/reporting

Fix reporting improperly disabled when outside a game
"
"96a19ea9823f1e8c2ec934b706018e5c0c5add0e","2014-02-16 02:37:37+01:00","Merge pull request #5473 from chinhodado/patch-1

remove a redundant check
"
"864c0be6045c47ca1232e9d90c6aa9b231455965","2014-02-16 10:51:45+08:00","Fix PAKFILE2.BIN and eboot logic

Fix #5474
"
"3dea6fdd864576d02f3a1844b9908652efa60bbb","2014-02-15 20:34:03-08:00","Cache reporting support to avoid slowdown.

Turns out checking flash0:/ was not fast, oops, but especially when
disabled.

Also, make the box show as disabled when it's been disabled during the
session, and make it not do that in the menu.
"
"3714fabad604e86406e47039c3caac67c9608723","2014-02-15 21:40:13-08:00","Implement vsbn.s, fixes #3409.

Not sure if .q, etc. can work - won't compile, and I doubt any games try
it.  Just tried a basic implementation with reporting.
"
"34c6530b21e81b2447bcee0d904d6ca99205b1e2","2014-02-15 23:44:59-08:00","Implement vwbn.s, not sure what it's doing...

This passes all the tests I could throw at it.  Fixes #1849.
"
"61d4e2196e320532578b35aed1ec10aa0f9079ff","2014-02-16 00:00:29-08:00","Simplify vwbn.s slightly.
"
"258bf3af4aa87dcbc4c20cd75c1adc943934cceb","2014-02-16 09:11:07+01:00","Merge pull request #5480 from unknownbrackets/vfpu

Implement vsbn.s and vwbn.s
"
"e3cb1f4957cd8a29711897c795c8e8538e331643","2014-02-16 10:06:28+01:00","Merge pull request #5476 from sum2012/patch-4

Fix PAKFILE2.BIN and eboot logic
"
"be9194b8877199b7c98540dfcdd6b9b6f30f2f33","2014-02-16 01:25:33-08:00","Try harder to show a useful post shader error.

It's worth seeing the error quickly, but mostly will need to look at the
log.
"
"2064bcd4f3214afbf7e43aa7c0d0484c83118877","2014-02-16 10:45:16+01:00","Merge pull request #5481 from unknownbrackets/gpu-minor

Try harder to show a useful post shader error
"
"8928665db93f90cfc10b98a02ec4fb32c085ea81","2014-02-16 09:01:23-08:00","Avoid spamming sceDmacMemcpy() logging for 0 bytes.

Doesn't hurt anything.
"
"6c7c63c2afd09fc4b1af4827ef7621e284027276","2014-02-16 09:20:00-08:00","Log the sdk/compiler version under debug.

We weren't logging it at all before.
"
"1ed1f719bcd980c61f2e40a4e892c11652cc6c4d","2014-02-16 12:25:42-05:00","remove unnecessary nonnegative check for unsigned variable
"
"7fd6fce44dc6f5a67e35a52c41b681f18fcb0083","2014-02-16 09:32:08-08:00","Merge pull request #5487 from chinhodado/patch-1

remove unnecessary nonnegative check for unsigned variable
"
"0bb7cc1943c5417535743114266c23f3cac508df","2014-02-17 12:14:02+10:00","Fix some packaging issues with Blackberry and Symbian.
"
"b25b0ee06e5c1172f36c234694f533f3051f9a51","2014-02-17 13:11:10+10:00","Update ffmpeg for Symbian and Blackberry.
"
"f2ba0f136d7667883afdaee23e88959b4b26f095","2014-02-16 19:18:08-08:00","Fix stack overflow on x64 with memchecks, darn it.
"
"60515bbcd93b0eea3bb3de1a27a321511821135b","2014-02-16 21:05:43-08:00","Properly allow for Windows' 'home space' on x64.

Fixes #5484.
"
"60fe544bd5355cbc30b98673e8b9ec56ffcea954","2014-02-16 22:14:15-08:00","Use the resize event to update screen size on Qt.

Fixes #5491.
"
"98282e0fd30c3db095b2f1dadc66369aef95fa0e","2014-02-17 07:22:54+01:00","Merge pull request #5454 from unknownbrackets/io-minor

Improve truncation handling on all platforms
"
"b894bd9b27a422ff7afc3247f37b2c0b27c41d78","2014-02-17 07:23:45+01:00","Merge pull request #5489 from unknownbrackets/jit-minor

Fix stack overflow on x64 with memchecks, darn it
"
"1b23c51a9fd39d0a83a1b9680500babc36ffa575","2014-02-17 03:30:38-05:00","Win32: Make PPSSPP DPI aware to avoid flickering in fullscreen on some PC hardware setups.
"
"62075a1e9bf43a6df59d78dae068e6fe5242a115","2014-02-17 04:02:56-05:00","Use a safer method of calling the DPI stuff.
"
