"commit id","commit date","commit message"
"7af36a3c10e47011cd3f38344a8ae9bf49ad4193","2014-12-06 19:20:09-06:00","added back button at the top of the display
"
"e1ecb8572f41e4b268411d1c2b5e45b7108e8178","2014-12-06 19:28:00-06:00","bumped version
"
"091b2103c920d44597cc21feddd13ba311ca6cf6","2014-12-06 20:44:24-06:00","added notification controls
"
"950af58209a28d57b7ee0b775190ad53edb6078e","2014-12-07 07:45:33-06:00","added a couple of export=true lines to allow launching from notification
"
"2558e8072a6f8f4aedfa47ae45905c7efbbe75b7","2014-12-07 08:03:55-06:00","bumped version
"
"5d85d8e76cf77d0f041e777e029b2bb71cccc97a","2014-12-07 11:03:49-06:00","added audiobook mode
"
"d79a1bce0aef63e180035e9b58af72231bbfb668","2014-12-07 11:13:52-06:00","removing default value from the xml becuase there isn't a good way to make it language agnostic
"
"c040a5bb6801c91e54d6bca709f2b06ee204a4aa","2014-12-07 11:14:47-06:00","bumping version
"
"6af7c861568b17dba423314f8ccb319621926cba","2014-12-07 11:24:41-06:00","switching default fullscreen to false
"
"4b7b1b7cbab248f04ad8a9926a47cbf10b875a22","2014-12-07 11:30:12-06:00","added back from title of settings
"
"759af08787cf833b637b272290b6e4a5d1a5315f","2014-12-07 11:57:24-06:00","setting full screen default to false
"
