"commit id","commit date","commit message"
"244fedfce32540063a513f8470be16bbc17b29bf","2015-08-28 12:09:51+02:00",".gitignore
"
"095988e9519f1b53297e981765ed2f9e18159e9c","2015-08-28 12:11:31+02:00","Cleanup
"
"d77a9b39aa4c31301887f2e2e8ee0bdaaa70f603","2015-08-28 12:14:16+02:00","Dicer class added
"
"bcf9f8ff9580afba561adab35383954af88ecef1","2015-08-28 12:32:33+02:00","Icon added
"
"83efec7690c57bdcde0f915be934387a43ce25d3","2015-08-28 12:59:16+02:00","svgs for results
"
"4f9fbde3493f11eddd49a22694815e401c394c35","2015-08-28 14:07:11+02:00","nope, no svgs, but scaled pngs
"
"4dccf1a39c796ab396aed707cf76f14bcaa6e5dc","2015-08-28 14:54:14+02:00","Net schön, aber selten
"
"cc8641b1ad1166711c30ff2bf2bd6f16037c4c78","2015-08-28 15:08:05+02:00","result dice postioned
"
"a19ed6be4e0b51724f88f103986f8e8311a5af64","2015-08-28 15:36:11+02:00","repositioning, result heading removed
"
"a4906eef3ef37a9ef57b8aba60db25614fab74d5","2015-08-28 15:47:04+02:00","Button Color updated
"
"068740419b75d5b4092c5dd9d52cc33d8b5fd203","2015-08-28 15:56:23+02:00","Number of displayed dices dynamic
"
"3608e5415aedec443784645d8000ee317283dc39","2015-08-31 12:05:01+02:00","Orientation to portrait, Vib added
"
"0477de6a861cbb6f0228959758e832de2459c1ff","2015-08-31 12:09:19+02:00","String spelling corrected
"
"a56e9afb3d12e4a438ec57338c5b3c8430ab97d5","2015-08-31 12:14:22+02:00","German string file added
"
"3811dc04b001be6dee358d638876e473280e51fb","2015-08-31 12:46:06+02:00","Preference struktur added, but not yet integrated into menu
"
"19f72e35e9e3b00b9e494835178adff6a80889e2","2015-08-31 12:50:45+02:00","Vib moved
"
"62f3da9f4038fb92d0ac10713aa4e4ee3520c317","2015-08-31 12:56:17+02:00","License and readme (empty) added
"
"6080756fb3e957cf159dbdfeaf2b61706dfcc002","2015-08-31 19:29:42+02:00","readme removed
"
"b6fe662e4cc2046bdf05a88d31f429e94e05455d","2015-09-01 12:41:14+02:00","less code same functionality yeahhh
"
"f4feb04844a0b68404ac119fb31dc17d48ec765b","2015-09-01 12:45:06+02:00","more code optimization
"
"f97770c0cc41fc4e4bab5a8b2e19f4a42688d125","2015-09-25 18:39:34+02:00","Activity registered in Manifest File
"
"824417df620629cc3a987a4505b654c81a2c7bdf","2015-09-25 18:43:29+02:00","Boolean values for settings added
"
"342b9616cc4d6b0761da0f10e08b8a5bd46022b0","2015-09-25 18:56:50+02:00","Settings integrated, vibration works
"
"862baac4442927f4b22dca83a8e6c3a2c981afcf","2015-09-25 19:05:46+02:00","Vibration Setting works
"
"685b5e03caf1e5c4cdcb1d82410a7a67e047d8f8","2015-09-25 19:12:35+02:00","Shaking included
"
"65af37f68e06dd4556d6950aeb4b99099bf5af21","2015-09-25 19:17:14+02:00","Shaking working but displaying dices apparently not
"
"c2f556f86b149699b20dc7cbd462501a36960316","2015-09-25 19:21:03+02:00","missing strings translated into German
"
"93340b67d0f93aeaa84aa7b8832653b2242ac7e8","2015-09-25 19:37:34+02:00","Actionbar in Settings but not clickable YET
"
"0c306486446efcdd55eebd8fcb3b01f1ade59012","2015-09-25 19:49:15+02:00","Parentactivity from preferences added, so that the back button can FINALLY work
"
"2dfda87ce4adb10132d0bc92192d778e3aebb10d","2015-09-25 19:53:38+02:00","Latvian and Russian string file included
"
"141a6c2f00da882dee70efb4421311c02459ad50","2015-09-25 20:01:49+02:00","activity renamed
"
"9235050db5dc9ad6634348bb1c40aef87d7e4bd5","2015-09-25 20:13:38+02:00","About item added to menu
"
"e9ffc96185b7dd68f64fad8ec473b7347c5bce4c","2015-09-25 20:54:25+02:00","About page refined
"
"88971d222a42804f0ae7149c802d80de799b5d6a","2015-09-25 21:10:39+02:00","About page refined
"
"de8408df5e5876394be1e1d99a40f6578c0fa18d","2015-09-25 21:13:51+02:00","Missing German strings added
"
"2eec4169c10b742d43c1d8ac75a5e3b82fdb94c6","2015-09-25 21:33:10+02:00","refractoring
"
"c52bbdad6204b22ca86ec2f7fe4750813ccf9362","2015-09-25 22:05:25+02:00","Shaking works is intended
"
"4f87a4b03a14060db5fc103097c235e6eb1fd16f","2015-09-25 22:13:08+02:00","Layout tuning
"
"d0b1982d2cf6e2000e445564c7d0f6e1677a484f","2015-09-25 22:33:09+02:00","Turning problem solved
"
"1570f627f9eebc5c5a2690b6deae873ca2fe7e43","2015-09-25 22:42:31+02:00","Logo problem fixed
"
"e4f48c5faa4ca3c36d4071ff774202e2f58c61f5","2015-09-25 23:03:11+02:00","ActionBar colored blue
"
"c1d7c68c17406d1a32840f8ead7a38d4184aef4a","2015-09-25 23:12:24+02:00","Create README.md
"
"e497502feb704a55f36de03b0f87aa3c317bf862","2015-09-25 23:12:52+02:00","Merge pull request #1 from Yonjuni/Yonjuni-patch-1

Create README.md
"
"66d53ecbd60c740459a78744c3e9fcfd83f1159d","2015-09-25 23:55:48+02:00","Japanese language file added
"
"a6db804d5ca20be38775418919e420eedaced1c6","2015-09-25 23:59:32+02:00","Merge branch 'master' of github.com:SecUSo/privacy-friendly-dicer
"
"bf8f0a6cb673e526b38b98b300a2e1f96a3f08ae","2015-09-26 00:01:18+02:00","Missing Japanese translations added
"
"f34fceb2826925dc0a0e46e8a1c7bd7464dc8b43","2015-09-26 00:20:39+02:00","French translation added
"
"8396de31cfbb3db9b2159bf0a6d165e8aaac6274","2015-09-26 00:24:20+02:00","todo added
"
"facacf19081cbdddeb94fa0dbbfa0622f31e837d","2015-09-27 17:34:44+02:00","' in French file fixed
"
"2d9a644a5c05604cacdd32c2d1f2d61b6a4ec2c0","2015-09-27 17:54:51+02:00","Actionbar Logo changed to a nicer one, Code Optimization
"
"d8881142b90e08b60f38901aed2de42fe1b9e81a","2015-09-28 18:34:17+02:00","Missing Latvian strings added
"
"46385f64726531b5618a37ca34e7d146d254ee1b","2015-09-28 18:37:39+02:00","German is too long
"
"3f2cbce45eb5ac28b7ec7ed7f294bd33d740449f","2015-09-29 21:21:37+02:00","Blurry dice problem solved
"
"92cf65b14767c289f3aca256a570ee67af93e3b6","2015-09-30 15:23:41+02:00","Always keep your repro updated
"
"8b9eb592b722c7dd08c3f6fdb3e693f98cac3b66","2015-10-01 10:32:32+02:00","Problems with vibration setting solved
"
"657b203502e42884cb3fb83b519d7362129127ce","2015-10-01 12:36:17+02:00","Shaking Sensitivity decreased
"
"34853cae33c59e122196e07993cf3f48cba3a2d8","2015-10-01 15:41:28+02:00","Optimization
"
"f01c1a65bbce065a3797ec6540e1e3f296e0f188","2015-10-01 15:57:59+02:00","OptimizationPart 2
"
"2db6bbbb3ea425493db91024b5fbb21c2e47ca5e","2015-10-02 12:44:44+02:00","Homepage added
"
"8af96d20b8a93dd9e30eaf5e84d922df8da05693","2015-10-14 10:43:08+02:00","new Logos added
"
"6cea62ff82fdb10145313d8d1c00e54d70f264d1","2015-10-14 10:44:51+02:00","Label changed
"
"7319b0986da2cff5e516d004850a5abfbc97cd14","2015-10-14 10:46:57+02:00","Short app name in all files
"
"efc21ece0303ace84bb4d83c709596d566935249","2015-10-14 11:04:13+02:00","Logo resized
"
"a9b33f1547d2fe338a080348a010576dfb9f78c1","2015-10-14 11:26:05+02:00","Yes, again, it's a changed string
"
"1ae7b217f83e74e03dcbbd583cef1d52b06deab7","2015-10-16 08:38:50+02:00","New Logo with white frame
"
