"commit id","commit date","commit message"
"940ea6d6b71ed1ca8122dff5b85acf09db3ee703","2015-07-15 17:18:00-04:30","* Fixed RSS service issue.
* Unified TorrentListAdapter.java
"
"6ce6005f02c570272d6a2b505267a4e2c784a389","2015-07-18 01:04:56-04:30","* Added UI Test for All, Completed, Downloading, Pause, Active and Inactive torrent list were clicked on the drawer menu
* Added UI Test fro Get PRO showing on the drawer menu
"
"4047e3cf796fe8d5b1b1afd91efac98a9f0a8ebd","2015-07-20 13:46:53-04:30","* Disable lint in Gradle builds
"
"4a3bd43faf82ca1eec89fe99681602c141b9cd1d","2015-07-20 15:10:59-04:30","* Disable lint in Gradle builds
"
"b7dc3f8b43148bfbdf80f8caa9ec6918cd3b7b93","2015-07-22 17:53:49-04:30","* Added Robotium for instrumentation tests
* Added tests checking launched activities: RSS, Options, Settings and Help
* Adapted previous tests to Robotium scheme
"
"5f420be14313aa43cd058ac7f48ada83eca57bc4","2015-07-22 19:14:09-04:30","* Added test for 'Add Torrent'
"
"558295bd6b6bed48835c1236c76706408e9df5a0","2015-07-23 01:36:26-04:30","* Added UI Test for add torrent, pause torrent, resume torrent, delete torrent, delete torrent with data from the CAB
"
"a700e2fa0aa96de37baa09c64ec9d6efa9c5511e","2015-07-23 01:48:02-04:30","* Modified order fot resume and pause tests
"
"bf34374a38d51d0860b86c220cf18b973fb38a8f","2015-07-23 19:02:22-04:30","* Fixed drawer button not changing after torrent command (pause, resume, delete, etc)
* Added test for pause and resume from torrent details
"
"31f92d8b7d516d0d583a3b23ede8f8ce8b5039f0","2015-07-24 00:38:39-04:30","* Added test for delete torrent from torrent details
* Added test for delete torrent with data from torrent details
* Added test fro MainActivity ads view
* Modified test for resume and pause
"
"ecb3a8c8d262dfe531a9b5886c7638ed9ac2f4e6","2015-07-24 01:09:51-04:30","* Added test for Ads banner in RSS activity
"
"a29e8a45cd155331c34d4b4e6549abe2398029c2","2015-07-27 12:57:13-04:30","* Added Ads in RSS
* Added test for Ads in RSS
"
"dcfd76da1972b08cc79d5164368685beb751ddea","2015-07-27 17:51:06-04:30","* Added array values for Scheduler days (alternative rate limits)
* Added array values for Scheduler days (Spanish & Basque)
"
"a44f3cfefeb20f95f2d566735c50ec40f28b54dc","2015-07-27 18:02:59-04:30","* Added array values translations for Scheduler days (French, Italian and Polish)
"
"d543d62a97be567115001fb8ec30efbc6f7ea27f","2015-07-28 12:44:25-04:30","* Added array values translations for Scheduler days (Portuguese, Brazilian, Russian and Swedish)
"
"b95247fde33952c32d00aed421eb0441fa28309f","2015-07-28 12:48:42-04:30","* Added array values translations for Scheduler days (Pro version)
"
"72c26bc5e4985d191ba8c715018973bc57b099f1","2015-07-29 17:36:28-04:30","* First implementation of 'Schedule alternative rate limits'
"
"f162f6d4796d80294a1324fb9fe520a2af7c13c6","2015-07-30 02:31:48-04:30","* Added 'Schedule alternative rate limits'
"
"e1ccc93c0c3b96e15a327f4940ca55665f8085a1","2015-07-30 04:05:40-04:30","* Fixed issues related to integrating SettingsActivity and adding Ads in the pro version (to get the view id)
"
"33b3d25382f5779c466fc740276b00f93978f7fc","2015-07-30 04:07:30-04:30","Merge branch 'testing'
"
"ef5b43c4cfbfd9a2fb7ed3c3985cf65e9513934d","2015-07-30 18:32:36-04:30","* Add missing translations
"
"4abd751d9c10f2bca9d8111a9753f511ac4df1ee","2015-07-31 14:21:01-04:30","* Fixed Basque translation strings
"
"6ca916aa43953ec28969c74eebbb6a8b331d85c5","2015-07-31 14:57:06-04:30","* Fixed Basque translation strings
"
"1ff82cf7b6332d482b2d1fb0dff07b620aad8a49","2015-07-31 18:22:17-04:30","* Change app name to avoid confusion
"
"d8914c5822d6813ab004b62bc5a3585f40dfd342","2015-08-01 23:43:54-04:30","* Pre release
"
