"commit id","commit date","commit message"
"17ebd57a2de68f37c8f527cf78acc38264145df9","2016-03-09 21:26:40+04:00","squid:UselessParenthesesCheck - Useless parentheses around expressions should be removed to prevent any misunderstanding
"
"da6bc39847c7e4342e2ac4666eb3a811f3df32eb","2016-03-10 00:29:57-05:00","Merge pull request #427 from DevFactory/release/useless-parentheses-around-expressions-should-be-removed-fix-2

squid:UselessParenthesesCheck - Useless parentheses around expressions should be removed to prevent any misunderstanding
"
"950426a9bad4775b797de041b322dd688d5ed528","2016-03-10 10:53:38+04:00","squid:UselessParenthesesCheck - Useless parentheses around expressions should be removed to prevent any misunderstanding
"
"3ec0d1c98f9a1f1827275ca083d8e7abd8485d15","2016-03-10 11:03:20-05:00","Merge pull request #429 from DevFactory/release/useless-parentheses-around-expressions-should-be-removed-fix-3

squid:UselessParenthesesCheck - Useless parentheses around expressions should be removed to prevent any misunderstanding
"
"d597abdbdf17f69e9180c7ae25a4fbfe68ea6505","2016-03-11 18:34:22-05:00","Merge pull request #421 from DevFactory/release/dead-stores-should-be-removed-fix-1

squid:S1854 - Dead stores should be removed
"
"7da16c37e00272607e88582f46dfcc200795984c","2016-03-11 18:59:33-05:00","Update fabric to fix build issues

https://twittercommunity.com/t/fabric-gradle-plugin-1-21-4-fixes-build-e
rror-when-using-new-android-class-shrinker/61247/22
"
"35fcd8de6db22c19a06a0cb21546c2b85ce1bab5","2016-03-11 18:59:46-05:00","Update gradle build tools
"
"49f2b772883344cac4ec52ec2b85385b51dca83f","2016-03-11 19:15:43-05:00","Updated Google Play store button
"
"ce9be3031222718c50a66ca75c5750806dffdc81","2016-03-10 10:43:50+04:00","squid:ClassVariableVisibilityCheck - Class variable fields should not have public accessibility
"
"620b7634cd2622b702629c7b9639ec2c1d5695c2","2016-03-12 17:47:36-05:00","Added ZenHub badge
"
"c399cf87725da9b4ffa238416753f2179cbe093a","2016-03-15 20:26:23-04:00","Support Samsung MultiWindow
"
"f0ea8273b90f137277e28719eff02823b5e7ee2e","2016-03-15 20:29:01-04:00","Merge pull request #428 from DevFactory/release/class-variable-fields-should-not-have-public-accessibility-fix-1

squid:ClassVariableVisibilityCheck - Class variable fields should not have public accessibility
"
"39f7ab38796134f28e669da9f0e745c840a6ca02","2016-03-17 01:40:46-04:00","Fixed message bubble grouping for group messages
"
"541b28d31d8f755543af570dd993b83a7616b188","2016-03-20 23:41:00-04:00","Updated translations
"
