"commit id","commit date","commit message"
"943469fd41ec9db7e157407c336017cce0d7f272","2013-10-20 20:47:24+02:00","Updated portuguese version
"
"d8794584df3c9542c313fc4a2d2f6770537ef0e6","2013-10-20 21:33:10+02:00","Update Manifest (pick up from Heriswap)
"
"4281472677a99c5493d3c6a62ec8bb3e0e4b251f","2013-10-20 22:18:39+02:00","add format_presentation script
"
"25887028a04a82bb122ad5b4b15584e83f73e8ae","2013-10-21 22:36:10+02:00","Update playstore presentation texts
"
"5dee2b1b3d21893fc15689f65303232f98bf6c7d","2013-10-29 11:28:31+01:00","Update target to android-10
"
"70f61baacaa226d6b715aa9ccecaa0e872e11cd1","2013-10-29 11:28:48+01:00","Add debuggable flag to true in manifest
"
"fce808c2cb037936428564d681d21240c9b6cc9f","2013-10-29 11:42:24+01:00","Add gdb support for Android
"
"4d3d71e9def58ab5ad8929f50228cf339d8cd15b","2013-12-21 22:45:20+01:00","Update submodule
"
"09c3887867105dd39cc108a7cdb13696073b4194","2014-01-29 18:43:06+01:00","Improve graphics batch
"
"b343ec79bedf9e1972e61c57342c23d35306bc52","2014-03-06 15:12:01+01:00","Updated sac & fix compil
"
"9266295e9d98f934119ad0c3ac48120b86b61fd6","2014-03-10 22:21:39+01:00","Improve emscripten version
"
"388fe385bde5061c5ee414397f3c19a82e7e3119","2014-03-12 10:05:34+01:00","Cleanup and updated sac
"
"a61b3407df2a4678e3abd633c87fb519b2ca02c8","2014-03-12 10:25:10+01:00","[Localization] Updated localization files
"
"31808ad2ddfd7f7b9476cbe048d784ff6b2a4eea","2014-03-13 16:57:21+01:00","Sac: Updated sac
"
"1c0abb50489dea078132646cc33ab5d78d148686","2014-03-18 18:59:58+01:00","Localization: updated transifex files
"
"23f0d6a511ec5a41401e530510a5b2a3f86ff898","2014-03-18 21:21:59+01:00","[Localization] Updated transifex texts
"
"1daa4443fb83725f237ab790fc84e1be566818c1","2014-03-18 22:34:34+01:00","Game center: fix crash due to GameHelper in sac update
"
"3c54c896cc7878316e86e3e48057adebceeaf24e","2014-03-18 22:42:40+01:00","[Localization] Changed English translation thanks to comradekingu@f-droid
"
"eab6ac1e5b66b0fb609aae0114e68efb8e7300ea","2014-03-20 19:22:34+01:00","Fix whitespaces
"
"b757f3352fc48d23ccff4208bfdb8483ec983b0b","2014-03-20 20:36:55+01:00","Update sac
"
"02ac34745f25c9139e575bee041a0e273dd81fd1","2014-03-21 20:57:35+01:00","Fix camera system
"
"e924c793cd661b4ce36a5d7abdc16a76e8133f17","2014-03-21 20:58:13+01:00","Do not use Anchor for background smokes
"
"8eb71f3d949c83c8d115eb400a759dfbd1dfcfd1","2014-03-21 22:58:24+01:00","Fix android build
"
"ba5bf963ef64d1db3c7409df287cb614ceb1c9e3","2014-03-24 20:29:09+01:00","Add benchmark code
"
"e6094091e427280a2782ab773f3cbd98f4c5b1e8","2014-03-24 20:53:46+01:00","benchmark: jump around
"
"d41c510556f6464257d1402fb1e5910ff5d7fa09","2014-03-25 18:59:16+01:00","Update sac
"
"88622d11faf0ca53b06fd9027693d63090937515","2014-03-25 23:09:21+01:00","Do not remove entities from list ref
"
"bdcf079b973a5d95ba6b6eb0f6b68fe800de7d51","2014-03-26 16:15:04+01:00","Replace strings with Hash
"
"d680388e8587ea314495589b9ee68aed8e426725","2014-03-26 18:08:08+01:00","Update sac
"
"70113fd247bb944614ae9d32fef700cf4e1906aa","2014-03-26 20:50:18+01:00","Update sac
"
"33362a6ac9f6dc8472dbd4212e027716d11ecc88","2014-03-26 22:28:52+01:00","Update sac
"
"b7b34cb60c021e51d77674a97b5866339651820d","2014-03-26 22:49:51+01:00","update sac
"
"ef3b442a996da471640936c74e4808f4596b2647","2014-03-27 00:34:17+01:00","experimental color work
"
"15ab11348128974c5a44d1e7431270bf5f0e02ef","2014-03-27 00:34:38+01:00","Revert 'experimental color work'

This reverts commit ef3b442a996da471640936c74e4808f4596b2647.
"
