"commit id","commit date","commit message"
"75e32cd79e52818d0af1816fb497289038602d7c","2015-06-18 18:09:34-06:00","Initial commit
"
"ec2dcb814aa4402832c0148e8d449e4550919185","2015-06-18 18:42:43-06:00","Update README.md
"
"57618556403eb13e50e4ec2d7307d03a8c4046d2","2015-06-18 18:44:42-06:00","Update README.md with Guile's taunt shades
"
"97b49d8c6b6e2ec9299724fcc842cd4cb618efe6","2015-06-19 11:15:21-06:00","Created empty project.
Updated gitignore with the one produced by Android Studio.
"
"f03ba1376cf8ea7447dbf1241e7274e588cf59e4","2015-06-19 11:45:43-06:00","Configured default app themes.
"
"201a232d6b544f0ac0f396a644313e252cc517f9","2015-06-19 12:15:46-06:00","Removed appcompat library dependency.
Added settings gear icon to ActionBar.
"
"39d537b0bde8caf148da23e3788ac9c19728df72","2015-06-19 12:20:43-06:00","Restructured app and activity themes.
"
"525e88bba8b392973de1ba28e3aa32dab0788d06","2015-06-19 12:59:38-06:00","Switched off styling for now.
Removed menu_shades.xml.
Removed unneeded settings gear icon.
"
"8989bf3249a67fb422fe447560bfa3cfe1fc3286","2015-06-19 18:37:01-06:00","Created ShadesFragment and accompanying Presenter.
Wired ShadesFragment and ShadesPresenter.
Attached ShadesFragment to ShadesActivity's layout.
"
"a26b6e6446e3292acbcc9460e3e0c2879d8bdb70","2015-06-19 18:51:01-06:00","Added ScreenFilterService command flags.
Added declarations for a ScreenFilterService command factory and an accompanying command parser.
"
"63617fb7084e5895db854bd010539265e5be1845","2015-06-19 20:15:46-06:00","Added logging in ScreenFilterService.onDestroy() and cleaned up imports.
"
"8f3f3c56ca4aa2ec95c63936a2106f4607c83f3b","2015-06-19 21:34:57-06:00","Added WindowView and WindowViewManager.
Added various TODO comments.
"
"c569797e487e43fadbd8c479c44a1de9d2a8e2eb","2015-06-19 22:06:19-06:00","Added states to ScreenFilterPresenter.
More null checks.
"
"3419c7c7fc2012b69174e7d34bdb7b4137f0af4c","2015-06-20 15:05:15-06:00","Added drawables for brightness and sunglasses icons.
Modified some documentation.
"
"99a7d0eefb2dc93515d98f3e8b7438354d3a5aaa","2015-06-20 16:16:22-06:00","Added methods to set screen filter color and dim level.
"
"b432194588fe4c04cca0f051c08d6f812e47967e","2015-06-20 20:25:50-06:00","Implemented FilterCommandFactory and FilterCommandParser.
"
"54b262569980ce9b0f07950fd8e86abb7c34d9c6","2015-06-21 08:51:25-06:00","Added sample implementation for handling service commands.
Implemented the previously declared methods to set screen filter color and dim level.
Initialized and wired up view and presenter in ScreenFilterService.
"
"d8d7641465cad1eceef1ed387cc56d5f6bfb9d1f","2015-06-21 08:58:21-06:00","Moved the logic to start the ScreenFilterService into a new FilterCommandSender class.
"
"0ace00fe9e318ead0fd12820fdd5b5b7ff447e23","2015-06-21 17:12:27-06:00","Turned ShadesFragment into a PreferenceFragment. Added preference and layout placeholders.
"
"3abe40bf695ccc011d591db6887ec6741e6aff33","2015-06-21 19:07:18-06:00","Renamed member variables to follow Android convention of an 'm' prefix.
"
"a233bdece228c4c67a51195b2dc793f169877e5a","2015-06-21 20:09:52-06:00","Implemented DimSeekBarPreference.
Added sample code to listen to the DimSeekBarPreference in ScreenFilterService.
"
"b477067b16975f1923909f5d0e0c978c310971d3","2015-06-21 20:41:30-06:00","Moved preference keys into a new string resource file: donottranslate_prefkeys.xml
"
"f10a4aad923d80448455a6afa17a8e81ede3a2c7","2015-06-22 12:16:26-06:00","Renamed wrongly named ic_brightness drawable png.
"
"6e28fe11335a749a7a0b083da56b4621c090a76b","2015-06-22 14:07:24-06:00","Added oval shape drawable resource.
"
"8c2af9f2d4afd057a46563435e6625207398d9c0","2015-06-22 19:32:33-06:00","Designed the layout for ColorPickerPreference.
"
"d5e82e1d0c651ead8bbc88611ad0f42ed22f05d5","2015-06-22 20:29:42-06:00","Persisted ColorPickerPreference to SharedPreferences.
Added padding to the ShadesView PreferenceFragment to accomodate the future FAB.
"
"901951c7b64a42daaa97357d5a9e1926bde1ce6c","2015-06-22 20:31:19-06:00","Added comment regarding using layout change listener.
"
"ae46a01a9df710d93cd889eba006d0ae1d965cac","2015-06-22 20:32:00-06:00","Minor spelling fix.
"
