"commit id","commit date","commit message"
"bd3a243c2e4c752332d8fb2165983748baa86d22","2014-08-23 01:21:00+01:00","Updated AS settings
"
"f6b1b38e257582e6710caf73897ebd0f11de8b7c","2014-08-23 01:21:32+01:00","Now uses Anti-alias on the rounded image view for smoother edges
"
"3d26a8c185324485fd7127c36f3637dd45c048c1","2014-08-23 01:55:47+01:00","Updated settings for new date options
"
"7b8b9213cee9267b30aecaba86c862fb9b0f856a","2014-08-23 01:56:41+01:00","NPE Fix
"
"c657e059e2a69bf4ece6e1fa2fcf113d2decefd5","2014-08-23 01:57:12+01:00","Fixed editing logic
"
"cb072d02b9a53d004baed95c141a53d262a78310","2014-08-23 01:58:36+01:00","More fixes
"
"6e79a3b1f97bd20614f47eaf9e87cf7af7faf8dd","2014-08-23 15:53:55+01:00","Updated the total dialog to look even better
"
"b85e9085a118ad512bd8e3d5e996195f3300cba5","2014-08-23 15:54:08+01:00","Larger launcher icons
"
"fa26dd9c96b3979e71da2177a548bd07a886e619","2014-08-23 15:55:38+01:00","High-res images are back!
"
"42a3ed5993deb7e5cc15bddf888f216373ce9b0c","2014-08-23 15:55:50+01:00","Changed dialog title
"
"9ec8ec62a54b775c0b04ccf09b486049c116d93c","2014-08-23 16:35:51+01:00","Merge branch 'develop'

* develop:
Changed dialog title
High-res images are back!
Larger launcher icons
Updated the total dialog to look even better
More fixes
Fixed editing logic
NPE Fix
Updated settings for new date options
Now uses Anti-alias on the rounded image view for smoother edges
Updated AS settings
"
"81de6849406676100254e6ebc296d8c9613bbcf4","2014-08-23 16:36:34+01:00","Incremented build number for release
"
"13d12ff6c0341e9499b712a29fdd96fc809c8be0","2016-02-19 13:35:26+01:00","Fix issues 3,4 and 6
"
"52044b7dbccd06a58f344b3824ae270f26502104","2016-02-21 15:42:33+00:00","Merge pull request #10 from franrx/master

Fix issues 3,4 and 6
"
"6d222d89a3a30f23453ed8bbc9f001be59a01af9","2016-06-14 15:24:31+01:00","changed build.gradle to use jcenter
"
"c8d2811043f1903cb1d19704ba1b604a34f05772","2016-06-14 17:06:26+01:00","Merge pull request #11 from luiscruz/master

changed build.gradle to use jcenter
"
