"commit id","commit date","commit message"
"94b823fcc772d80561d5476446ed7945819ed6e8","2009-09-25 06:22:54+00:00","MERGE branch gsoc2009-draci 41388:44325 into trunk

svn-id: r44326
"
"edd338b229f4c6d6fc0b2aeb7e3bcf412c80071d","2009-09-25 06:43:33+00:00","Make engines/draci/ compilable after merging from a branch

svn-id: r44327
"
"7106caca810bb8012f3c04edc4ef01d73215bd66","2009-09-25 07:05:26+00:00","Replaced the C99 lround() with floor(), to get draci to compile under non-C99 compilers (e.g. VS)

svn-id: r44328
"
"a74a9c6c0120b9b84df2a8ff9b430e840d472431","2009-09-25 07:06:55+00:00","Silenced some warnings

svn-id: r44329
"
"d6502a0c2416fc388a4e4e2c93315202fecaac5e","2009-09-25 07:11:19+00:00","Added MSVC project files for the newly-added draci engine

svn-id: r44330
"
"f51c81f34402c665751774b23f3734b7b7a0b2b4","2009-09-25 08:13:39+00:00","Add const's to many interfaces of engines/draci/

svn-id: r44331
"
"6ea572b183dd3d7764d7bc866c3da04e23f1e936","2009-09-25 09:08:17+00:00","typo

svn-id: r44333
"
"e2017d4681f2de667f24afd61ead524ff19b8a9a","2009-09-25 09:09:22+00:00","Mention 16bit graphics and SCUMM Amiga fixes in NEWS

svn-id: r44334
"
"07092bfccbfdbb5e01cb99068f36229055e56df6","2009-09-25 09:10:59+00:00","Removed dead code

svn-id: r44335
"
"adaf3ec8b4818f89e9f4d39fb2a14710b0f0bd5b","2009-09-25 09:13:33+00:00","SCUMM: Rename _bitDepth to _bytesPerPixel

svn-id: r44336
"
"e296cef9becef7e890cd1ce33d1b0ae23007a784","2009-09-25 09:48:43+00:00","Created a macro for lround(), for non-C99 compilers, and used that in places where lround() is used

svn-id: r44337
"
"3c8500c14966d8e1b49918056ff1fc9128ae4ea9","2009-09-25 09:57:38+00:00","Patch #2856708: AMIGAOS4: FS updated to new SDK

svn-id: r44338
"
"d72ad75c52c70ce1232dbc9bdb7fe7219201f289","2009-09-25 10:11:31+00:00","Reverted commit #44316, as colors show up correctly now without dithering. Dithering is now off again for SCI0 by default, an can optionally be turned on

svn-id: r44339
"
"761d0e53f9ca089c730e9e308256caab3a6384ce","2009-09-25 11:03:04+00:00","Cleanup configure script: (1) don't add -DUSE_ARM_*_ASM redundantly to DEFINES, we already add these automatically in ports.mk; and (2) #define macros that determine the host OS consistently via -D and not via config.h

svn-id: r44340
"
"399c511f908b5e6cc6bf13f926c12e0ca3470060","2009-09-25 11:21:56+00:00","Part of patch #2850021: disable hq-scaler&mt32emu for motoezx&motomagx-platform

svn-id: r44341
"
"1a4257f46ffd9179ebb06c4b2cb7617f4acceb6e","2009-09-25 11:22:14+00:00","Move linuxmoto specific stuff from ports.mk to a new file backends/platform/linuxmoto/linuxmoto.mk

svn-id: r44342
"
"67564cb5323f5444a54530eda3b948320160c3bd","2009-09-25 11:22:29+00:00","Move wii specific stuff from ports.mk to backends/platform/wii/wii.mk

svn-id: r44343
"
"957f9c0b551282d94693ac4762033e6b1630af0d","2009-09-25 11:27:12+00:00","More of patch #2850021: disable hq-scaler&mt32emu for motoezx&motomagx-platform

svn-id: r44344
"
