"commit id","commit date","commit message"
"239521ba55f1d9656df2ace5af09ac2b24dc9ee4","2013-11-29 14:43:54-08:00","Initial commit
"
"1d61bf5881ad12e0676ff316c468b93c9a24b424","2013-11-29 18:08:31-05:00","Initial version
"
"3aa3667d18a8d390294c46c5682a0bdd54b688b4","2013-11-29 19:20:44-05:00","Make Default button text more intuitive
"
"2c4ccfa5c5207600696432d413827bbaa4c06dfa","2013-11-29 21:54:59-05:00","Improve icon
"
"1e68fe924c84c0c2e8cd0d4f6ca14ba42b398727","2013-12-01 09:37:41-05:00","Significant performance improvements and refactoring with Fragment
"
"914a686e0adc56394f18e91f35c58627b9a59c72","2013-12-04 21:29:55-05:00","Make more resilient to error conditions and do some cleanup
"
"bd6309d85d46cd0e9dd5e804cd06ac18a4496410","2013-12-05 08:56:28-05:00","Fix infinite recursion bug and update text to reflect that deleted files are found
"
"8cc291ac36a8e64436518e13494c22e24416b7a2","2013-12-07 10:51:24-05:00","Store path in persistent storage, and a few tweaks
"
"17c14c42be6f59407cfb3ac264bca5f40884500a","2013-12-07 10:52:40-05:00","Fix AndroidManifest.xml for new release
"
"4befec509fcc5211c5d1acd7e03a3ad18df45d1c","2013-12-10 20:38:14-05:00","Fix crash on I/O errors while listing files
"
"2fdf1339ef6448e483265dfd07c375e1433aaaff","2014-11-15 21:28:15+01:00","Czech translation created
"
"bf2b95baf2a319dba9263f04b86c4afd3da27226","2014-11-16 21:18:28-06:00","Merge pull request #4 from svetlemodry/master

Czech translation created
"
"d8dbcbbe96e61bfed0e0f4dbd5b468f9f09c521d","2014-11-19 23:09:29+03:00","Update UI in accordance with Android design guidelines
"
"32d05b7a1d4a6cb7fd8b8854bdf84d1e08ac1e2e","2014-11-20 18:01:25+03:00","Use flexible height for db_label

Text can be quite long (more than two lines) in some translations.
"
"df25a9a2b152d1b10747a5e9d03962de8f294998","2014-11-20 18:06:56+03:00","Use ImageButton instead of Button with 'Default' label

Translation of 'Default' can be quite long while horizontal space is
very limited on a phone screen.
"
"137624876ea222f328a980904ad4fb5bf95fd37f","2014-11-20 18:09:02+03:00","Remove 'Default' button text since it is not used anymore
"
"9dad1039a0e10ae1fa25fe647a5b04d18c4ceddb","2014-11-22 11:51:56-06:00","Merge pull request #5 from relan/master

Update UI in accordance with Android design guidelines
"
"75f8f68e6fb875a36cf17ad203b2ee90ceafc94b","2014-11-22 18:01:47-06:00","Improve UI and try to stop scanning /storage and /system
"
"6abde3f68fd9b11cf0c3e924c85f40439bc83787","2014-11-22 18:55:40-06:00","Add handler for RUN intent
"
"24d088cf3a92d6ff21f0cb75f6df73e9d5722ea7","2014-11-23 23:48:26+03:00","Russian translation created
"
"0a557743a2ebd12e3e257f0fb1236573ca2bff40","2014-11-23 15:22:04-06:00","Remove getString() from ScanFragment
"
"840b905fefd33469c28d328a3e3184d005469f5a","2014-11-23 18:04:21-06:00","Merge pull request #6 from relan/master

Russian translation created
"
"e3cc9fd1b1842c2bc9a8630707705d4799bec685","2014-11-23 20:26:06-06:00","More efficient initialization of progress text.
"
"f8f1eadfd9e335e8ed3470eec3e36b05374c5d58","2015-02-08 16:05:32-06:00","Remove getActivity() calls in ScanFragment to avoid crashes
"
"aefd6af25103a12f6c2bd9d51f8f697715884bcf","2015-02-08 17:30:02-06:00","Add ability to ignore changed/deleted files outside scanned path.
"
"fa08440b4c9964d208800f4c6d312c81e1d53b1f","2015-02-09 07:06:56+01:00","Czech translation updated
for sdscanner
"
"be196c788e28d59f1f4ad46bd9b20728df7760b9","2015-02-09 12:27:39+03:00","Update Russian translation
"
"35a246d1d803a974ad6df19a787b1c1bbbb0599a","2015-02-14 10:40:11-06:00","Merge pull request #8 from svetlemodry/master

Czech translation updated
"
"cdd657ae4b0dafb41c77e34a3bd64f48eb03e812","2015-02-14 10:40:36-06:00","Merge pull request #9 from relan/master

Update Russian translation
"
"c8bd17b0468ae9543ef24a22ebadf36c3b3490fc","2015-02-14 11:32:19-06:00","Updated English UI string and add more checks for files to scan
"
"4f7a0aa7dad193e26f8fcef379e5aba97a53c9d0","2015-02-14 11:44:07-06:00","Update Chinese translation
"
