"commit id","commit date","commit message"
"a51584b0438c3e8769f68eae75498b1ca65669cf","2014-04-05 18:14:42+08:00","Remove unused semicolon
"
"edd8bce54b4dfef48521ce219a8abb6a6479141f","2014-04-07 10:03:42+08:00","Merge pull request #50 from Jason-Chen/unused_semicolon

Remove unused semicolon
"
"fa195837d8b3a48743e3043e99a0463100b8a040","2014-04-08 11:24:18+08:00","follow http redirects disucssed in #51
"
"5f0a61782229f15955066068db2aeb5315b9b059","2014-04-25 10:16:24+08:00","Merge pull request #40 from rcoss/master

Added Spanish translation (es_AR, Spanish Argentina)
"
"315e8386d93c85f549a3cbb8162ab2147c3a0b7d","2014-04-25 10:16:47+08:00","Merge pull request #38 from yvesago/master

update french translation
"
"29bb40cba543b6edab1684aeb5d52c7b57516bbd","2014-04-25 23:44:41-03:00","new strings translated
"
"fdf194be908593ca662513fdb723717726eee521","2014-05-27 20:37:49+08:00","change 'Add to Seafile' to 'Seafile', Close #57
"
"3136a50987d4f14a03dea32a36b849c93d8af897","2014-07-10 18:46:01+02:00","Update strings.xml

some corrections
"
"1b130ed7d892d87bcc97e48706e74345755878de","2014-07-17 16:02:05-06:00","Remove duplicate keys from strings.xml files.
"
"2843e2a8a4a0ec380c80404ee3487e0d660e55e3","2014-07-18 09:48:16+08:00","Merge pull request #65 from patcon/transifex-compat

Remove duplicate string keys for transifex compat
"
"3c1ebcae130cd53794bd0f1fe709f8cb2344cab3","2014-07-19 19:25:24+08:00","updating the term 'update' to 'upload'
"
"50578ba0481b47f9ccee1d4ea6028c8f8f3ddef8","2014-07-20 11:18:21+02:00","Code cleanup : replace '<expr> == false' with '!<expr>'
"
"3d5f6acfcc23cb11dc9bddbc5bcbb45f4c5b4729","2014-07-20 11:26:59+02:00","Code cleanup: remove space and tab at end of line
"
"54a745f566923c8a80f8f9611732451d318521f4","2014-07-20 11:29:04+02:00","Code cleanup: remove unused imports
"
"595e4ed1576aad640cc99f26b3b8d73fb3b18ff3","2014-07-20 11:32:02+02:00","Code cleanup: remove duplicate color def, and move color def
"
"bcec7836380d7c3dc12aef85730eeb9d512b5b2b","2014-07-20 11:59:43+02:00","Code cleanup: use 4 spaces, not tab for indentation
"
"90b4fca6f3607e57adbedc0426c53cb36a66fc47","2014-07-20 13:10:06+02:00","DataManager: check dir existence before creation
"
"4a249eb9f46aa58908d6baa777adce545ae890d3","2014-07-21 00:38:12+08:00","use transifex for translation
"
"343f7dc30f2022f39aefb832167f737bbaf71185","2014-07-21 10:19:54+08:00","added travis ci
"
"17f87d0c2a48c118a2287e3fa2e905105e586629","2014-07-21 10:31:11+08:00","enabeld travis ci email notifications
"
"42c40dbba778ede61aa07dca4270029ce5d029ff","2014-07-21 10:36:14+08:00","Merge pull request #68 from alfh/fix_code_cleanup

Code cleanup to make code more consistent
"
"371ca50ff9fbe490bbf78482bd4012c07cc64a41","2014-07-21 10:41:06+08:00","Merge pull request #66 from Logan676/master

updating the term 'update' to 'upload'
"
"3db9e3489de50fe2637def554e3675bf9232a110","2014-07-21 10:44:57+08:00","Merge pull request #69 from alfh/fix_check_dir_before_mkdir

DataManager: check dir existence before creation
"
"d23bd4cb363383f9750442c91b99c2319cb8018f","2014-07-21 10:45:29+08:00","Merge pull request #53 from rcoss/master

new strings translated
"
