"commit id","commit date","commit message"
"05cf178f4362487c12a0639564f52e67577a8768","2013-01-12 13:56:16-08:00","Initial commit
"
"f354475863f6902ad53e7467bb64cf243a0486c8","2013-01-12 13:58:10-08:00","Update README.md
"
"1f3755176fbe5b48c71eead071cb067ebc9ddc8a","2013-01-12 14:33:19-08:00","first commit
"
"81cd083e555e9a87f344b4eaeb3943330778dece","2013-01-12 14:35:17-08:00","Merge branch 'master' of https://github.com/x942/secdroid

Pulling README
"
"62933fa5f20c8eef757ab21f03e1d26f0885c139","2013-01-12 14:41:44-08:00","added apk
"
"ad744fec5816f7218c3640111086ce6bb8f9ab0c","2013-01-14 21:47:04-08:00","fix bugs v0.3
"
"55875bf44cd634531449d9c95acf7eccba1eed65","2013-01-14 21:53:59-08:00","removed depreciated
"
"e37fb7a380850acd347fcd6f6cad1433964eda5f","2013-01-14 22:52:59-08:00","fix harden.sh
"
"c54cf6cbbb0ba1f125de11ca05020f6345df5f28","2013-02-13 21:54:14-08:00","version 0.4
"
"6eb44e63d89c145d8a7561828706ea4e909265ea","2013-03-11 20:41:33-07:00","Added supersu to manifest.xml
"
"a5079acb63c184fa9d9f9cb29da1b6c58aa07ba7","2013-05-06 22:20:36-07:00","update to verson 1.0
"
"c465f0561cacd6f90632c047d282a134d4c8c2ee","2013-05-11 22:29:06+03:00","Update hardened.sh

added some more security tcp hardening,
Added lines to remove permissions for ssh,
permissions for telnetd,
permissions for uiautomator,
ssh config,
terminfo
"
"d946a6ecc7d420f2927dcd1f44e550d4c553b315","2013-07-25 20:10:26-07:00","Merge pull request #1 from baz77/patch-1

Update hardened.sh  - adding in more secure hardened.sh thanks baz77
"
