"commit id","commit date","commit message"
"1c74324793296395ce5561425ca518131832385f","2011-01-08 15:53:25+00:00","Add the ability to reorder the rows and columns in Group. It becomes
much easier to keep track of things if, once you've identified a
cyclic subgroup, you can move it into a contiguous correctly ordered
block.


git-svn-id: svn://svn.tartarus.org/sgt/puzzles@9075 cda61777-01e9-0310-a592-d414129be87e
"
"68c8250e3d4aae488880cc5da4e633a0ba3c8edc","2011-01-09 11:30:09+00:00","Fix error highlighting after table rearrangement.


git-svn-id: svn://svn.tartarus.org/sgt/puzzles@9076 cda61777-01e9-0310-a592-d414129be87e
"
"f40bf005b6ac360fc1ee618a138392772fa4a700","2011-02-03 19:49:19+00:00","The printing function in Bridges was unable to cope with more than two
bridges between a pair of islands! Good grief. How did we never spot
that before?


git-svn-id: svn://svn.tartarus.org/sgt/puzzles@9083 cda61777-01e9-0310-a592-d414129be87e
"
"8ffd6a096545ec1dac185f94463ea42b6e198c8d","2011-02-08 22:13:18+00:00","Another UI feature for Group: now you can click between two legend
elements to toggle thick lines in the grid. Helps to delineate
subgroups and cosets, so it's easier to remember what you can
legitimately fill in by associativity.

(I should really stop fiddling with this game's UI; it's far too silly.)


git-svn-id: svn://svn.tartarus.org/sgt/puzzles@9084 cda61777-01e9-0310-a592-d414129be87e
"
"da92f7adba0ec99ff15107736591b8f83eac159b","2011-02-23 20:05:40+00:00","Patch from Chris Moore to improve the generality of
grid_nearest_edge(), by having it search harder for a better dot to
move to in the first loop.


git-svn-id: svn://svn.tartarus.org/sgt/puzzles@9106 cda61777-01e9-0310-a592-d414129be87e
"
"4623d0a54ac7299c2abc4d8ab1612a7c9db8d428","2011-02-23 20:05:42+00:00","Patch from Chris Moore to implement an extra grid type, the 'floret'
pentagonal tiling.


git-svn-id: svn://svn.tartarus.org/sgt/puzzles@9107 cda61777-01e9-0310-a592-d414129be87e
"
"016fd94d8eb216cc818935476ddafe643253c1d1","2011-02-24 19:06:48+00:00","Retire the 'middle_face' field in 'struct grid', together with the
overly complicated algorithm that uses it to home in on the grid edge
closest to a mouse click. That algorithm is being stressed beyond its
limit by the new grid type, and it's unnecessary anyway given that no
sensibly sized puzzle grid is going to be big enough to make it
prohibitively expensive just to do the trivial approach of iterating
over all edges and finding the closest of the eligible ones.


git-svn-id: svn://svn.tartarus.org/sgt/puzzles@9108 cda61777-01e9-0310-a592-d414129be87e
"
"48a054eda39f1e6dd41ca1a909a98c7ad28b543b","2011-02-24 19:06:49+00:00","Another patch from Chris Moore implementing two more grid types, both
involving dodecagons.


git-svn-id: svn://svn.tartarus.org/sgt/puzzles@9109 cda61777-01e9-0310-a592-d414129be87e
"
"fbd88fd2330ca54675856fe04fb70d08d6ade067","2011-04-02 13:15:56+00:00","When a lot of edges meet the same point - and, in particular, when
they meet at sharp enough angles that the thick lines overlap
noticeably outside the circle of the point - redrawing the edges in a
different order each time looks ugly. Arrange to always redraw edges
in order of colour, so that empty lines are drawn before indeterminate
lines which in turn come before filled-in lines.


git-svn-id: svn://svn.tartarus.org/sgt/puzzles@9136 cda61777-01e9-0310-a592-d414129be87e
"
"dcb9fd6acc3f305f455d1b705c0a4c6188f23119","2011-04-02 15:19:29+00:00","Improve the algorithm for figuring out where the number should be
drawn in a face: averaging the vertex positions works fine for regular
or roughly regular convex polygons, but it'll start being a pain for
odder or concave ones.

This is a kludgey brute-force algorithm; I have ideas about more
elegant ways of doing this job, but they're more fiddly, so I thought
I'd start with something that basically worked.


git-svn-id: svn://svn.tartarus.org/sgt/puzzles@9137 cda61777-01e9-0310-a592-d414129be87e
"
"c238145217f51e28ccd44d98d75e7e4e79c35e10","2011-04-02 15:19:29+00:00","Rework the Loopy grid drawing algorithm so that it doesn't assume when
it clears a clipping region that it knows what features will need
redrawing in that region. Instead, I've moved all the clip/unclip/draw
functionality out into a game_redraw_in_rect() function which checks
_everything_ on the grid to see if it lies in the region.

As far as I can tell the effect only shows up in grid types that
aren't checked in, but it makes the code look nicer too.

(It would be nicer still to avoid the brute-force loop over the whole
grid checking it against the bounding box, particularly when we're
drawing in multiple bounding boxes. But this will do for the moment.)


git-svn-id: svn://svn.tartarus.org/sgt/puzzles@9138 cda61777-01e9-0310-a592-d414129be87e
"
"ebb66222054c1fc015a390256aa773b5ab3cb19d","2011-04-02 15:36:30+00:00","Add functions provided by the midend to tell a front end whether GUI
buttons for undo and redo should currently be greyed out.


git-svn-id: svn://svn.tartarus.org/sgt/puzzles@9139 cda61777-01e9-0310-a592-d414129be87e
"
"8ca1414e26eee4fc93e118e246231b306390b20a","2011-04-02 16:19:12+00:00","Add a function to every game backend which indicates whether a game
state is in a solved position, and a midend function wrapping it.

(Or, at least, a situation in which further play is pointless. The
point is, given that game state, would it be a good idea for a front
end that does that sort of thing to proactively provide the option to
start a fresh game?)


git-svn-id: svn://svn.tartarus.org/sgt/puzzles@9140 cda61777-01e9-0310-a592-d414129be87e
"
"f4e2a3f7a1c49a35c3769a00ffc4c44b26f16246","2011-04-03 07:55:18+00:00","Move up midend_is_solved() in the developer docs from subheading to
heading level. It's _almost_ apt to have it as a subheading of
midend_solve(), but not quite, and it certainly wasn't intentional - I
must have absentmindedly typed the wrong Halibut command letter.


git-svn-id: svn://svn.tartarus.org/sgt/puzzles@9142 cda61777-01e9-0310-a592-d414129be87e
"
