"commit id","commit date","commit message"
"18bcdd42cbfe39469f0c2e45f2c79fd9ff77df76","2015-12-27 05:51:50-05:00","v0.3.4: i18n begins! Only changes to actors\hero right now
"
"2c0cd939f096cc93bd7bdf0367229c26f653f519","2015-12-27 22:08:03-05:00","v0.3.4: externalized strings belonging to blobs
"
"b079aad64027c093d32ad91d89ac0295751a537d","2015-12-28 04:08:25-05:00","v0.3.4: moved recharging into its own class
"
"801fd58e7cb7b793eed95362b53616438bf634c2","2015-12-28 13:19:44-05:00","v0.3.4: fixed some bugs with actor time
"
"77d16d5a93dceb5e2f7c424ec2971718ef1e26c3","2015-12-28 20:23:15-05:00","v0.3.4: externalized all buff strings
"
"39702bbb41878acf08776c6548c8fc30de8686d0","2015-12-28 22:40:30-05:00","v0.3.4: cleaned up externalization of hero related stuff, refactored buff messages on hero attach
"
"44cead224475fa23e5b97a40ab85fc6cd5f37e26","2015-12-28 23:24:55-05:00","v0.3.4: fixed TXT_YOU_NOW_HAVE
"
"c3b964a8ccb0747cf3a09deebc2e0a4064cf9694","2015-12-29 00:07:52-05:00","v0.3.4: added some safety checking and support for superclass strings
"
"2c76c77360095dddfab8a3b163fdc2791ec6a070","2015-12-29 20:09:44-05:00","v0.3.4: externalized all remaining actor strings
"
"4a9208bbf3ef168e043075ed9a9d2ad4d607b9f9","2015-12-29 22:11:39-05:00","v0.3.4: externalized level feature strings
"
"e7934c838f5142bf291afba891cb2bdf01d8f32f","2015-12-30 00:07:31-05:00","v0.3.4: corrected a few leftover mob names
"
"df293c01e88bf3b600f26f8c2a1977f58903d883","2015-12-30 04:41:18-05:00","v0.3.4: externalized painter and trap strings
"
"36cfd31fde96fc7f40b659a3f2e3b432d433f0eb","2015-12-30 16:22:00-05:00","v0.3.4: externalized all remaining level strings
"
"7860a777895c80a04601230315faea10daff5bd9","2015-12-30 16:37:11-05:00","v0.3.4: removed unnecessary utils call in wandmaker, added comments to messages
"
"2776614cd1d8be2bb82e4c704d1b1b6cce4db107","2015-12-30 18:42:04-05:00","v0.3.4: externalized all plant strings
"
"b538a00297e63ea435c18aeb31f46ff14324620f","2015-12-30 19:11:35-05:00","v0.3.4: externalized ui strings
"
"82e4a5b9d817ebc773565157985f393135760355","2015-12-30 22:57:19-05:00","v0.3.4 externalized badge strings
"
"c1d55bcd7715c89b946e936dcb2b346e8b731842","2015-12-30 23:30:13-05:00","v0.3.4 externalized challenge strings
"
"c16ae2ac0bf5e8fca9b812b491b698c03b03e81c","2015-12-31 00:13:13-05:00","v0.3.4 externalized journal strings
"
"d8b74a3a0ed25a7d3bc6735a105cdd4f00a214d1","2015-12-31 02:23:01-05:00","v0.3.4 externalized most scene strings
"
"46aa324eff2ff753f43e9b486a3247eaf1f1fa02","2015-12-31 02:34:03-05:00","v0.3.4 corrected a few scene strings
"
"0ca46e72cc47ec3a53679d12116001bf35b6f1e6","2015-12-31 14:52:11-05:00","v0.3.4: externalized window strings
"
"c1aca208b4246922e461b28f78d8dc1315e583d6","2015-12-31 23:49:49-05:00","v0.3.4: externalized almost all item names
"
"861fa344201193e9d76cc44558e1bb37a8cde5f9","2016-01-01 22:07:20-05:00","v0.3.4: externalized food strings
"
"f5254365a3272ca00466cb0e8757ed81e4e3f29a","2016-01-01 22:18:31-05:00","v0.3.4: externalized bag strings
"
"11e0dd89653b9d59862ae0f77202bf6809f08456","2016-01-01 22:18:52-05:00","v0.3.4: reverted unintentional heroclass change
"
