"commit id","commit date","commit message"
"f5c43a9ca599e011497225a44bbcfdf0af0bcd21","2013-01-14 21:24:05+01:00","Remove support library
"
"ae83f167840bf1f47e4ff0998ca59cde8586cf6d","2013-01-14 22:11:21+01:00","Add drawer menu
"
"9a2060bf944183934994866957b89c45ed5eff1b","2013-01-15 21:04:18+01:00","ADD group filter
"
"74f62da708fa987b0d48ca9f398cdc61c48ea4f5","2013-01-15 21:18:31+01:00","ADD filter reset
"
"570deaf723b0323c0c03a608591a3c89163269af","2013-01-16 02:59:35+01:00","ADD drawer showing conditions (and an icon)
"
"9dac391007a50fab87326b948221991d6f926bc3","2013-01-16 17:39:00+01:00","ADD multiple selection
"
"059e5cbed250db5bf08d98a472632b5e176651fc","2013-01-16 18:08:08+01:00","Remove click listeners when the drawer is open
"
"ee27aced1fdbf0269878823411a95845154ec2b5","2013-01-16 18:33:14+01:00","FIX touching area in main screen
"
"0091b3f7396e57db785cb129501faaf562e10a98","2013-01-16 22:13:07+01:00","Group autocompletion code
Doesn't work
"
"43586218cf3db04297d1dede76e32c8c4cf8c00f","2013-01-17 22:39:32+01:00","Change DeadlineAdapter implementation

BaseAdapter -> CursorAdapter
"
"ffc7e06e9eecdcce79b47136389840131428687e","2013-01-17 23:00:04+01:00","Got rid of deprecated date usages
"
"5902c1a209da5e10ab5d9a2126d73c516e8902ee","2013-01-17 23:45:40+01:00","If drawer is open back button closes it
"
"af09a43ff52b9d5e7bb799d65f284917f4270c1a","2013-01-17 23:48:08+01:00","Refactoring
"
"9f0a0a0b7aa141d93797fd13daddfbc307017b74","2013-01-18 17:27:37+01:00","Changed activation in group list
"
"dc8da68c0e2e22769e57bef6fa397e5adf870f2f","2013-01-18 17:28:02+01:00","Add string values
"
"1d00d541deddf14b2dc6128f9636a511bd242f4b","2013-01-31 23:02:04+01:00","Theming and get rid of color square pngs
"
"11f7730b983a6a368894e8f41b69406c0155cc5f","2013-02-03 02:06:29+01:00","Group filtering
"
"2ddccb64d74b6af8a963859f193bfb5ed7ab00f7","2013-02-03 02:26:28+01:00","Auto-completion on groups
"
"9d4d2f62fc5473041adb84bdbd09eecefa39fec6","2013-03-04 18:35:02+01:00","Add possibility to set a max width for the drawer

Allow a better handling of Listview width
"
"d09d5f5af28abff4919d6ae9c481c708c6059a25","2013-03-04 19:04:10+01:00","Fixed random FC on DB access
"
"e2cd4959617bab0e3eb069460d9ecb81b4b62b8b","2013-03-04 19:42:39+01:00","Update version number
"
"5232b41cac402bc6fa768d3a433ec9af18083e4b","2013-03-04 20:06:18+01:00","Screenshots
"
"376ab42e9429181c2232b652c0f52a37683194ab","2013-03-04 20:07:11+01:00","Rename
"
"280e7f02f4891833178ee0af83c0795275aeeb66","2013-03-05 01:33:25+01:00","Correct screenshots
"
"3237f376b5da9810ac59974ac28d301325dc42cc","2013-03-05 16:50:36+01:00","More readable app name
"
"9ceecdb2fc9f0bcefd17d8b37a87ce36174e543f","2013-03-05 19:17:36+01:00","Removed deprecated API calls
"
"3cf59c1f1e89d1c7f56bb1891e6400f277e4c6f9","2013-03-06 00:37:05+01:00","Update settings to manage persistent notification
"
"a4afe2b035a1445dd9f8c6ce6109643daf478538","2013-03-06 15:39:38+01:00","Removed settings keys from traduced files
"
"388bd5e0e3c13c1f31ceb7084174102d7e5ccce6","2013-03-06 17:12:53+01:00","Add version number in settings
"
"73fe27c640a6ee86773b359ffaaf99cb1dcf28c1","2013-03-06 17:33:55+01:00","Add default for version number in settings
"
"278462da6edcceb7468d2cb70133d24596375bfd","2013-03-07 19:18:11+01:00","Choose calendar view or spinners to select date
"
"9bff9bcc4aa8f65328b5b44689446bcc5426919a","2013-03-07 20:45:09+01:00","Persistent notification
"
"642d8532ccfef80a2c1825eebbdbf52d25d71269","2013-03-07 20:52:55+01:00","Fixed calendar view on new deadline
"
"3e98fa1e7895f29e7e6f25d9457d19cafe545509","2013-03-07 21:11:30+01:00","Update screenshots
"
