"commit id","commit date","commit message"
"91f037087e4aaf2add48a1fab649296f8479c240","2014-10-25 16:57:53+02:00","Move to Material
"
"8ff127303935b1100f7288e3e6b40056336c0001","2014-11-06 10:41:13+01:00","Clean old art
"
"b02a0a7707dcb6ed2baedb86abb42c4f17b07884","2014-11-06 11:46:45+01:00","Manual recover
"
"095aa0c21490c0b59e101208ef87a163462c6737","2014-11-06 12:07:56+01:00","Lint
"
"d66ed01c2ff5b6f3647ba28c1fee4ea82664de3b","2014-11-23 23:09:00+01:00","Prefix recover
"
"aca716f355ec649e1ba5b5e14de5866e956767bb","2015-01-04 00:29:34+01:00","Fix file recovery
"
"3ba118819667709750b5192fbb241d558a7bb0e7","2015-01-04 02:20:08+01:00","Theming
"
"a2254ed24373dc64bb0d915e5d0c250817f1dabd","2015-01-04 04:04:30+01:00","Fix travis maybe
"
"e886abc388319ee4858749dcb48d7c5568820ba1","2015-01-06 14:12:11+01:00","Linting
"
"c3ccb49e5ecec99a687b93d38fecf0bc95152d48","2015-01-07 10:17:27+01:00","UI tweaks
"
"e16f2b38a283dcf968c6e4145b35861fd93db29a","2015-01-07 17:13:17+01:00","Alignment
"
"56ef9df0370d3f822989b983cc217ebf5079f1f1","2015-01-08 19:11:23+01:00","Fix spinner view on lollipop
"
"662fe5560ff464a7a282ef36eb218de25e542b6a","2015-01-11 19:54:56+01:00","Add translation (RU + JA)
"
"2d913b4b5fd8fdda02780e8c205e145aabff9147","2015-01-11 20:01:08+01:00","Add missing translation
"
"206b5c8cf01479b7daacc8f35daf43583f42bc5b","2015-01-11 20:11:48+01:00","Lint
"
"191e13349ac6b30ca5d10f29102aa3d15a157bd6","2015-01-11 20:14:48+01:00","Merge devel
"
"e00c4cb1bbd12ffde33d3d761e65f3379c052b6c","2015-01-11 20:18:16+01:00","Bump version
"
