"commit id","commit date","commit message"
"3a4815df1c371ed7182d9f8ce68b1caf31042ef0","2013-09-15 20:48:35+00:00","Updated MYN description with new filters
"
"084ac7099570e817528570d985a47df346c5d0ea","2013-09-15 20:50:43+00:00","Updated Intents documentation with new filter options
"
"b5de00a7c2268c464c1137e9d7a5b3a7ad1e09d0","2013-09-15 20:52:26+00:00","Typos
"
"46d588084015b5aacb02501ec9621dc617be7400","2013-09-16 20:01:48+00:00","Start of recurrence in tasks
"
"45aabf5d4525972f6ba98bd1838aea317a853889","2013-09-16 20:31:17+00:00","Set due/threshold date from main screen
"
"d988ae9e9c4829b1f3c1d5e7cf8cd92c148ec9b1","2013-09-16 21:14:09+00:00","Show correct titles for date dialogs
"
"6e1176a9cdfda5f72e87acfca083ff18796d3507","2013-09-16 21:46:51+00:00","Allow setting due and threshold date from Add Task screen
"
"e71969cf8bfd2e3f1e86c895746fbe400da3cd82","2013-09-16 22:01:03+00:00","Removed unused methods
"
"ea244cbecca93c707ccecd848a86fcdd0a5631d5","2013-09-16 22:08:39+00:00","Updated ChangeLog
"
"b467de19b234b433583de6eb08b177d53f48eb53","2013-09-16 22:09:57+00:00","Fix ChangeLog URL
"
"6e65560abc5017ec7d8d7b1c4f68d00d0b2a8c98","2013-09-16 22:12:57+00:00","Prepare for release build
"
"dc57627808803a06b141e5260e6aa9874d7389f9","2013-09-16 22:15:00+00:00","Add recurring tasks and date menus
"
"37bcdc43d42384d437493902fa374307ee21c463","2013-09-17 08:07:59+00:00","Fix issue with set threshold date not working
"
"3f2eab713d99c095ee90da320f930f4ee965531a","2013-09-17 09:08:25+00:00","Redid Add Task screen
"
"78852408761d982de5e2ae4cc506b3e668ac4488","2013-09-17 09:11:54+00:00","Updated ChangeLog
"
