"commit id","commit date","commit message"
"247bce8fbf2232dbe4d081bb7c3fa2e68e3bee97","2016-02-09 18:49:30+01:00","Don't make the whole task list available in Lua yet if we are not using it.
"
"7f8927ef48ebefa711087474502262ce44b32582","2016-02-09 20:49:11+01:00","Merge branch 'master' of https://github.com/mpcjanssen/simpletask-android
"
"ca9140553240dc70d6f31cd4a73da02ebce3af24","2016-02-09 20:53:24+01:00","Changed donottranslate.xml to facilitate handling in Android Studio.
"
"5dfe8bfd6ad26fb259c3b63e85a02872d18e2108","2016-02-09 21:06:39+01:00","German translation updated.
"
"bdfb4d35ffb8393203e7df4fce02bfc23a57e2a3","2016-02-09 21:15:03+01:00","Merge pull request #364 from twckr/master

German translation updated.
"
"2426a3f35aaafc6adb87a2b46e47b345e3934515","2016-02-09 21:15:43+01:00","Updated changelog
"
"908325c4b8ff45615e9946dce00388ca26655764","2016-02-09 21:20:33+01:00","Merge pull request #363 from twckr/donottranslate

Donottranslate
"
"7e95e1714875723cb53b8a6d6ee156b263b59309","2016-02-12 10:54:38+01:00","Decouple Task class from Android and Date4J, for re-use in desktop app
"
"8cd1453b6eef3af3fe7c788a454bf734544f3799","2016-02-12 10:58:37+01:00","Fixed warnings
"
"d1368db2bf6cf69df123f1f956dea6a4b4d604c8","2016-02-13 11:01:35+01:00","Fix `txt only` setting for Dropbox file browser`
"
"3a99d4d19df756be02cc8fa2da0f666ef2389fd9","2016-02-16 20:31:44+01:00","Fix threshold and due dialog in Add Task. Fixes #367
"
"c04347c15c8f3f112df7df0b58f0f6b1206cd74d","2016-02-16 20:38:31+01:00","7.0.13
"
