"commit id","commit date","commit message"
"13fea92b57052b004cd16e5e5c3382037e50e7a1","2009-08-20 01:26:08+00:00","test
"
"52ec561828e7bac093f0cf32a376703b7e89f43e","2009-08-20 02:47:34+00:00","Added GPL3 licensing information
"
"8b3593743dc2119c4e77653964774420d2d37c89","2009-08-20 15:54:57+00:00","fixed some todos, won't exceed scrobble limit, tested on actual phone - and made changes to which broadcasts were received
"
"c62e8f35faad32346aecddd00f2542e1e11140cd","2009-08-20 17:17:54+00:00","added the ability for other apps to scrobble via aslfms
"
"a8d8c55a55b8e95426ee561cd5384cf572896157","2009-08-21 00:49:27+00:00","comments, sleeping retry, some unfortunate code bloating
"
"c7bd126e7f6bd9573dfd941e90e357424f462b61","2009-08-21 01:48:21+00:00","renamed AppTransaction -> InternalTrackTransmitter
"
"0512df5c25278de7903a5305c63fc96fbf5e3af5","2009-08-21 01:55:09+00:00","...
"
"9bfc76b46ebda83d8c073271b06901ecdb2d1601","2009-08-21 12:06:16+00:00","some renaming and copying
"
"ec81b338860216bdfc3d5c17140335fbdcebc3b6","2009-08-21 13:57:34+00:00","added documentation
"
"1a23f3ded650f0c126eea69a7cc52d1e0facc761","2009-08-22 00:19:44+00:00","very many things + status dialog + more checks + some refactoring
"
"ef0f26615e86c00554ae5e6c73b3dbbd924ecf35","2009-08-22 01:26:38+00:00","...
"
"c4ef154a6f5ee272c6c372167912f48b782f3f30","2009-08-23 16:32:36+00:00","check for incompatible apps (ScrobbleDroid only for now)
"
"f6a80f3a8f5e400bc90fa4f714a140e168b7377e","2009-08-23 16:43:32+00:00","removed test stuff
"
"af8029c7de999f44342cabb0e15db694596bae13","2009-08-23 16:50:08+00:00","removed needless debugging info
"
"6bf46f6684b8437f156e245f62c3113a0d81efe7","2009-08-24 14:02:49+00:00","got id-stuff + fixed not-quite-good-enough icon
"
"48f4fb8f25ed6a2ab13bf39473051cea0e5c2a26","2009-08-25 01:07:41+00:00","refactored the way different music players were handled, now it is quite beautiful
"
"fc9aa8c976509c6fc085df79809ce3002cc963ed","2009-08-25 11:16:50+00:00","hero support (untested)
"
"ee16937738d15c0db9d17c448010c88d9e8f6d2a","2009-08-25 13:24:23+00:00","release 1.0.1 beta
"
"0e191514c5017b2dc0c4eaff0663f78fbd9994c0","2009-08-27 10:19:06+00:00","release 1.0.1
"
"827c8589d84ca0f6ba13cfe9f8223b78d5d4d23d","2009-09-12 00:05:57+00:00","fixed a bug where sls would crash on sd-card unmount/remount
"
"8aa9502ca621369d5496538c5cb752908e7e4e8a","2009-09-14 01:55:12+00:00","the stuff for v1.1
"
"70e21ce05a0303bf325c57800ab6955d0edd3efc","2009-09-14 12:00:38+00:00","mostly added license comments
"
