"commit id","commit date","commit message"
"703833f413e6a0a0222e617515416e382827de78","2016-03-12 20:26:27+01:00","merged with master
"
"81a5f9ce54abdb705378f316718cd4b973ddb8cd","2016-03-13 11:30:25+01:00","added spec
"
"ebc7cfd7165827d67542bb68975ba8bdc561ac58","2016-03-13 11:37:54+01:00","Update spec.md
"
"ab07219e76e3c9dfbe94118de15cbec7ac963065","2016-03-13 11:40:51+01:00","Update spec.md
"
"5f733697c7e65d0a065b056b5f94773a97437219","2016-03-13 18:57:16+01:00","NDK_DIR
"
"dc1d1f172d20694921ec7806ea4d59089d0bed37","2016-03-14 19:17:31+01:00","OS and arch detection
"
"4cd13e0452f5dce6364c6eac591da8f34963978a","2016-03-14 20:09:41+01:00","show client OS
"
"a9a9443563b1c0abe5a24b476fcf80c8aa299361","2016-03-16 00:12:39+01:00","change stream in menu
"
"1f177e5119c351002d21fb38bb7fa4efd9f72e22","2016-03-21 22:57:22+01:00","fixed loading of client config
"
"0eaa616ab6c7964e8d90165d1823c3b5c196af0c","2016-03-22 23:14:19+01:00","renamed Reader => Stream
"
"0ed7ba89ca9b590f74948a6c95c06aa47e29484a","2016-03-22 23:14:55+01:00","removed 'connected: ' in ActionBar
"
"2872527e0b65b16a0c64487a5dc3d0a75c637550","2016-03-22 23:36:57+01:00","LogPriority to string
"
"750df780906b2c98f829a079dde3384be4fcb9c9","2016-03-22 23:37:19+01:00","adjusted log tags
"
"54f0ad5a51d000a469f1aa71249b028a14fbdf73","2016-03-23 19:37:04+01:00","Added defines for OGG, AVAHI, ALSA, OPENSL, DAEMON
"
"7e3fac353d22d068e1bfa8a241d5ff1921ecf938","2016-03-24 19:14:54+01:00","updated version number to 0.5.0
"
"3ffbc8ec69a8fa43070f3fdac6c18ab33352af9f","2016-03-24 19:25:58+01:00","changed color from Indigo to Blue Grey
"
"905c671a839a70041142389e7f8acb2d84590509","2016-03-24 19:26:27+01:00","updated binary
"
