"commit id","commit date","commit message"
"8b01e1d2347b9a166a9868b37522346850c73c17","2013-11-22 02:37:59+01:00","add search feature
"
"51fdcd3efb5797e3ac04436b43a6243854978a20","2013-11-22 23:42:26+01:00","also search into the mobilized html
"
"06be78e59dbcbfc91f4a3031f8854f9ce8275734","2013-11-23 00:04:11+01:00","more Holo colors for button
"
"b97469a35c971953ee716031f50e2bf6ec51dd22","2013-11-24 01:12:14+01:00","improve Holo colors for button
"
"6467014ebfa0756dd7cf15f17f2089ce49b96527","2013-11-24 02:47:37+01:00","improve search UI
"
"8a2d6ebdd1e182115dcb628c370d9ecb996749a5","2013-11-24 03:00:10+01:00","better search Uri protection + code simplification
"
"00dbffa52f3b90151b594a0ebdda7bf2777b78ac","2013-11-24 03:17:22+01:00","better sql injection protection
"
"0d74bd5fe5d280e7834e2cc3add0667c4b42b7e1","2013-11-24 16:20:17+01:00","better class names
"
"ad1500cc15181af2a900dd9367fafd99df7c782b","2013-11-26 01:10:16+01:00","display a message before quitting
"
"4cc9461b822d0be10a23ecee2bb9a9fee0469338","2013-11-26 01:17:20+01:00","v1.4.0
"
