"commit id","commit date","commit message"
"575fbb0f94514d54cfd3d529ec3b34e7cda198ea","2011-05-30 21:32:17+01:00","initial commit
"
"400ae5c76292dc5fd976bbe26d23ef1f3824ff22","2011-05-30 21:51:06+01:00","install on SD by default
"
"a4988750cd2da3ca900bd664ca7c28c655210e9a","2011-05-30 21:51:12+01:00","readme
"
"9e4b688ec803c88b616f2a0083251ba946d3c595","2011-05-30 21:55:57+01:00","add android.permission.CAMERA for access to flashlight
"
"80339fff7bbe1a018be42e5c441afcaad474e18c","2011-05-30 21:57:08+01:00","more detail
"
"0d53e714434cdf24cc687199fa564d306a980830","2011-05-30 22:57:36+01:00","layout of interface
"
"b9b62d7de0ec872d2633a9922c591660635c8b89","2011-05-30 23:58:23+01:00","allow debugging
"
"a10e674fdd35d36cf6e02c4581ec01272a6f6c28","2011-05-30 23:58:37+01:00","turn on flashlight
"
"7d2d9b1ad8c77d38d4264c0b54c2a02e4f09c0dc","2011-05-31 00:54:00+01:00","set sdk version
"
"e527764bbdf1ec18ac69953e34e220e30af679be","2011-05-31 00:54:13+01:00","strings
"
"7ce20c9aa2eb880aa0ee0260204e73a1cb3afa64","2011-05-31 01:30:26+01:00","thread stuff
"
"70b022dce4faee8693be79dce97ed2305de48393","2011-05-31 01:50:08+01:00","dual config
"
"66c739569f2bc56e9831ecc7efdec3556432700d","2011-05-31 01:50:19+01:00","move out of main class
"
"16c890f41357b614bef1a17cffd3e7f64438c44c","2011-05-31 01:50:49+01:00","move out of main class
"
"b3c5908925dbb3a14051bfc54d87cdab5f320e5c","2011-05-31 01:54:24+01:00","working strobe!
"
"5187120937afdbdcdedf7c1cb92a62882f327561","2011-05-31 02:47:03+01:00","tweaks
"
"b9c2fe254e363d9b1a8b117d38e7be22b7b4e036","2011-05-31 23:26:02+01:00","ignore error files
"
"31a160b3b62f06e9edc14c068ffc06402a191085","2011-05-31 23:26:31+01:00","stop it crashing on reorient
"
"e8e10a76c988ac3ca46a9550d0878189f397fd4c","2011-05-31 23:27:12+01:00","lock screen orientation to landscape to hide the stopping on reorient bug
"
"d79b0660e1dc8a69d3160e3c4a7a8473209986d5","2011-05-31 23:27:48+01:00","remove unneeded toasts
"
"bb03a8f93caf33ecbb9aa3e2973171a1fabbfb1a","2011-06-02 00:41:50+01:00","set enabled and not test-only
"
"885e309a65e7a34229fd8838df99fc1ee164de9f","2011-06-02 00:42:04+01:00","README to match market description
"
"5bf8b4f52161c7312fe1ec16ce74aa2a5c6f7437","2011-06-02 01:01:02+01:00","update stuff for deployment
"
"d0d843741d385eb08fc49b666739e242324ba27f","2011-06-02 01:02:43+01:00","debuggable=false
"
