"commit id","commit date","commit message"
"726f62061d551009f55371503b423181b2970f7c","2014-06-08 23:24:50+02:00","Part of fix for #18 on Gingerbread - call Looper.prepare() to set up the thread.
"
"a3965c6b832c1d3efabadda659bacf1ce6b1cf52","2014-06-08 23:28:15+02:00","Fix for #18 - correctly pass the HOME environment variable in to the syncthing process.
"
"665a081500f946291e1a4cdf05e8031d46c1fdf6","2014-06-09 00:46:50+02:00","Merge branch 'gingerbread_home_threading_fixes' of git://github.com/chr15m/syncthing-android
"
"de898048b743b9936fc66d97db615720107df484","2014-06-03 17:47:14+02:00","Fix crash on start after improper shutdown (fixes #16).

Conflicts:
src/main/java/com/nutomic/syncthingandroid/syncthing/PostTask.java
src/main/java/com/nutomic/syncthingandroid/syncthing/RestApi.java
"
"c20c4345bc6d1bc5b33da15877f22d46f1fef6dd","2014-06-09 23:49:39+02:00","Add missing change from previous commit.
"
"db3dbebe96604b87b5e5e3b1f0cd72993fe32b50","2014-06-09 23:49:58+02:00","Update build tools.
"
"99a26b29f87806f8fdb38f018fd66a91ec12b4be","2014-06-13 20:53:15+02:00","Set syncthing environment (ref calmh/syncthing@3c6738da73f64341a1e6df6d768ca136cac951e3).
"
"a1531ddf42bc8ed623d0f190619d5bf970749d26","2014-05-30 15:16:38+02:00","Add syncthing preferences to app settings.
"
"1d35adaef8806dd861b48d829d8f934432d2eeec","2014-05-30 19:24:40+02:00","Added 'restart' notification.
"
"7e62db4ea5878ee74e27a1aa5d45c582b10dbcac","2014-05-30 20:07:31+02:00","Cancel restart notification on shutdown, minor refactoring.
"
"8fa22214ed56483ea8ffe9eb98fcdf39be519c5f","2014-05-31 18:44:32+02:00","Moved SettingsActivity and WebGuiActivity to gui folder.
"
"4ea8610ea2ab7bbbc84080e0cb075927082fc4fe","2014-06-03 10:54:48+02:00","Preferences code cleanup.
"
"1c58ad93f5f51f7428d7f6003b8c720ddeec692b","2014-06-03 17:42:17+02:00","Added native main activity with tabs for repos and nodes.
"
"fa88ed3e921342e34e3b7ef684ab09bf256c5604","2014-06-03 17:47:14+02:00","Fix crash on start after improper shutdown (fixes #16).
"
"224de2b0e2c4e328ae2d68b8a768457a3faae9d0","2014-06-03 17:50:53+02:00","Change app theme for consistency with web ui.
"
"1aa55d4c8165a9d03b4106cb0732f7310db0abe2","2014-06-05 01:41:46+02:00","Disable HTTPS setting in native GUI (ref #19).
"
"f05f286e8a272d5f6473de4b48e7bf2481284655","2014-06-08 01:56:36+02:00","Added local node info fragment in navigation drawer.
"
"47b27dbbaf03663273872b6f26a1f35b30a3f1ff","2014-06-08 02:13:43+02:00","Change 'Waiting for GUI' to 'Waiting for API' in repo/node lists.
"
"ddb6b6ff81c0ce3a245496b6fab767f11d68d634","2014-06-08 03:20:06+02:00","Fix app icon to open info drawer, code cleanup.
"
"955be8c29218a3e549671990040d90196c57ebb4","2014-06-09 19:49:54+02:00","Added more info to repo/node list items.
"
"b3e5dccf83ad99c50708d887e96b215131c6b4df","2014-06-14 02:55:55+02:00","Added node and repo settings activities.
"
"7196d19ad3b1e40846e44c19945b2820b93cc004","2014-06-14 02:59:41+02:00","Removed unused graphics.
"
"1bf7610e0ba53b09e252dc09c329162720a7385c","2014-06-14 03:01:09+02:00","Adjust input type for GUI password.
"
"bf3204ff4b018b4db85ccf1f489e28f81b11a425","2014-06-14 03:03:10+02:00","Moved classes into util package.
"
"9b6719a1b4df3476642bdcd815261ae6d1f6160f","2014-06-14 03:04:43+02:00","Bumped version to 0.4.0-preview.
"
