"commit id","commit date","commit message"
"383898a481e2137c8ab9407d9f564640ce484c42","2015-03-21 21:07:45+01:00","Merge pull request #255 from syncthing/license-mplv2

Change license to MPLv2.
"
"6f4741daeee731a5cad7ecec0b039f93b0cffeb9","2015-03-21 21:21:21+01:00","Fixed syncthing API calls being sent after shutdown (fixes #258).
"
"2bac0d9504957d41eb5acd7eb9ff8b63be08833e","2015-03-21 21:42:33+01:00","Add FolderObservers in background thread (fixes #262).
"
"1703194b0283b29a9363439f8b35f36901dfd31e","2015-03-21 21:48:24+01:00","Check if timer is null.
"
"bd7346191f3790958a7baa58130380eca940d13d","2015-03-21 22:10:48+01:00","Also check for 401 status code in case GUI password is set (fixes #261).

This seems to break the web GUI, which apparently does not support
authentification.
"
"092c0f4cc93f37a73c56211580854552a0d43b17","2015-03-21 22:23:09+01:00","Set notification as ongoing.
"
"b780fb57f0f8c6771b24100483d1a4a13fa07daa","2015-03-22 00:53:26+01:00","Removed API key generation as syncthing does this automatically now.
"
"d5bbaafdb4deaf8a6e32b015732d063e6fa9e41b","2015-03-22 00:55:25+01:00","Don't need to replace `/sdcard/` with proper path any more.

FolderPickerActivity always uses the correct path.
"
"db0da97cc49515f600425e622e6143912d1d0484","2015-03-22 11:14:17+01:00","Update summary on compression setting.
"
"bab2243424d9b24a9807bb6a422e7128c992bf5f","2015-03-22 14:21:48+01:00","Disable ST upgrade in runnable (fixes #276).
"
"4233a1563557666a80236478de5d1f0510f42d12","2015-03-22 20:09:00+01:00","Merge branch 'Zillode-disable-auto-upgrade'
"
"c885445b51111b17085e7e095185b651717bd67b","2015-03-22 21:06:26+01:00","Do not modify gui if it is destroyed
"
"fa39e17d51a8cf3222f45093f5a203f3c423d81e","2015-03-21 22:54:26+01:00","Make sure the mDevice reference is valid (fixes #268 and #267).
"
"02043095a6bb308a64774463434e925f5fdd893f","2015-03-21 22:55:19+01:00","Make sure the mFolder reference is valid (fixes #271).
"
"cf8ed624858f179009a7263ff5179a4e091a4096","2015-03-22 22:36:27+01:00","Minor fix for DevicesAdapterTest
"
"a3d93a69ca11c6fe634845bf1a91e8389097b89b","2015-03-22 22:50:32+01:00","Merge pull request #284 from Zillode/fix-invalid-token

Maintain&check reference to GUI before changing it
"
"fb2b6a21c4190a0ec702aa1f6424a3c6547284e5","2015-03-22 23:22:35+01:00","Merge branch 'Zillode-fix-npe-device-edit'
"
"590f7db10dd61633d691fac82ef347e8612f86a9","2015-03-23 00:03:29+01:00","Imported translations.
"
"1665c04e378f73ef609bdcfa846c5d10be0b7182","2015-03-23 00:03:44+01:00","Bumped version to 0.5.25.
"
