"commit id","commit date","commit message"
"b69510e97210c2f34846f7f4e10b64767b01316b","2015-09-24 17:27:43+02:00","Initial commit
"
"a2828c7dd5080db492c2f48290eddeaa72ce1ca6","2015-09-24 17:29:32+02:00","Fix license
"
"9e5622c92e043736522480945b528e2b582ed7cb","2015-09-25 12:39:41+02:00","Delete boilerplate resources
"
"393caaa5494a7a024301767e4da79b93bb91a929","2015-09-25 12:44:11+02:00","Add library class
"
"207aca60b2becb43148e1e32f764a848d119171c","2015-09-25 19:33:02+02:00","Make entities' fields public
"
"9302ecfb92a78620c92e8fbd5da6c885cb190dd9","2015-09-25 19:43:23+02:00","Display dummy data
"
"8b6bdfdfdc58435c4347d08ba30ba0cc66055129","2015-09-26 14:25:18+02:00","Get data from database
"
"e567bc753f78ebb872702fa8b4f0f1eaf78838ff","2015-09-26 18:58:01+02:00","Update library when changes to the DB are made and open manga detail activity
"
"a316298793aa028435ea05e47fc7abf0e00818f9","2015-09-27 21:44:04+02:00","Compile with Java 8 support for using Retrolambda
"
"43439720db631d99d5bebbde0045fd4714d21958","2015-09-28 02:35:54+02:00","Use EasyAdapter
"
"d3b6b8721edf64f84a09e7e8c7b8513a85363287","2015-09-28 12:42:16+02:00","Set toolbar in BaseActivity. Show title in MangaDetailActivity
"
"d47e4696654a2a6d9de61c8dfd7114ce6cde5474","2015-09-28 15:02:46+02:00","Show chapter list
"
"59fa396eeb66897b5347ce56d37d6908e6156c5e","2015-09-29 00:09:30+02:00","Insert two dummy mangas
"
"790ccdaba69ea4b0a670994a84393f7f71a87776","2015-09-29 14:40:36+02:00","Download button
"
"289e53a7f5da94d7a4bee42ed2dd9c0a4fd95fc7","2015-09-30 19:03:11+02:00","Search for library (not working)
"
"e175a75031ffe027a79345dfabd67619add5167a","2015-09-30 19:35:27+02:00","Search working
"
"710638e2ebcc3c6420fcc762b564b6141c0bdaff","2015-09-30 21:07:45+02:00","Use Observable to filter library
"
"334922786815e5a64d843066a7b8c99f69104722","2015-09-30 21:11:16+02:00","Observing filter changes shouldn't be needed
"
"d7bb4a6a2a7e2b5b1d0a3eac3e42f3c2c8346c10","2015-09-30 22:51:36+02:00","Create adapter in presenter
"
"db49c3ee88a661abc1721877d5dbec9996365979","2015-10-01 00:11:19+02:00","Create adapter in presenter
"
"4e795b69e5e563d1d78be6f7b90e50ef9c94bf65","2015-10-01 14:30:08+02:00","Add an option to get unread chapters of mangas
"
"e386257d34507dce4c32c268b9d2cc8b378349d0","2015-10-01 14:51:07+02:00","Unsubscribe subscriptions
"
"90b09489686badc942f66ea852beb3ca5381a000","2015-10-01 16:52:08+02:00","Add composite subscriptions
"
"ff26c388609acfddc95e3cc9ffc22d19d1183361","2015-10-01 23:44:17+02:00","Use support fragments
"
"7fe40525f21482707c4650a98547212c842f0d78","2015-10-02 13:20:15+02:00","Add proguard rules. Show unread count. Use compact font
"
"a6c59bbc10164412f76be5c509c03e9aa6b20e7d","2015-10-02 18:27:25+02:00","Item selection
"
"53f86c4f4bfa1ef69634389e620e9ad0abf310ee","2015-10-03 00:14:40+02:00","Delete mangas
"
