"commit id","commit date","commit message"
"57f291f809f83d20992af8e8587cad361f9e98b9","2012-05-17 17:14:15-07:00","Move Producteev into astrid labs
"
"38e63348484d8e62d083046d88766d31f4290de9","2012-05-17 17:31:30-07:00","Producteev should always be visible when logged in, even if third party addons are off
"
"9cef9604e3f31527ebb81cf3e6972c56c2175f83","2012-05-18 14:10:50-07:00","Resolve merge conflicts
"
"aaaab09569d50eea4b51860cfe70b109dff615ea","2012-05-18 15:41:48-07:00","Introduced FileMetadata, started on control set
"
"7e8438ac74c31610b5ee5ac174ac54c6c812803f","2012-05-18 16:30:55-07:00","Prototype of audio playback from TEA
"
"3956b340d3336f4039ba15c244312bfa3d3ec36b","2012-05-18 16:45:42-07:00","Fixed some producteev in labs bugs
"
"33c318befc20076d4bffb23d1c4ae5a9cd0dbf99","2012-05-18 17:44:29-07:00","Use metadata objects for files control set
"
"28c8fe0645dd492b4b042076e0f7e0850caf8693","2012-05-18 19:07:24-07:00","Simple delete file button in files control set
"
"28ff49c591a697312ab3c5a7fcf0132eac3c1404","2012-05-21 14:08:27-07:00","Introduce a speech processing progress dialog for long process times
"
"998d990ecb1ddf293dc42101b803d6aa87614432","2012-05-21 15:10:35-07:00","Improvements to file list control set
"
"4581501063477900ad6ddf406172d52ddd4da68c","2012-05-21 18:30:58-07:00","Update analytics api, report acqusition
"
"4e8501792157b9092f884042041cbd3051d47e7e","2012-05-22 11:35:13-07:00","Hopefully fixed the leaked service connection problems, added some error handling
"
"7ef01bbef33bac1836d9bd310ea08bea778ce84f","2012-05-22 12:49:14-07:00","Keep legacy compatibility with old speech recognizer
"
"12c38d2b12099db6385559137d22e2a8c73c87a2","2012-05-22 14:18:21-07:00","Fixed issues with voice result handling on older phones
"
"810f70f5a6f00cd3235edc9b273d7b06102cdf70","2012-05-22 14:58:33-07:00","New icons and menu items as placeholders for premium features
"
"4a043862b7f1d5cfc54225b1383f8f4cf1fc038f","2012-05-22 15:27:43-07:00","Read user_status from api on sync
"
"82b24dd9776967d6b5a9def4c300c06017fa7b10","2012-05-22 15:29:21-07:00","Merge remote-tracking branch 'origin/120511_sb_premium_voice' into 120511_sb_premium_voice
"
"e542b985b349fc20a67d706da64d67e2ffb7e5fc","2012-05-22 18:56:42-07:00","Infrastructure for general recording, but getting buffer overflows
"
"5a0f3d3f1a3f33f60ea62444409f78984ed3c0e3","2012-05-23 12:05:37-07:00","Recording progress
"
"2d968f9583688faf52cbefe76c7451f10bdbb030","2012-05-23 15:00:20-07:00","Successful recording, wooooot
"
"dcc228c4c2a1977c940f2b4d42008da41401515c","2012-05-23 15:11:33-07:00","Fixed bugs with FilesControlSet displays
"
"263649b50835e48438f69e87f68db1689730a3a7","2012-05-23 15:58:34-07:00","Lots of polish to the files control set
"
"35dceb84b38757fb52ddda19402a24623d035058","2012-05-23 16:56:55-07:00","Removed unused field
"
"565894f6614a83381f3fc3979c7e1d52c02ca87b","2012-05-23 17:14:06-07:00","Localize some strings, clean up the code
"
"cdbc96b268f1fa43a8fa8dad506f10b4c88b2ab4","2012-05-23 17:20:02-07:00","Start with larger bytearrayoutputstream, fixed a string
"
"3f97682595beb365eaaf2fe2609a1e721194a79e","2012-05-23 17:50:03-07:00","Localized another string
"
"a45ffb0c79f9723b5b94f53f262eeb0612ab4ad7","2012-05-24 12:27:08-07:00","Added a file browser to select and attach files from the sdcard. Minor code cleanup and polish
"
"a1f7c3603c876c80651eaf6f4098f8cb230898ab","2012-05-24 13:19:49-07:00","Copy files when attaching, code cleanup
"
"1742a7532f537265ac39eed0caca96ce46666d80","2012-05-24 13:27:25-07:00","Start differentiating bewteen picture attachments and sdcard attachments
"
"64cdf022453115b5379a8678b5f8c0662e1c0845","2012-05-24 15:02:40-07:00","Theme the main edit text fields (comments, add task, etc)
"
"e882217ebe39e497137254913e739e7ed2553c2c","2012-05-24 15:33:06-07:00","Centered and aligned all the various quickadd-like bars
"
"5289946e62c6cee17df1dfc14bcac1b664133827","2012-05-24 15:35:14-07:00","Fixed a layout issue with the empty view in list comments
"
"af8cb9b87c0b90536cc71fc3c4863f542e16f0ad","2012-05-24 15:40:09-07:00","Resized the task edit complete box to match those in the task list
"
"89f97434cdc6e1a6e950c61c87b284f4df1b8b5a","2012-05-24 15:50:00-07:00","Color polish
"
"d3fc0b7d5c2eaaf3336544964dd1188fdad2c564","2012-05-24 15:59:08-07:00","Fixed theme issues with 'What's new' dialog text color
"
"0da65a08f78483c99297c982f8099f2aba244c38","2012-05-24 16:12:15-07:00","Fixed gravity issue in notes preview
"
"539822e3e41f72f37a77d771e0d5389a4b57122e","2012-05-24 17:30:02-07:00","Introduced quick action for viewing notes
"
"a2455d3513eec68aae336e5225f27b7a4f1597ed","2012-05-25 10:46:38-07:00","Fixed a typo in acquisition reporting
"
"9ad04c4fbc60665fb848a8b8eb2bdb1b1fd35046","2012-05-25 11:54:54-07:00","Attach image files
"
"0448778d64805280fec260a0bc92f7e957cda717","2012-05-25 13:31:20-07:00","Scale bitmaps to prevent out of memory errors
"
"81be7a185c95e15d2e7df0826dba4f45c87bf33b","2012-05-25 13:41:31-07:00","Better filename display construction
"
"fd2500097266344f3187f0e4486755c3bb0a3fc2","2012-05-25 15:18:57-07:00","Prepare things for file syncing
"
"d3ec65837bcf0f6077e6864e2502cab671f042df","2012-05-25 15:57:24-07:00","Sync file metadata when processing task list (doesn't fetch the actual files yet)
"
"50d249dd53c5d5ad16ea146bb1e1ec14c5776548","2012-05-25 16:38:11-07:00","First draft at downloading files on demand (untested)
"
"46a4fb57cfc7485299d934031f81b72190f53363","2012-05-30 13:48:10-07:00","Download file attachments on demand
"
"8822ffedf7a062f295b114e38184d661ab7eb810","2012-05-30 14:17:29-07:00","Check premium status for enabled state of premium features
"
"5546f97a83c38fd59c78d980ac1abe9b319e3d5d","2012-05-30 15:37:14-07:00","Pushing files to the server successfully
"
"f09aa09b0e1a94682f9dc111967633bd4f7c6757","2012-05-30 16:06:08-07:00","Fixed a sad tag syncing bug
"
"d31bf681c523ece9404ea5179db0f6681ec49283","2012-05-30 16:22:44-07:00","Merge remote-tracking branch 'origin/120511_sb_premium_voice' into 120511_sb_premium_voice
"
"5902ac31443af2c2ec22fa378674b379108a9b0f","2012-05-30 17:15:27-07:00","Push attachments for tag only during tag sync
"
"a575f411843d6b107abcc137c289c63a692b13f1","2012-05-30 17:54:06-07:00","Better handling of mime types
"
"4eb57e2b6fdce95e33b265fde919e760d363050a","2012-05-30 18:40:50-07:00","Copy update
"
"6f733f7e5b4e9f85219571057686177b5a5facac","2012-05-30 18:53:31-07:00","Don't pop up the in-app reminders when editing a task
"
"688c608e545751ff87d422415a5ba7e34abf1591","2012-05-31 11:52:15-07:00","Show friends view if friends exist, hide it if not
"
"b50ee9ff5728b36163eca4c92fce4c651d0d7f90","2012-05-17 23:28:38-07:00","Export .pot files
"
"7920ea4bf26884c0c80b2ec9e7f9d7b16d739ce6","2012-05-31 14:49:20-07:00","Better handling of file attachments names, ui polish, code cleanup
"
"500660f05df9f955298e8485f47d6cd582edc4f3","2012-05-31 14:50:10-07:00","Merge pull request #183 from sbosley/120511_sb_premium_voice

Premium!
"
"687534536116ab77d6edd25fbc488276788c0c41","2012-05-31 15:08:04-07:00","Updated a bunch of stuff in the android aac project to fix build issues
"
"1b5bca557ffe90fab098ad97cdc587723dc3a163","2012-05-31 15:16:31-07:00","Get rid of local.properties
"
"f0049ad3e977fe94c77945f551813e56299ce6d7","2012-05-31 15:57:19-07:00","Always show files control set
"
"b88e4f9cadcb6bcc2979f529cca3246406a2da65","2012-05-31 16:15:21-07:00","When using values for new tasks in filters, merge without replacement.
"
"a10a3c66203b43d192bdf10f98c8b820e8f5cf78","2012-05-31 17:15:40-07:00","Adjust when title parsing happens so that date insertion happens according to precedence rules. Also lots of code cleanup
"
"65fd2492b94274d540dd3142081b79dff45f2176","2012-05-31 18:25:11-07:00","Minor fixes to file display
"
"0f9d4dc225a0f101b52e55ff1921cc89f1ac1917","2012-05-31 18:39:51-07:00","Better recovery attempts when encountering unknown filetypes
"
"8a2d74d5054e63ddf98dc6df85576788dca78ab3","2012-05-31 18:57:45-07:00","Fixed a bunch more naming issues
"
"153c20ea468c4410a445725c8da4b2b74e740661","2012-05-31 19:06:54-07:00","Was accidentally getting first name for first and last name. Don't do that.
"
"fe9639df30cf6788d9dd3eeec071280baa47b0ff","2012-05-31 19:15:25-07:00","Unused println
"
"70539e6e85a805362a12a216e38aa66aec72007c","2012-06-01 11:13:05-07:00","Fixed occasional out of memory crash when taking pictures for attachments
"
"767d8283fbd5c310dce9e28c77ac8056e861b338","2012-06-01 11:27:12-07:00","Don't let non-premium users delete files
"
"d10cd3725698f3a6781873d34badcd620c8b6111","2012-06-01 11:35:02-07:00","Show files immediately after download finishes
"
"099e78ae5bf1efbaf1b0e7d749080dcf5ec69386","2012-06-01 11:50:16-07:00","Fixed a crash related to rotation when recording audio
"
"5e6209fee94a2acf37f01b616dff8dcf6a9622de","2012-06-01 12:01:26-07:00","Fixed layout issues for aac recording dialog
"
"8bb5f2d4053f9fa6cee14a52b04ef6637049efe4","2012-06-01 12:45:38-07:00","File attachments quick action
"
"005271be067629d20d1a3dde8f5f56cc408c8670","2012-06-01 14:37:20-07:00","Sync deletion of files to the server
"
"f953d5b319ce33b27f2d74cea6f0c11e12733053","2012-06-01 15:06:54-07:00","Push file attach/delete on save
"
"75ebb8d81771bdb4a0a9ae2c19d4147f8c4915a5","2012-06-01 16:13:02-07:00","Fixed a crash and a minor bug in handling undownloaded files
"
"bd71eb16d2d930b83f0c76a884f55483a0c51328","2012-06-01 16:51:49-07:00","Polish the recording audio dialog a little
"
"1150f21f2be19861510c59d6d999d3431b966389","2012-05-18 12:49:19-07:00","Skeleton for reengagement notifications
"
"cfcbc468c832e885a1b918bc9c57127129d2dbe9","2012-05-18 13:49:58-07:00","More skeleton stuff for reengagement, deferring for design
"
"27c3d3cd4af1ba7e6b5f69edd89834392c35a354","2012-06-01 18:55:42-07:00","Reengagement notifications are working in full
"
"40a26ab405f9f6467738c9e0536fec8355321568","2012-06-04 12:02:40-07:00","Updated some strings, A/B test presence of notifications
"
"b66377901ac97c628b3e9bcd2e41dbcc02e614b7","2012-06-04 12:55:33-07:00","Copy updates, more reengagement strings
"
"8e2302310cfc80469592e4474f4a8d6a06807386","2012-06-04 14:35:04-07:00","Merge pull request #184 from sbosley/120518_sb_user_reengagement

120518 sb user reengagement
"
"58c565cfd1080af68f82010997c30655f2644a71","2012-06-04 14:41:33-07:00","Search the market for applications to handle various filetypes if they can't be handled natively
"
"7d4072f544712181ff0465575afc79e58296f172","2012-06-04 16:01:34-07:00","Handle the major MS Ofice filetypes
"
"6b177109fb44a62190b5c563cff006e3ebb66458","2012-06-04 16:59:24-07:00","Fixed a bunch of layout issues with the reminder dialogs
"
"31c21d51178e2c5af73de97390698bfc7ffc238e","2012-06-04 17:28:53-07:00","Fix crash when activity is null in update adapter
"
"2645d542adceea936800c6f52c52f53dea9ed7fa","2012-06-04 17:40:01-07:00","Fixed a crash when dismissing popup windows
"
"b99454d07d558f310eefd306da13620dfa711f91","2012-06-04 19:09:35-07:00","Special logic to try and guess mime types from things normally marked as octet streams
"
"dc900784bbc0444cdac4f1884cee3216c859ed1e","2012-06-04 20:23:25-07:00","Fixed some crashes caused by dialog dismissals in the FB library
"
"ad05aafb3a0dae8b27f4c415876a3af6f19b5578","2012-06-04 20:36:20-07:00","Call it People instead of Friends
"
"f5ffba49ce82d660f4346fe8f027833134a96d10","2012-06-04 21:10:12-07:00","Fixed a bug with task actions showing files link
"
"b47050fe8235b055fa724bb4808249719f13cdca","2012-06-05 11:31:42-07:00","Nook market strategy
"
"4f062d39f1ce0407064f7ba8a00ca7bc8aa279b4","2012-06-05 14:34:27-07:00","Forgot to update build file
"
"ffb332d49d0f8426c1ecbb7978cf06ab58fb357d","2012-06-05 15:31:57-07:00","Only show files control set for premium users or if the task has attachments
"
"2b49cab54938786794743abe1a09f134d869b728","2012-06-05 16:12:30-07:00","Version bump and upgrade message
"
"8310e52050744800553c79ddc78ba116635a7d5e","2012-06-05 17:29:44-07:00","Show user name when logged in to astrid.com
"
"e22b8c4fcab20beb63fb5f926f8388052fc5e087","2012-06-05 17:52:38-07:00","Updated tag header layout
"
"c4c6fbd1d77578137a94d2ce63b2a6d670459c24","2012-06-05 18:00:33-07:00","Fixed typo
"
"38f8ad4c4312cd837aee5a0fdf34d7cd45eb99db","2012-06-05 18:11:19-07:00","Reload more container when repopulating task edit fragment
"
"e4920c315616986da9c2b6345b25879e64348207","2012-06-05 18:20:06-07:00","AB test the presence of the ideas tab
"
"f470f1924edc5af46ca874b29573bc5b8f3a7cbf","2012-06-05 19:12:51-07:00","Tweaked a layout
"
