"commit id","commit date","commit message"
"cb0411670a86c1ce2483ea50d6c7d838932f75ae","2015-04-22 10:50:20-05:00","Update translations

* French - poinclin
* Russian - markant139, uryevich
* Slovak
"
"fd44d3719f518a359ff1c8a97bdfeb389acb647c","2015-04-22 11:01:09-05:00","Update support libraries to 22.1.0
"
"c9c6d52bee26c75e6f1c3600548dd816461ae89d","2015-04-22 11:15:56-05:00","Replace ActionBarActivity with AppCompatActivity
"
"de4524371009c5a1b4c5c4185eb7113aee8f30e1","2015-04-22 11:30:58-05:00","AppCompat AlertDialog
"
"bc91832cc0f5d0d76a1345343b8303eede48b5d1","2015-04-22 11:42:35-05:00","Move 'Help & Feedback' into settings menu
"
"3b1c5e4453369c7724c3e96bcae9e4464b95fae8","2015-04-23 13:29:08-05:00","Remove app name and widget name translations

Closes #259
"
"5183e723631817a5fdd57a2676b97e113eb56f5a","2015-04-28 10:51:45-05:00","Setup back stack when launched from notification
"
"3b1cce30a0d5eb31353a808429db4883080cb7db","2015-04-29 14:14:16-05:00","Update gradle, support, and play services deps
"
"535cb122994d7219bc4b2d986d5fe81e2eb4de73","2015-05-12 15:09:11-05:00","Update to gradle plugin v1.2.3
"
"9dccfc05d52c2cd89af8cb6f4653f15d44233c92","2015-05-14 22:42:46-05:00","Add codecov badge
"
"7726472a02be0da4843b017ee54895c79fdb53ea","2015-05-31 23:58:13-05:00","Use FAB from support design library
"
"5dc6c19d5d433556f6c29a85ad7e640325ac20e1","2015-06-01 16:22:41-05:00","Enable hardware acceleration
"
"29b901c81b800fae8e2899ec713b41cccd0b8878","2015-06-01 16:59:35-05:00","Theme cleanup
"
"6acef7a37bd511ac8d55cbe8c6c04cbb1831c2a8","2015-06-02 10:37:26-05:00","Apply inspections
"
"e55abf397ecae177381e3015b2894b5f0ccb2d65","2015-06-02 11:09:54-05:00","Fix check for default calendar
"
"22b29c3ed96951d237e0503e64e4c87f401e7411","2015-06-02 12:27:35-05:00","Fix NPE in widget
"
"05d3a0000be89935185b977b8b1b9cbbc7a00c4c","2015-06-02 12:30:41-05:00","Remove actionModeBackground styles
"
"1583a7f12f21a9a10d454fe0a677ebd38307ed8a","2015-06-02 12:33:34-05:00","Fix NPE when ringtone is missing
"
"bbc4bf538dce56e6a9c0702dd11acaa267f7698b","2015-06-02 14:31:32-05:00","Updating attachment dialogs
"
"f8af127dd00d5b991ca93de9d0ad32cdf70326a5","2015-06-02 14:32:00-05:00","Fix NPE when dismissing some dialogs
"
"36672eb8deb3f64db378f1ae4c8fd8f7782b6953","2015-06-02 14:38:17-05:00","Check if task is null before completing
"
"1c12e1bbfb1686ade86733876d94c4d5b3190f63","2015-06-02 16:00:09-05:00","Handle rotation in TimePickerActivity
"
"51c9ca30c22c03b11d17468420be41603f94d224","2015-06-03 09:56:24-05:00","Restore action mode overlay and backgrounds
"
"090bf5e64569343904d7378efb377e63b7618158","2015-06-03 12:07:51-05:00","Add DateAndTimePickerActivity
"
"2d53e51978f2d3f77770f12340f0bd2df416008a","2015-06-03 12:21:46-05:00","Use DateAndTimePickerActivity in ReminderControlSet
"
"02e7219d6ac9a041050f9fe4c74b28ecad483a80","2015-06-03 14:43:53-05:00","Update translations

* Korean - @halcyonera
* Spanish - alexj
"
"ebd03b24aeaebfbb00b923bf2e0e5d10ef9b245c","2015-06-03 14:36:16-05:00","Replace file explore icons
"
"3b0d6533aad121387eed783322c8e8f795a7c3e3","2015-06-03 15:18:26-05:00","Remove custom filter row selectors
"
"42f4587c01672cf5f4cbb940e4b41362cc1f601b","2015-06-03 15:45:07-05:00","Replace left arrows
"
"7222b3824ea06eaf70d612acea3bfc4277198f8b","2015-06-03 16:40:51-05:00","Add LocationPickerActivity
"
"3388b693333ddba3720b717e90ed574a40e187ef","2015-06-03 17:09:02-05:00","Show GooglePlayServices error dialogs
"
"f0fc904b789e83d6c8f01e02a19ad346d3ae65f4","2015-06-03 23:46:20-05:00","AutoCompleteTextView in LocationPickerDialog
"
"a09386a2bdc5e5b2f1f3beded8ae0086aba7e7c2","2015-06-04 10:36:39-05:00","Fix crash on pre-honeycomb devices
"
"517bda7e21f6ba2764029ba506a35e650947f45d","2015-06-04 10:41:36-05:00","Workaround for design library bug

https://code.google.com/p/android/issues/detail?id=175067
"
"8069e5bfdf8cebd67c14daedc8ce281c1fa53649","2015-06-04 11:08:57-05:00","Filter out empty autocomplete requests
"
"8d4ca3f1853dc8d4b51a5e77ced26cb9c473d816","2015-06-04 11:27:45-05:00","Toolbar elevation in lollipop
"
"62e3f4ac21ebc0ce62c8baeedb176327741f9a9c","2015-06-04 12:17:45-05:00","Use CoordinatorLayout in task_list_activity

Fix clipping on android 2.x devices
"
"06d5d47700487bf410ca8106e0a19f513d411983","2015-06-04 13:26:18-05:00","Use AlertDialog builder in LocationPickerDialog
"
"0fec8c92525c465b9c16114a99b0d1d6293374e3","2015-06-04 13:47:53-05:00","Fix some two pane layout issues
"
"a508845889447671197394e0130bb32dcd41e7c7","2015-06-04 13:52:05-05:00","Update support e-mail address
"
