"commit id","commit date","commit message"
"fe20210ac09d7f6932be274d75444a8d00e7befb","2015-06-05 15:27:30-05:00","Add geofence preferences
"
"d4f2edd115f078c5a8da374b9c54ef4eb271b3f6","2015-06-05 16:39:33-05:00","Fix compile errors
"
"97e7c44baa1bbc9e5cbc6c87cf3af64cd6643c9d","2015-06-08 16:15:44-05:00","Convert SnoozeDialog to fragment
"
"6a0c50705cc4f8ffac9ea879a1af593311391cc0","2015-06-08 16:31:14-05:00","Update MissedCallActivity theme + launch behavior
"
"5958663658490895fd9e2b2dad5dd3df89e70580","2015-06-08 16:39:02-05:00","Fix crash on pre-honeycomb devices
"
"9211b049e04d0da4f8ec0c9b565b69bbbb8b60c8","2015-06-08 17:22:45-05:00","Add NotificationActivity

Replaces NotificationFragment when opening notification
"
"fb5afea236a7135862b1612f0ed9c4e7e3fa35c3","2015-06-08 17:39:21-05:00","Disable hamburger animation
"
"fe94ab58142a0aeb552e01128b06af1a12120db9","2015-06-09 12:46:14-05:00","Remove negative button from NotificationDialog
"
"8e909a26baa0a0a910e178d17e36ceeb57ad6dc9","2015-06-10 10:47:54-05:00","Remove ActionBarDrawerToggle
"
"48a4a4c32e732a7dc4e225793b6520b7a9c985d6","2015-06-10 13:12:44-05:00","NavDrawer contents visible through status bar
"
"2182bb81b038eb144f7ae9b464a68f0ee65f8df8","2015-06-11 11:40:46-05:00","Material navigation drawer
"
"a2f1a976f18613b6c838dbf3e46138477fa58f2b","2015-06-11 17:11:42-05:00","Remove 'Google Tasks:' from list title

Closes #209
"
"5776b9b82870c353a27a5c9f3feff5b1ffefd78a","2015-06-11 17:44:46-05:00","Move Help & Feedback back to navigation drawer
"
"9614c79dae3c6f313658935ee1d9166b14bdf41b","2015-06-11 18:00:33-05:00","Remove 'Create Shortcut' context menu option
"
"597079823637e80ed915e7257b0f9b43e5eb4443","2015-06-12 00:58:35-05:00","Nav drawer icons
"
"f582f64bb0f8e07fd12b28a790b46dcdd9b672e5","2015-06-12 11:46:02-05:00","Update translations

* German - AndlyticsProject
* Japanese - naofumi
* Spanish - alexj, sherpam
"
"8ab7cb0d122d59b75c58d3cb391be3c4a29aa966","2015-06-12 11:47:39-05:00","Add generic donation activity
"
