"commit id","commit date","commit message"
"09fe7e59416eddfd566edee4d29a308474b42db2","2015-11-29 00:08:07+01:00","Use the gradle source distribution for the wrapper
"
"12ddaccaf7acab3bbe47f48236122aeb5a823337","2015-11-29 00:09:25+01:00","Extract hardcoded string to resource
"
"1aa439311b520ca54a8b917891cbac3cce23c28d","2015-11-29 00:17:50+01:00","Remove some warnings
"
"95fbb810e252b65851e0dc7189ab1820b6584b72","2015-11-29 00:20:45+01:00","Code simplifications
"
"271dd7dceeab5719f1c6e8ee178242064b80606a","2015-11-29 00:23:18+01:00","Specify Android Studio 'Inspect Code' profile
"
"d6f01bfe9a0cdce533cf7a0532aab663f224e243","2015-11-29 00:25:51+01:00","Update gradle config and add Support Annotations
"
"a6a83b1fcdfafb044115bc878420be275bf991ba","2015-11-29 00:42:47+01:00","Tweak file picker layout
"
"1b36c684d68f093b1778f988a2a5974c642021fd","2015-11-29 00:55:05+01:00","Add a customized auto backup

Starting with Android 6.0 the system may automatically backup app
data when a users installs an app on a new device or reinstalls an
app on one. After this commit this only affects the $HOME/backup/
folder, so that the user may choose what to backup.

See https://developer.android.com/training/backup/autosyncapi.html
"
"d982c71efe4fa099a3fb0f744943e001cd8607c9","2015-11-29 01:08:18+01:00","Url-regexp: Remove redundant escapes and add test
"
"7389dbb56fcb71813f25e977bb81f33a7a1c8858","2015-11-29 01:12:27+01:00","Fix two Android Studio inspect code warnings
"
"0e4ea95d743e40a508210067bac741a21b0815ce","2015-11-29 01:27:13+01:00","Revert to gradle-bin to check travis build failure
"
"2a6a3b76b7104ebe9c17cf57266d862e022b6e5d","2015-11-29 01:45:11+01:00","Update travis config
"
"74dca951016b7e1c715a0ba71f80daed64040d6d","2015-11-29 01:55:41+01:00","Fix inspect code warnings
"
"3091da64bcb180b8117bec61fc3e9f6642dd2878","2015-11-29 02:00:55+01:00","Update travis config
"
"9928073e48ba569ebeb40483189d4ebc0182fba6","2015-11-29 02:20:37+01:00","Fix bitwise operation issue
"
"ab3852d2e4f78b6023883aa5e297e0ac55329542","2015-11-29 08:55:13+01:00","Add missing null guard for no current session
"
"525985b1f278b34fdcca95077a94f07f3630f010","2015-11-29 08:56:56+01:00","Remove some dead code
"
"7348820cafa55821784491839a3faa0126d1aac3","2015-11-29 09:36:06+01:00","Add screen wraparound test
"
"4ccc703fcf46646955db8d7803781f4f2c545293","2015-11-29 10:03:38+01:00","Remove dead code
"
"b54c7909bd3f9deca6b0ccee6ca8c715d5d025ea","2015-11-29 10:04:50+01:00","Fix crash with wide character in last column

Ignore wide character outputs instead of crashing when the cursor
is in the last column with autowrap disabled.
"
"bad6712338a9fd98c1975a46d26a8b94d28b02fb","2015-11-29 10:56:31+01:00","Improve motion event handling after long press

When mouse reporting is enabled, do not send mouse events on up
after a long press, since that causes e.g. the cursor to move in
vim when lifting the finger after long pressing for the menu.
"
"625aeab39834aa255ed40978919566f259ea858a","2015-11-30 00:39:24+01:00","Reformat code
"
