"commit id","commit date","commit message"
"f03cfc18523cb6484010e448aad4900f5d685aaa","2013-12-21 23:28:31-08:00","Initial commit
"
"0faff8d4b8f45aefc32312bba2e03908d5594ba5","2013-12-23 10:09:46+01:00","Initial Commit
"
"0570c7b8f29e28895a13d4786fe27bbb9403eab7","2013-12-24 09:13:14+01:00","Fix screen orientation change reset issue
"
"9242e21568ba0cc31785e45e4a2980d3bcf1b0b5","2013-12-24 14:02:34+01:00","Fix screen off issue during timelapse
"
"df54efc2ec1259f549d13c4dfc01b883ee671957","2013-12-24 18:23:45+01:00","Update README.md
"
"70148c5f8392e9276ddee14472e160f23b2dd3ec","2014-01-02 10:26:36+01:00","Add Unlimited mode
"
"be4260fa8d21b569b0a2c461d522a71042e990b1","2014-01-02 10:26:49+01:00","Merge branch 'master' of https://github.com/ThibaudM/timelapse-rx100
"
"0b3dc711b2f28b6f55ff7fc02ebbc1066823c9d6","2014-01-05 15:53:05+01:00","Enhance connection to camera

Add NFC Handler to pair with camera

Change time between frames to 5sec

Min SDK is now 8
"
"2cb5b6f6a0cd85018bd6efaf082468c024c9ab4e","2014-01-05 16:54:01+01:00","Force wifi ON and fix wifi without ssid issue
"
"f925afb54273321bc6338222a62d97c110e964c8","2014-01-07 08:56:35+01:00","Fix a RuntimeException
"
"980690876edde0aa682ade757a7f222619e2984d","2014-01-08 14:25:56+01:00","Can use other kind of Sony Device
"
"9ea44a482e87bedec134b9f8d2424ed70fc7049a","2014-01-09 08:46:35+01:00","Fix WS connection failed message after switching device
"
"8ca9b99ff6c9eaec4dd664cdfabf52aafca1b940","2014-01-10 10:56:18+01:00","Add QX10-QX100 support
"
"c7416213c99592add6b0d5c4f3abcee9660018cf","2014-01-10 11:38:16+01:00","Add classpath and project files
"
"fe7e74c55eb4429c259ddbd28ca385fb7e071cb2","2014-01-10 14:22:13+01:00","Update readme
"
"f178ba5b93aff0444dcca8a4a9f8e258a32a4e96","2014-01-11 19:25:16+01:00","Fix manifest activity declaration
"
"22846fdcb8774769b428c2789180f8379cd3383f","2014-01-12 16:05:31+01:00","Change package name due to Android keystore lost ....
"
"5bbf51c2ea4718877acbdb5eccd689dfe1747a04","2014-01-12 17:24:59+01:00","Fix wifi disconnected when start timelapse
"
"a5b9eb85e77c6f649afb8caacd04d1c181933b3f","2014-01-16 22:14:19+01:00","Add Alpha 7 support
"
"31a814e3a6fe8d409efb2f6d169059ab31c0b6f0","2014-01-17 08:04:36+01:00","Fix A-7 connection
"
"73ae64f4a0ff2a8962b752d315d0ea8d9bfb8469","2014-01-21 19:10:11+01:00","Add Nex-6 and Alpha 7 support
"
"da80b5896ed846be0cdbdb669c12d20118b3c6ef","2014-02-12 15:32:39+01:00","New version, new UI...
"
"a92b94c91b54b7e614252a6f21d524e60ac95846","2014-02-15 10:33:38+01:00","Add translation in french
"
"e5d010b529f9c061fbf5e9e00cc201da502f352d","2014-02-17 21:52:00+01:00","Fix connection issue 'Connecting'
"
"43e82298ac0803554fd761cc33398739976a879e","2014-03-06 11:23:51+01:00","ADD FAQ
"
"b0eb4dc3a6f80cc2b1cf0c0c85cfc56b9f11bdbd","2014-03-06 11:33:34+01:00","Update FAQ
"
"849c2ffe89ea1771ef1f15488eda1e6fe23fcfda","2015-01-21 11:32:37+01:00","Added Sony Alpha 6000
"
"2edead860410baf2a3b12e5d998c26bf5091655e","2015-01-21 15:51:47+01:00","App waits for a Picture to be finished taking (long exposures!) before
the command to take another one is fired. So no shot will be skipped if
the shoot interval is too short.
"
"d6b93726e20651be4c905d0355807479705ff997","2015-01-21 18:43:18+01:00","Added NEX-5T
"
"05c5b2f08d9f29faed95c79babfee5a76f04b179","2015-01-21 20:57:05+01:00","Added german translation
"
"db1e424e7bfee96a593fd6ae204a691548b1bb6d","2015-01-21 22:10:14+01:00","Add ProgressBar for time to next shot
"
"f5b02e657c4c4ed74b4a24e0926590d54f9bee4c","2015-01-21 22:10:59+01:00","Merge branch 'response_reaction'
"
"6813a3c0f44f13da48ac42828fe876aa5e38999f","2015-01-21 22:12:21+01:00","Update german translation
"
"4d2796acf3fcdef8eb8d11b01e7c90713bb1f6e8","2015-01-25 20:48:07+01:00","Long exposure (>10s) fix. Further SDK call needed to wait for correct
'picture done' msg
"
"b2c0e0aae3b2117f7c657024c00db4f48abef10f","2015-01-27 19:07:46+01:00","Add progressBar for currently shooting picture
"
"3606ae38e42a91920a733b8cb909bf8589ec4d4f","2015-01-27 20:38:46+01:00","Keep screen on
(Better solution would be a background service just for taking the
images)
"
