"commit id","commit date","commit message"
"0862a0617e9d1c6913aab3c2af442deda07b71ca","2016-02-10 21:17:04+01:00","initial support for opening and importing  local playlist files. needs some testing and clean-up
"
"c0742e5ce1a3cbf025e629ff563dae789ed1160a","2016-02-11 18:34:36+01:00","more work on support for opening and importing  local playlist files. still needs android 6 permission dialog and fine tuning
"
"cbf02a7be5544ee417b0b5eea8272a18d4154e61","2016-02-11 10:33:25+01:00","Translated using Weblate (French)

Currently translated at 96.4% (54 of 56 strings)
"
"3e47ce70344b8c7844fa7154dd719e9d96505dcb","2016-02-10 22:16:34+01:00","Translated using Weblate (German)

Currently translated at 100.0% (56 of 56 strings)
"
"b69620593b01cd590758ea3b860125ebc6ea09b8","2016-02-11 17:30:17+01:00","Translated using Weblate (Serbian)

Currently translated at 98.2% (55 of 56 strings)
"
"b8a0a2f1dcccd58b47e521efe6227822d03124e9","2016-02-11 18:34:43+01:00","Merge remote-tracking branch 'origin/master'
"
"bf4b54862cfd3df52fa08c242306718334233cfd","2016-02-12 10:49:18+01:00","added german translation for the new error messages
"
"b6ad60f758c0ab5be7b3501e7300b85adb706a5e","2016-02-12 11:08:13+01:00","Translated using Weblate (Japanese)

Currently translated at 100.0% (62 of 62 strings)
"
"3cc7079dd00d7ba289aa43a5962617a778978cd2","2016-02-12 17:35:23+01:00","added an Android 6 style permission dialog when opening a pls or m3u from external storage
"
"1107875e588944cf93a8aed4c4ea4f082badf3da","2016-02-12 11:09:30+01:00","Translated using Weblate (Japanese)

Currently translated at 100.0% (62 of 62 strings)
"
"043836ca137b85a1ac343b0514e757bc8367c28b","2016-02-12 17:35:30+01:00","Merge remote-tracking branch 'origin/master'
"
"bee8a1a88db73423b314376033f113b21331a3b6","2016-02-12 17:38:21+01:00","typo in German translation
"
"e7390f0b13f3d82972d518ffc0c2122001f487bf","2016-02-12 17:38:31+01:00","Merge remote-tracking branch 'origin/master'
"
"a1baf8581c0756b92716327152fcddc5dd29f2d5","2016-02-13 11:09:30+01:00","Translated using Weblate (Spanish)

Currently translated at 100% (0 of 0 strings)

Created new translation.
"
"1b6597b984541f82fca58548148ffd236e3fd75f","2016-02-12 11:09:30+01:00","Translated using Weblate (Japanese)

Currently translated at 100.0% (62 of 62 strings)
"
"0db4b3c99e3df587bf85d5216081c8843b0f7da4","2016-02-14 11:29:36+01:00","Translated using Weblate (Serbian)

Currently translated at 100.0% (62 of 62 strings)
"
"5d688fbce7bdf580dc4120fbc758afc73311fa79","2016-02-14 13:59:12+01:00","added franciscot to the translators list (Spanish version)
"
"d18dbfc45a0da4c278190ed063de9f8d3debd771","2016-02-14 11:32:04+01:00","Translated using Weblate (Serbian)

Currently translated at 100.0% (62 of 62 strings)
"
"01102d03a3f74e14b7989fa3979fc66a5d56301e","2016-02-14 11:55:16+01:00","Translated using Weblate (Spanish)

Currently translated at 100.0% (62 of 62 strings)
"
"ce5ef3531c2086dc6b28d563115f9bde3186caae","2016-02-14 13:59:15+01:00","Merge remote-tracking branch 'origin/master'
"
"421ca7964c7ba7d2e8bbe5f045a1d7177cba7c5d","2016-02-14 14:56:09+01:00","changed explanation for asking for: Permission READ_EXTERNAL_STORAGE
"
"54617fee80c80289662581de552335e99905cc2b","2016-02-14 15:01:24+01:00","updated German translation
"
"f668ed2ca243401fe4a8cbd6b57c0e88d3022bb2","2016-02-15 11:36:00+01:00","Possible fix for 'Transistor does not add certain m3u links' #55 - if this bug is related to external storage mount problems
"
"7d1b01a3b8e7b563eff26e0f7e9785b82b35051b","2016-02-13 15:42:57+01:00","Translated using Weblate (Japanese)

Currently translated at 100.0% (62 of 62 strings)
"
"df00b0bd11f097bba2d9055ee28fa779fc64ae65","2016-02-15 16:17:42+01:00","some XML clean-up
"
"ad021446e207974796806e501ea2a450f7973ca4","2016-02-15 16:19:10+01:00","Merge remote-tracking branch 'origin/master'

# Conflicts:
#	app/src/main/res/values-ja/strings.xml
"
"e7e7049d3c8dd6bad6506b9a530eeb23ea95c703","2016-02-15 16:26:53+01:00","some XML clean-up
"
"b75536f808d1ab7a3155649346b1457602a2cbb5","2016-02-15 17:57:05+01:00","experimenting with sleep timer feature (see issue #43)
"
"1402ea0681983186598be6f02c2edb1f3d18db60","2016-02-15 18:54:51+01:00","some more experimenting with sleep timer feature (now with snackbar)
"
"dfbee45327bc0de9b599299f51fe67449d203d5f","2016-02-14 11:55:16+01:00","Translated using Weblate (Spanish)

Currently translated at 100.0% (64 of 64 strings)
"
"afbadfb455da17e6fa1e9e7b209cbd0dec7d6b6f","2016-02-17 12:34:06+01:00","made sleep timer run as a service
"
"4b4f3dd4e4bcaff2d60623e0897d779e5deca069","2016-02-16 17:33:17+01:00","Translated using Weblate (Spanish)

Currently translated at 100.0% (64 of 64 strings)
"
"93b54f54b60fea240417e41fed94488cd316f477","2016-02-17 12:34:17+01:00","Merge remote-tracking branch 'origin/master'
"
"9a5ceeb4a07ef3858798dc1c033fe26680696986","2016-02-17 12:41:27+01:00","clean up
"
"a0824477063fb13e42905db5af2d7e592e2cc708","2016-02-17 12:41:36+01:00","Merge remote-tracking branch 'origin/master'
"
"c48accc4b895b805a8a07b556431be1e3444f67b","2016-02-19 10:26:36+01:00","clean up & a small change in error handling
"
