"commit id","commit date","commit message"
"97482d8b5997e8a9262c86e998758d920d047fd1","2015-05-31 10:00:47+02:00","Removed unit tests
"
"99b4cefcb7f2272ad64ec6b44d89355339358c9c","2015-05-31 10:01:24+02:00","Updated target to API 22
"
"3da4b3302d05b9d6777ceea63f0a8db999957210","2015-05-31 10:09:51+02:00","Fixed Ok button not being disabled when tag is not valid
"
"49adddda7956a8d1df6e78c700a810c10cb4857d","2015-05-31 11:30:06+02:00","Updated dependencies
"
"7675dd83fd9a77e2db50c3fa28b32f7b125a8bf0","2015-05-31 11:35:58+02:00","Replace deprecated ActionBarActivity with AppCompatActivity
"
"c65f0c00b6f6d5f60529cbf583f30d7f897c62bb","2015-05-31 11:38:12+02:00","Fixed code style issues
"
"4e17afb1b16b6283139e3e70bd2a228486f1c3f1","2015-05-31 12:12:21+02:00","Prevent potential NPEs
"
"dad9a5640a022345c6f8f2aa13091800c9450453","2015-05-31 15:07:11+02:00","Use FAB from Android Support Library
"
"fcc8d49307c59394862600615b8b85cd8a965420","2015-05-31 15:15:26+02:00","Added Spanish translation for default profile name
"
"f9c65bc511bbf066e987f579143e1334f26e9e90","2015-05-31 15:20:41+02:00","Added LeakCanary
"
"51214156f22d78b965e55ed00012e7c9fdbc4b95","2015-05-31 15:38:25+02:00","Fix memory leak in TutorialIntroFragment
"
"7af21a5c12006d882d67447b1612e5a0f6d2af82","2015-05-31 17:04:40+02:00","Improved Italian translation
"
"6d5208a44524d134e6189261bb2fc3c9c937f04a","2015-05-31 17:04:59+02:00","Improve German translation
"
"803df8aa4a665114e02b886d9c99d1bc12f23b91","2015-05-31 17:06:20+02:00","Improved keyboard management when showing/hiding dialog
"
"69bf0addeb7a92f838ebb575536b549199b0b1a9","2015-05-31 17:21:01+02:00","Fixed missing translations
"
"065b001dcae1cba8959771607726baba52f33229","2015-05-31 17:10:30+02:00","Updated version number (1.3.6)
"
