"commit id","commit date","commit message"
"5bc14afd476a5e55c96a091bfca5d4999a4cf50d","2013-03-08 19:20:45-08:00","initial commit
"
"34761f9c84af9b8ba87219d31ba93dc30d1fcf9e","2013-03-08 19:24:31-08:00","add CocoaAsyncSocket submodule
"
"b3fae29e5e7b7ea9e1ade6593ccdfe504b31cf16","2013-03-08 19:37:44-08:00","fix up pch build errors
"
"262ce375708b0e87628685fbccf00bb66859413a","2013-03-08 19:40:54-08:00","update readme
"
"2b84f911070d7ca0f3b65717fa07560d0fcaea7e","2013-03-08 19:55:49-08:00","update copyrights
"
"65b09a23182fa1faad986c01cecc5c3360fe64f3","2013-03-08 20:18:18-08:00","update project name
"
"17cd70c79e47e8441f3a898c6a490b9117af06b4","2013-03-08 20:18:30-08:00","Merge branch 'master' of github.com:bretternst/urlazy
"
"c313b4e51dfa486b5a85504a9632584326c6db84","2013-03-08 21:11:44-08:00","tweak android timeout values, add required graphics
"
"73c5c21895fe8ada0a22cc5bfb116df71c669c80","2013-03-09 09:50:13-08:00","tiny tweak to make android timeout value behave as intended; fix typo in readme
"
"fa5182aacd46839543b18e4e4b8fa16309fb000b","2013-03-09 10:19:50-08:00","only need one windows phone project after all
"
"a2fdf4781dc7d19e9c60df4c3e9872a769aa7d6e","2013-03-09 10:57:39-08:00","add required asset for WP submission
"
"0581196a082c4d92b2ce5cf0b04326d60a0fef71","2013-03-09 13:12:48-08:00","add large apple logo
"
"30d758092a9ffa658e8b084f8f03534d40173b69","2013-03-09 13:20:49-08:00","add upscaled iphone screenshot
"
"0479f426db46adb7131dd6df88dba8251bb456bb","2013-03-09 13:59:19-08:00","add iPhone 5 screenshot
"
"8b487254b0a11b2c2fe6038711e37fc68af767bc","2013-03-09 19:44:11-08:00","small tweak to ruby script
"
"a5950eca7aee91656fa65599621ae43a851da951","2013-03-09 20:00:32-08:00","check for ruby version and handle failure to load modules
"
"834a157ef8a8be4e1edc74058f3121da5be783b9","2013-03-09 20:47:07-08:00","refine the readme a bit
"
"f044509e2b453d6606d7f9747075ed01d82b8a9d","2013-03-09 20:50:54-08:00","add README.md
"
"30f9cd594d18dd1ecca760f44c3b1bbec025c130","2013-03-09 22:04:28-08:00","move client source into src/
"
"a4b68f2dab153c51180ac2a793b38473ab73ee9d","2013-03-09 22:13:21-08:00","add submodule back in
"
"eebffecc1714803242c547b8e388167af01ee042","2013-03-09 22:25:27-08:00","do a little cleanup and move some files
"
"62a22d739835913cd07a01deadbf5b88c28d385a","2013-03-09 22:28:02-08:00","make missing ruby module message a little more friendly
"
"493202d7e4c65b6d5553f429630a779a5f019924","2013-03-09 22:33:50-08:00","add friendly status messges to server script
"
"e0d026d028bf4bd2fdb84abecc1058e4a3199cb3","2013-03-10 15:39:59-07:00","add windows gui client and wix installer
"
"feb8d696b217baf58378cbbe975647c3c8055762","2013-03-10 16:03:40-07:00","add note about windows installer to readme
"
"1da32e3e9871b2dd3f6b20b0f2ea1afae604ffa5","2013-03-11 14:50:30-07:00","implement url substitution in windows server, use 'localhost' instead of '.'
"
"1fdd8c39db969c8a3105a32b6ba63921c971b49c","2013-03-11 15:04:35-07:00","fix issue in windows server where windows phones couldn't receive responses
"
"d7fded747af018be2bdf37fd6f479d146d1c9408","2013-03-11 15:15:20-07:00","update s3 link
"
"08533963edfdce0a1e976797bd30fb93e7614181","2013-03-12 20:38:03-07:00","add OSX server app
"
"c165dd84453164d2bacc430547ca21263d0e4830","2013-03-12 20:38:13-07:00","Merge branch 'master' of github.com:bretternst/urlazy
"
"edfa76b818a28f551f5acb6c530c06d3d9b755a1","2013-03-12 20:41:13-07:00","update readme with server GUI links
"
"dd52490e356d6be732a064c4e6fc1f1c36b62c6a","2013-03-12 20:43:24-07:00","update readme formatting
"
"c74b4fc8e443f777a4beee5b8a22d695243eace4","2013-03-13 09:23:12-07:00","add osx app icons
"
"a2374986bfab1bf0412cc1b5e9d8c3e1c8a144ad","2013-03-13 09:38:08-07:00","update plist to use icons for mac
"
"03ae076538f61313426eacdb918ad9fa1e8ad011","2013-03-13 09:45:59-07:00","update link in readme for osx installer; remove accidentally committed pkg
"
"e604410342fd13307cd53f0923b62464dfe55a9d","2013-03-13 10:12:06-07:00","correct unhandled exception in windows phone app
"
"0399dd843571fd34ee1bb57da52d2dfce1d9a39f","2013-03-13 10:49:28-07:00","point to dmg file instead of pkg
"
"25f73e5eb9f9eee7d526e8e0a5a302663432f426","2013-03-13 10:49:53-07:00","Merge branch 'master' of github.com:bretternst/urlazy
"
"2fe2293df9b49b3a8cc86ab1e04183a2a091d44c","2013-03-14 11:22:42-07:00","update android platform
"
"a35d6934c07c2a45648e4e88dccc9aa407dbf965","2013-03-15 23:12:45-07:00","update readme
"
"901b5639eabdb9ea8591d229f57519495138e688","2013-03-18 15:06:39-07:00","add init.d script for ruby server
"
"92002f8564f0b54f06742e597e62096d86695ff3","2013-03-27 09:20:30-07:00","the server should only use real ethernet interfaces for IP substitution
"
"a0b92148460946462cecf1b98c84f7ea740279ca","2013-03-27 15:34:38-07:00","add LSB info to the top of the init script
"
