"commit id","commit date","commit message"
"199a46a1390d8c1c093e4213e2af5a0d9125f06a","2011-08-19 01:28:15-05:00","Switch to MIT license
"
"2f69afc5296a57234f396a200c0e42f96de16f35","2011-08-19 02:35:29-05:00","Update Android target version to 10
"
"cce204e727ba1ef776f0a4b67f1aaa4d522baca7","2011-08-19 03:01:12-05:00","Use AUDIO_BECOMING_NOISY event; remove headset only option

The AUDIO_BECOMING_NOISY intent seems to be broadcast before the
HEADSET_PLUG intent. In some cases, the HEADSET_PLUG intent fires so
late that audio starts playing through the speaker..
AUDIO_BECOMING_NOISY also handles Bluetooth.

The headset only feature was useful to prevent accidental 'noisy' playback,
however it is cumbersome to implement with the Android audio API being the mess
that it is. Thus I've removed it.
"
"fc56df74a479fb73217123e611ab20260865031c","2011-07-11 23:03:22+10:00","Fixed null pointer exception when no songs are present in the
device's library.
"
"bd0596cd9e2d92ce11a5a981f0d2f76f8cae06a8","2011-07-11 23:03:22+10:00","Fixed null pointer exception when no songs are present in the
device's library.
"
"b8f3e3819fd8d587952f465bec7fede98793bcdc","2011-08-20 00:42:11-05:00","Handle corrupt/missing songs better

The old behavior would try to skip the song automatically and not tell the user
what was happening. The new behavior shows a Toast and stops playback.
"
"3fd61bcafe33fe1d7b1d63dfd603fb3c5b373686","2011-07-21 19:45:19+10:00","Playback is stopped immediately on song change before further
processing, so the user has feedback on their input. Some operations in
this method can cause a delay on my phone.
"
"d4568218913c0b87845daa850dd6bb2c0097cbf5","2011-08-20 17:25:08-05:00","Move media content observer into ContextApplication
"
"7715ec7ddec1d56fb465b2cbc3d628c92c90f26a","2011-08-20 20:12:39-05:00","Implement new randomization method to reduce repetition

randomSong() now draws from a shuffle list of all songs in the library. Each
time the end of this list is reached, it is shuffled. The list is updated when
the library changes.
"
"e5d3053a44ebb3ced9d2b65d6e4bf2ff05e8c0c6","2011-08-23 21:07:17-05:00","Remove programming-created media button receiver

This was an optimization (since manifest-defined receivers have to be
constructed again for each broadcast) that doesn't seem to help all that much.
I mainly removed it because it makes using the Froyo registerMediaButton API
harder (impossible?) to use.

Also change receiver priority to 999, since apparently >=1000 should only be
used by the system.
"
"a8bf7536acb0f62ae3f6ca38f5b1afa155a2de49","2011-08-23 22:04:35-05:00","Handle media keys in PlaybackActivities

Avoids the overhead of the broadcast when the activity has focus
"
"a9db1f55fb92b1462de5a22ffb7674a1a146451b","2011-08-23 22:39:21-05:00","Use Froyo registerMediaButtonReceiver API
"
"17e8e400e41aa3b203183af70ae2113a883fb683","2011-08-24 00:05:18-05:00","Add option to disable cover art
"
"c69f74a482a54631fad04af52ea28299946d300e","2011-08-24 10:17:21-05:00","Rename Song Selector/Choose Songs to Library and change icon
"
"025c6e20f886e86d8b14d1add404c9e9c62231a6","2011-08-24 10:27:28-05:00","Include all image resources in app
"
"9224095dbaa037a9d0c99d1b58e4a541628ec36e","2011-08-24 16:37:55-05:00","More detailed time display in IdlePreference
"
"f54be18e5ba7fc874fb37b58961253e4640751a3","2011-08-25 00:10:59-05:00","Call userActionTriggered() in the correct places
"
"f65cb06978699a134746ff64aff843532dd22e39","2011-08-25 00:13:49-05:00","Remove dead code
"
"6e3c8e758083ab8774b7b6d713d906b22cc3305a","2011-08-25 23:55:39-05:00","Fix cover scaling
"
"0303cfb08f27854f62642ab1b473cc2be2186d12","2011-08-27 15:24:41-05:00","Add a new style for FullPlaybackActivity
"
"09cf5a89303ccb824906c68d17d205a9da6a2e6c","2011-08-27 15:37:04-05:00","Handle CoverView long-presses better.

This treats them the same way as normal presses: they can be activated with up
to a small amount of movement.

Also executes scroll-reset code even when a press is detected. Before small
movements were not being reset.
"
"13f80aaca4b50ffcc2739fc70908cbfa78fd5d29","2011-08-27 16:08:35-05:00","Fix MediaUtils.shuffle

Was ignoring the first element of the list.
"
"444b7f588b7a9c61d1c138963f03443de5aad9f5","2011-08-27 18:07:22-05:00","Optimize isSongAvailable()
"
"d1d875fd5f13bea0597e6655f8100d7cc83f1ac4","2011-08-28 00:08:57-05:00","Refector library limiters
"
"33374c2ebd25ac60594c5f553d7fa20d42434146","2011-08-28 01:50:47-05:00","Add genre tab to library
"
"83cdef201f07e3e0163a0377ccce3a002035ced1","2011-08-28 02:11:28-05:00","Persist the visibility of the controls
"
"7bbe6184e9f7c5e9ec01365d56dc1af799234cec","2011-08-28 02:45:21-05:00","Cleanup updateState()

Changes are mostly aesthetic. Was annoyed by the long conditionals.
"
"17ea717535629b530c2f8a3c5fb6e1af3a891f99","2011-08-28 03:28:35-05:00","Update proguard.config
"
"b038af1ba21e6af4f769232bb76d2c0568e306ce","2011-08-28 03:29:10-05:00","Remove dead code
"
"df570d507c8ccfaa220bcc5b77a4697cd84ff2c4","2011-08-28 03:45:53-05:00","Use song duration data from MediaStore

Allows the duration to be displayed before the song starts playing.

Also add a missing synchronized around a call to wait()
"
"a2d8710ae87092e5f387f8516ee1db5a4622e76d","2011-07-21 19:43:42+10:00","Added ability to navigate songs by moving left and right on the dpad
when play controls are focused. Preference to come later.
"
"6ea6688a2753c68d6b91e609aec2ae90ca44cd0e","2011-08-28 04:34:15-05:00","Fix dpad navigation.

Call super and update CoverView immediately
"
"3c76f4359fd9875d76412f49eb829869e5b80798","2011-08-28 04:36:01-05:00","Fix duration improvement
"
"7336b69e08f28a1ea0e98815253f4e5c580982c7","2011-08-28 04:56:57-05:00","Fix duration improvement again
"
