"commit id","commit date","commit message"
"11399a0435563419e7ee9982b994d5cba3de52e4","2012-09-05 22:23:44+03:00","local.properties should not be tracked by VCS
"
"cb495631acafd2b1a45ff2e9b0d7deb339c44a77","2012-09-05 22:42:54+03:00","A helper script to prepare a clean repo for build
"
"e91b9ab572d6902eaac707442869cebcb3a3ba3a","2012-09-05 23:20:07+03:00","Fix bug with keyboard staying on screen after :q

Vim code calls exit() when it quits and that immediately drags the whole
app's process with it. Instead of calling mch_exit(), longjmp() to the
place of call to AndroidMain() and quit gracefully.

With that in place, Java side is now able to clean up before closing.
"
"bd8478daa08c4cb6894f1c25617f431ddcdeb801","2012-09-06 22:24:50+08:00","add quick bar postion preference to change the postion to top,bottom, left and right
"
"b4a33d4961e291d011726fa6edb3f41ca4ec952b","2012-09-06 22:31:42+08:00","rename TermSettings => VimSettings
"
"386ed4344bae1aaf01c5258f1adc177e46723cd8","2012-09-06 23:13:01+08:00","use quickbar file to setup quickbar dymanically
"
"f890ebb515178db2275a168611d77d2a20cb2ff0","2012-09-06 23:21:28+03:00","Do not hold reference to activity in TermSession

Use callback instead.
"
"c9005f3eef78e0a8668fbcb2e59557f2cc0dd122","2012-09-06 23:25:45+03:00","Don't quit when closing file descriptor

The native implementation of Exec.close() should only close the FD and
not call for process termination.
"
"b63c9637b791dae7d64ee64fc47964ce41f7730f","2012-09-06 23:31:08+03:00","Fix wrapper for pthread_exit()

Rename the wrapper to pth_exit() to hightlight the fact that it's a thin
wrapper for thread exit and not system's exit(). Also, actually return
the exit status.
"
"83cdbd44ae0730dcc895f2b816f16408d5c3ced7","2012-09-06 23:33:49+03:00","Cosmetics: rename variable to C style
"
"78169d6452c825e4ec7c24cb9af2d7e0b9236f58","2012-09-06 23:35:11+03:00","Remove unused variable and fix style
"
"168e6973fa70cd77bd02117f9069910e32953395","2012-09-06 23:43:55+03:00","Fix Exec.waitFor() to return thread exit code
"
"b2213f94fe6f89f426d7658eecd052d94824bd30","2012-09-06 23:45:51+03:00","Fix memory leak in error handling path

In thread_wrapper(), when error handling code path is hit, the memory
allocated for the argvs is leaked. Fix that by moving memory management
into the same thread that allocated it. To accommodate possible future
use of Exec.waitFor() with other threads, tie the data to thread id.
"
"cabdfcb23edba56d2a7b0df4d9891b15da8bed96","2012-09-07 12:23:34+08:00","add mutex in termExec
"
"9ba2a8c60d9af5c772dacea9bc2a901241caba84","2012-09-07 17:38:09+03:00","Merge branch 'master' of https://code.google.com/p/vimtouch

Conflicts:
jni/termExec.cpp
src/net/momodalo/app/vimtouch/VimTermSession.java
"
"57361a58f80311fdcf90ce13136278d1e8eb357f","2012-09-10 17:22:11+03:00","Move 'set nocompatible' to top of vimrc

As per vimrc_example.vim.
"
"f0e613b35d8039a3f60ec28826beb8de3e07a1bc","2012-09-10 17:24:28+03:00","Set backspace behavior to that of modern Vim

By default it works in compatibility mode with vi, which does not
backspace over start of insert mode.

Fixes issue http://code.google.com/p/vimtouch/issues/detail?id=17
"
"2163dbe346012bdf06e4d3fa7dc211552aae1f13","2012-09-09 08:18:55+08:00","Fixed empty quick button string
"
"19deb8af2eaf29914b2028e2956cdbf8dc0f9a6b","2012-09-09 17:46:12+08:00","Change the install progress activity to theme holo light and center the circle icon.
"
"fdfc49159e859e9c776b88b9b48ea4932c4469fd","2012-09-11 10:01:09+08:00","Refine the InstallProgress code structure and support accept intent data to install runtime
"
"43706308fc92e45ff678af0ca931d1514eaea909","2012-09-11 10:13:35+08:00","remove logs
"
"70a12859077d97d454942817faf3cfe269468b8a","2012-09-10 22:22:20-07:00","Initial commit
"
