"commit id","commit date","commit message"
"e517a5518c2f76b26a9a8c2817ffecb6f3adbc1f","2012-08-23 17:02:43+02:00","Bluetooth headset detection corrected.
"
"26701da122db010d07360b96e5b72c69707f72a4","2012-08-24 20:23:13+02:00","PCM output stuffing revised.
"
"891d1971d6821ce533628fe89744c659b6381488","2012-08-26 09:19:22+02:00","DE and RU localization added.
"
"77bbb5fa34303fb0814b69c90dd134fee7c0da23","2012-08-26 09:35:04+02:00","Byte order/swapping extended.
"
"ea513611ccbb52db8fb75e95a1c620190d30aec8","2012-08-26 16:01:07+02:00","Ignore also the RAW audio files.
"
"820f2d20118d8350319b47d0e600652b362531ef","2012-08-26 16:01:59+02:00","Added the RMS based silence detector.
"
"5712fbf761c4063fde07da792778562281fc58b1","2012-08-26 16:09:12+02:00","THANKS updated.
"
"acb40ed00fb383817ad6cc40726395ae402677e4","2012-08-26 16:16:42+02:00","THANKS updated.
"
"7a27cf1625769844e837096823182ec7eaf950e3","2012-08-26 20:48:36+02:00","Namespace renamed.
"
"047e84a6ea481c538937c3686ef1fa7654c0833d","2012-08-27 20:44:17+02:00","Added GreenDroid module.
"
"18a814a02030df66c55b91485321abfa673ac59f","2012-08-27 20:44:57+02:00","Played with VAD.
"
"71823100ebbff72932ae74d3ede38fd44e620563","2012-08-27 23:12:46+02:00","Updated GreenDroid reference.
"
"c4d84984d5669f4b6cc65d82c2dc31407a5b3005","2012-08-28 09:09:22+02:00","Removed DE and RU localizations -- edit them later.
"
"1cf6460eac52e2749146fd0d678623b9d1901439","2012-08-28 09:14:54+02:00","Test code off.
"
"275abba6fe2e8dc313f2707b877aecd7b8d610c1","2012-08-28 09:43:09+02:00","Prepared for the next version update.
"
