"commit id","commit date","commit message"
"ed77044e8180ebe5ae11a57c77e64354cb455a56","2014-07-17 15:40:04+02:00","Incremented Build Number.
"
"3f038a4a9785e69a065c364a60d0055fd59d3202","2014-07-30 15:56:21+02:00","minor fixes
"
"bcd4428564d92d7b2cd04db63627896699c43814","2014-07-30 15:58:10+02:00","Incremented Build Number.
"
"0198778278a1b0605d10fb73d9e47436a09a5312","2014-08-08 12:45:05+02:00","updated README for building
"
"457662102e15466827daa20dc501db11ea905849","2014-08-08 12:45:21+02:00","disabled tests
"
"20c1bd140c770ffb09ce893da4ae07614188c1aa","2014-08-08 12:46:10+02:00","Incremented Build Number.
"
"5a61f0f862c3e1c85db95b995912e91d19491c23","2014-08-08 13:11:20+02:00","some corrections in the README for building
"
"d0616777108017ab5ff2aefec305d587be271df7","2014-08-08 13:14:27+02:00","added example command to README
"
"63c34cc59a913293b57ca89ee7327db498ce4fed","2014-08-08 13:14:31+02:00","Merge branch 'master' of github.com:sozialhelden/wheelmap-android
"
"93145e9b6009424c2ad3bb611b09d9c2f7c329de","2014-08-08 13:16:03+02:00","Incremented Build Number.
"
"9d19fa5f500e2b56dddec1ac4d1219526c2664de","2014-08-09 13:14:21+02:00","added android 4.4 dependency to README
"
"58482e36a18dc713a601fcff54e11ccaec78fd00","2014-08-09 13:14:26+02:00","Merge branch 'master' of github.com:sozialhelden/wheelmap-android
"
"b248218006587c1ae148be64f44a9ea16a61c248","2014-08-09 13:15:52+02:00","Incremented Build Number.
"
"c271a7c929057adaaacddc1baab607843073a590","2014-08-09 13:31:08+02:00","fixed README
"
"e701b40aa1be6c0942f0b8e1f556132ed0974ec5","2014-08-09 13:31:13+02:00","Merge branch 'master' of github.com:sozialhelden/wheelmap-android
"
"ea12590a7b23302dd56b40976b9f2f2f788a6c0c","2014-08-09 13:32:06+02:00","Incremented Build Number.
"
"0b38bdf95b57114fe1e08f670c3269f729425e9e","2014-08-15 11:36:05+02:00","updated maven android plugin
"
"ea03467f3e0a46ea208523d25c5d0b0c9d51efc9","2014-08-15 11:36:11+02:00","Merge branch 'master' of github.com:sozialhelden/wheelmap-android
"
